Time	AL_90
3.71394e-05	0.626787
7.42787e-05	0.626754
0.000148557	0.626704
0.000297115	0.626658
0.00059423	0.626786
0.000891345	0.627205
0.00118846	0.627909
0.00148557	0.628894
0.0020798	0.631681
0.00267403	0.635512
0.00326826	0.640326
0.00386249	0.646058
0.00505095	0.660005
0.00612057	0.674996
0.00719018	0.691876
0.0082598	0.710276
0.00932941	0.729853
0.010399	0.750288
0.0114686	0.771316
0.0136079	0.81422
0.0157471	0.857099
0.0178863	0.898936
0.0200255	0.939089
0.0221648	0.977176
0.024304	1.01303
0.0285825	1.0779
0.0328609	1.13417
0.0371394	1.18288
0.0414178	1.22507
0.0499747	1.29402
0.057676	1.34294
0.0653772	1.38295
0.0730784	1.41654
0.0807796	1.44534
0.0884808	1.4705
0.0961821	1.49293
0.103883	1.51316
0.119286	1.54873
0.134688	1.57973
0.150091	1.60746
0.165493	1.63283
0.180895	1.65641
0.196298	1.6785
0.2117	1.69933
0.227103	1.71903
0.257908	1.75553
0.288713	1.78867
0.319517	1.81892
0.350322	1.84668
0.411932	1.8958
0.467381	1.93398
0.52283	1.96753
0.578278	1.99728
0.633727	2.02387
0.689176	2.04781
0.768093	2.07813
0.847011	2.1049
0.918036	2.12659
0.981959	2.1445
1.03949	2.15954
1.09127	2.17235
1.13787	2.18332
1.18447	2.19382
1.23107	2.20387
1.27767	2.21353
1.31863	2.22158
1.35549	2.22863
1.39235	2.23548
1.42922	2.24217
1.46608	2.24869
1.5398	2.26134
1.60616	2.27225
1.67251	2.28271
1.73886	2.29276
1.80522	2.30243
1.86494	2.3107
1.91829	2.31789
1.97165	2.32487
2.025	2.33168
2.07836	2.3383
2.13171	2.34475
2.23843	2.35728
2.34514	2.36923
2.42026	2.378
2.49538	2.38691
2.5705	2.39566
2.64562	2.40425
2.72074	2.41272
2.79587	2.421
2.86348	2.42819
2.93109	2.43523
2.99869	2.44204
3.0663	2.44867
3.13391	2.45509
3.26913	2.46746
3.40435	2.47917
3.53957	2.49014
3.67479	2.50047
3.81001	2.51014
3.94523	2.51924
4.08045	2.52775
4.21567	2.5358
4.33697	2.54245
4.44244	2.54797
4.54791	2.55325
4.65338	2.55829
4.86431	2.56792
5.07525	2.57679
5.28618	2.58494
5.49712	2.59243
5.70806	2.59934
5.91899	2.60574
6.12993	2.61168
6.34086	2.61721
6.5518	2.62238
6.76273	2.62721
6.97367	2.63173
7.18461	2.63597
7.39554	2.63994
7.81741	2.64723
8.23928	2.65371
8.66116	2.65949
9.08303	2.66467
9.92677	2.67351
10.7705	2.68079
11.6143	2.68692
12.3736	2.69171
13.0487	2.69548
13.7239	2.69885
14.399	2.70188
15.0741	2.70462
15.7492	2.70711
16.4243	2.70937
17.0994	2.71144
17.7746	2.71333
18.4497	2.71506
19.1248	2.71666
19.7999	2.71814
20.475	2.71947
21.063	2.72055
21.6511	2.72156
22.2391	2.72252
23.4151	2.72431
24.5911	2.72591
25.7671	2.72734
28.1191	2.72978
30.4712	2.73174
32.8232	2.73333
35.1752	2.73462
37.5273	2.73567
39.8793	2.73653
44.5833	2.73781
49.2874	2.73871
53.9915	2.73935
58.6955	2.73982
63.3996	2.74014
68.1036	2.74036
72.8077	2.74052
77.5117	2.74063
82.2158	2.74072
86.9199	2.74078
91.6239	2.74083
100	2.74088
