WallIDX	TGTConc	PrjFlux	EroFlux_w_by_d	EroFluxPartial_w_by_d
0	1.41929e-22	13.9803	9.91442e-46	6.98549e-24
1	-3.9412e-22	9.01952	-1.60914e-55	4.08287e-34
2	-6.1445e-22	6.21475	-1.45476e-54	2.36758e-33
3	1.15096e-21	6.35323	6.64861e-46	5.77655e-25
4	3.41045e-21	9.299	1.75948e-45	5.15907e-25
5	-1.96414e-21	13.6615	1.44116e-45	-7.33738e-25
6	2.75741e-21	16.7597	4.24237e-44	1.53853e-23
7	-2.49198e-21	17.1124	2.94773e-45	-1.18288e-24
8	3.40649e-22	15.4448	2.21883e-46	6.51354e-25
9	8.52101e-24	10.6219	2.83529e-48	3.32742e-25
10	4.37205e-23	5.75396	5.79781e-55	1.32611e-32
11	2.27592e-23	3.00571	1.11379e-55	4.89381e-33
12	6.44457e-24	2.98799	3.98696e-58	6.18653e-35
13	5.61701e-24	5.30153	8.36599e-59	1.4894e-35
14	-2.24872e-25	8.43508	-4.67469e-61	2.07883e-36
15	-5.52883e-23	13.8464	3.84355e-47	-6.95183e-25
16	-5.7832e-23	8.87778	-2.33176e-58	4.03196e-36
17	-6.4452e-23	6.07158	-3.45054e-57	5.35366e-35
18	-1.17981e-22	6.19288	-2.53066e-55	2.14497e-33
19	-8.49088e-23	9.14522	-5.07588e-47	5.97804e-25
20	-2.41709e-21	13.5176	-4.29671e-45	1.77764e-24
21	2.52161e-21	16.6654	9.80514e-44	3.88845e-23
22	-3.37308e-21	17.0426	1.14709e-43	-3.40072e-23
23	5.72958e-21	15.3143	-1.02395e-43	-1.78714e-23
24	-1.87593e-21	10.4793	3.55247e-43	-1.89371e-22
25	3.08416e-23	5.62681	1.26342e-55	4.09648e-33
26	5.03292e-24	2.87192	5.93258e-57	1.17876e-33
27	-3.57435e-24	2.849	-1.15455e-58	3.23009e-35
28	1.33473e-24	5.15974	2.73885e-59	2.05198e-35
29	3.01979e-24	8.31091	2.19025e-58	7.25297e-35
30	-1.2964e-22	13.9009	1.10526e-45	-8.52564e-24
31	-9.97589e-24	8.88477	-1.11908e-57	1.12179e-34
32	-2.2847e-23	6.08309	-2.72588e-57	1.1931e-34
33	3.69085e-22	6.21177	-2.89711e-44	-7.84946e-23
34	-1.28872e-22	9.16065	-3.68468e-46	2.85917e-24
35	7.56507e-21	13.5226	1.25545e-44	1.65954e-24
36	-2.91358e-21	16.6724	-5.48313e-45	1.88192e-24
37	2.24072e-21	17.0544	6.50834e-44	2.90458e-23
38	-2.68841e-22	15.3251	4.09724e-46	-1.52404e-24
39	-2.31431e-23	10.4866	-8.1354e-47	3.51526e-24
40	-3.24402e-22	5.62829	-1.26525e-44	3.90025e-23
41	1.12084e-23	2.88747	-4.35439e-56	-3.88495e-33
42	1.6446e-24	2.86339	1.80601e-58	1.09815e-34
43	3.57425e-24	5.16145	3.01623e-59	8.4388e-36
44	1.1241e-24	8.33536	2.33046e-60	2.07318e-36
45	-6.70285e-24	13.9549	-1.31976e-47	1.96895e-24
46	2.95764e-23	9.02781	4.79503e-57	1.62124e-34
47	8.60804e-23	6.2166	1.98566e-55	2.30675e-33
48	-5.48986e-22	6.36544	-1.12509e-45	2.0494e-24
49	-1.3868e-22	9.30881	7.70146e-46	-5.55342e-24
50	-2.24106e-22	13.6674	9.35801e-46	-4.17571e-24
51	5.78523e-22	16.7541	-1.0632e-45	-1.83779e-24
52	-1.88342e-21	17.106	-4.4717e-44	2.37424e-23
53	-6.20902e-23	15.4637	-6.48863e-46	1.04503e-23
54	-6.13053e-22	10.6587	2.65469e-44	-4.33027e-23
