WallIDX	Tgt	Prj	Chrg	Value
4	w	al	1	1.10407e-30
4	w	al	2	4.72211e-29
4	w	al	3	2.08023e-28
4	w	d	0	0
4	w	d	1	5.54798e-26
4	w	n	0	0
4	w	n	1	4.54706e-31
4	w	n	2	2.79773e-29
4	w	n	3	1.26242e-28
4	w	w	0	0
4	w	w	1	1.03986e-29
4	w	w	2	1.45525e-28
4	w	w	3	4.25359e-28
5	al	al	0	0.0027068
5	al	al	1	0.0662886
5	al	al	2	0.171827
5	al	al	3	0.29812
5	al	d	0	4.287e-05
5	al	d	1	0.0131185
5	al	n	0	0.00265722
5	al	n	1	0.0697316
5	al	n	2	0.181311
5	al	n	3	0.311062
5	al	w	0	2.52322e-26
5	al	w	1	0.00349039
5	al	w	2	0.0192816
5	al	w	3	0.0593704
5	n	al	0	0.00477342
5	n	al	1	0.0509381
5	n	al	2	0.114357
5	n	al	3	0.179403
5	n	d	0	0.00143711
5	n	d	1	0.0138173
5	n	n	0	0.00668668
5	n	n	1	0.0599283
5	n	n	2	0.127365
5	n	n	3	0.191769
5	n	w	0	3.75047e-06
5	n	w	1	0.00270295
5	n	w	2	0.0126119
5	n	w	3	0.0338404
5	w	al	0	0
5	w	al	1	1.87358e-31
5	w	al	2	2.72147e-30
5	w	al	3	1.73746e-29
5	w	d	0	0
5	w	d	1	-5.37085e-26
5	w	n	0	0
5	w	n	1	6.3072e-32
5	w	n	2	1.59101e-30
5	w	n	3	1.03403e-29
5	w	w	0	0
5	w	w	1	1.98504e-30
5	w	w	2	1.28796e-29
5	w	w	3	5.13806e-29
6	al	al	0	0.00297246
6	al	al	1	0.0740792
6	al	al	2	0.189629
6	al	al	3	0.322811
6	al	d	0	4.70045e-05
6	al	d	1	0.0147169
6	al	n	0	0.00291191
6	al	n	1	0.077911
6	al	n	2	0.200027
6	al	n	3	0.336323
6	al	w	0	7.12651e-24
6	al	w	1	0.00394114
6	al	w	2	0.0228572
6	al	w	3	0.0676956
6	n	al	0	0.00517188
6	n	al	1	0.0557962
6	n	al	2	0.122816
6	n	al	3	0.189788
6	n	d	0	0.00155242
6	n	d	1	0.0150947
6	n	n	0	0.00722712
6	n	n	1	0.0654284
6	n	n	2	0.135901
6	n	n	3	0.201855
6	n	w	0	4.0808e-06
6	n	w	1	0.00301098
6	n	w	2	0.0145579
6	n	w	3	0.037724
6	w	al	0	0
6	w	al	1	-1.30211e-30
6	w	al	2	-2.15248e-29
6	w	al	3	-1.26648e-28
6	w	d	0	0
6	w	d	1	9.17996e-25
6	w	n	0	0
6	w	n	1	-4.32891e-31
6	w	n	2	-1.26536e-29
6	w	n	3	-7.54725e-29
6	w	w	0	0
6	w	w	1	-1.37766e-29
6	w	w	2	-9.58363e-29
6	w	w	3	-3.66684e-28
7	al	al	0	0.00295669
7	al	al	1	0.0744433
7	al	al	2	0.190939
7	al	al	3	0.324612
7	al	d	0	4.68232e-05
