WallIDX	Prj	Chrg	Value
22	n	3	0.289919
22	w	0	0
22	w	1	7.76668e-23
22	w	2	3.76054e-22
22	w	3	8.747e-07
23	al	0	0.00519848
23	al	1	0.0958163
23	al	2	0.178043
23	al	3	0.204955
23	n	0	0.107495
23	n	1	0.311977
23	n	2	0.379602
23	n	3	0.362887
23	w	0	0
23	w	1	3.43676e-25
23	w	2	2.88594e-24
23	w	3	8.2239e-24
24	al	0	0.00458433
24	al	1	0.0712906
24	al	2	0.150504
24	al	3	0.192047
24	n	0	0.0932727
24	n	1	0.264046
24	n	2	0.374817
24	n	3	0.374831
24	w	0	0
24	w	1	1.34572e-24
24	w	2	8.61628e-24
24	w	3	2.88805e-23
25	al	0	0.00374518
25	al	1	0.0632525
25	al	2	0.146112
25	al	3	0.190976
25	n	0	0.0761338
25	n	1	0.248422
25	n	2	0.373813
25	n	3	0.375714
25	w	0	0
25	w	1	3.13533e-26
25	w	2	2.00919e-25
25	w	3	7.34976e-25
26	al	0	0.00307442
26	al	1	0.0554757
26	al	2	0.138516
26	al	3	0.186096
26	n	0	0.0639649
26	n	1	0.232304
26	n	2	0.368589
26	n	3	0.373155
26	w	0	0
26	w	1	-1.4263e-27
26	w	2	-8.69645e-27
26	w	3	-3.48288e-26
27	al	0	0.00328107
27	al	1	0.0383385
27	al	2	0.111715
27	al	3	0.167253
27	n	0	0.0660041
27	n	1	0.200662
27	n	2	0.342453
27	n	3	0.38069
27	w	0	0
27	w	1	-9.63608e-28
27	w	2	-3.21701e-27
27	w	3	-1.82541e-26
28	al	0	0.00416184
28	al	1	0.0363034
28	al	2	0.103549
28	al	3	0.158599
28	n	0	0.0794553
28	n	1	0.201126
28	n	2	0.326166
28	n	3	0.386906
28	w	0	0
28	w	1	-3.67165e-28
28	w	2	-1.232e-27
28	w	3	-5.61586e-27
29	al	0	0.00449112
29	al	1	0.0517104
29	al	2	0.126937
29	al	3	0.179352
29	n	0	0.0885757
29	n	1	0.227627
29	n	2	0.370958
29	n	3	0.38656
29	w	0	0
29	w	1	4.73378e-27
29	w	2	1.27426e-26
29	w	3	7.66466e-26
30	al	0	0.00523495
30	al	1	0.0774274
30	al	2	0.154788
30	al	3	0.19414
30	n	0	0.105566
30	n	1	0.276151
30	n	2	0.377189
30	n	3	0.375766
30	w	0	0
30	w	1	4.17798e-25
30	w	2	2.68702e-24
30	w	3	8.55582e-24
31	al	0	0.00456632
31	al	1	0.0563024
31	al	2	0.13283
31	al	3	0.185076
31	n	0	0.0903513
31	n	1	0.236203
31	n	2	0.374648
31	n	3	0.3865
31	w	0	0
31	w	1	3.32485e-26
31	w	2	1.1881e-25
31	w	3	5.67275e-25
32	al	0	0.00373177
32	al	1	0.0667705
32	al	2	0.149911
32	al	3	0.191996
32	n	0	0.0768872
32	n	1	0.254884
32	n	2	0.372915
32	n	3	0.371797
32	w	0	0
32	w	1	5.87756e-26
32	w	2	4.08665e-25
32	w	3	1.41637e-24
33	al	0	0.00363905
33	al	1	0.0933512
33	al	2	0.180155
33	al	3	0.205961
33	n	0	0.076188
33	n	1	0.307246
33	n	2	0.375383
33	n	3	0.355468
33	w	0	0
33	w	1	7.72289e-25
33	w	2	8.23761e-24
33	w	3	2.28197e-23
34	al	0	0.00422443
34	al	1	0.0906055
34	al	2	0.178275
34	al	3	0.206779
34	n	0	0.0873791
34	n	1	0.301719
34	n	2	0.379388
34	n	3	0.361686
34	w	0	0
34	w	1	8.38486e-26
34	w	2	7.6135e-25
34	w	3	2.22575e-24
35	al	0	0.00493032
35	al	1	0.0983436
35	al	2	0.180204
35	al	3	0.20753
35	n	0	0.101887
35	n	1	0.316944
35	n	2	0.378406
35	n	3	0.360636
35	w	0	0
35	w	1	-8.71178e-26
35	w	2	-8.1378e-25
35	w	3	-2.21443e-24
36	al	0	0.00527369
36	al	1	0.115771
36	al	2	0.186962
36	al	3	0.206396
36	n	0	0.11012
36	n	1	0.351644
36	n	2	0.37178
36	n	3	0.350351
36	w	0	0
36	w	1	1.68222e-26
36	w	2	1.93865e-25
36	w	3	4.67088e-25
37	al	0	0.0049172
37	al	1	0.131548
37	al	2	0.195449
37	al	3	0.202184
37	n	0	0.10678
37	n	1	0.361243
37	n	2	0.358089
37	n	3	0.330297
37	w	0	0
37	w	1	1.5272e-24
37	w	2	1.08499e-23
37	w	3	2.39505e-23
38	al	0	0.00520728
38	al	1	0.099751
38	al	2	0.180106
38	al	3	0.207538
38	n	0	0.107597
38	n	1	0.319712
38	n	2	0.378498
38	n	3	0.361103
38	w	0	0
38	w	1	-1.01309e-25
38	w	2	-9.25774e-25
38	w	3	-2.49564e-24
39	al	0	0.00452433
39	al	1	0.0847163
39	al	2	0.169222
39	al	3	0.201659
39	n	0	0.0926779
39	n	1	0.290157
39	n	2	0.37872
39	n	3	0.367172
39	w	0	0
39	w	1	2.82196e-26
39	w	2	2.28888e-25
39	w	3	6.95019e-25
40	al	0	0.00356473
40	al	1	0.117141
40	al	2	0.193043
40	al	3	0.206767
40	n	0	0.0743144
40	n	1	0.354292
40	n	2	0.368389
40	n	3	0.341874
40	w	0	0
40	w	1	7.59787e-24
40	w	2	1.07238e-22
40	w	3	2.58768e-22
41	al	0	0.00290102
41	al	1	0.123533
41	al	2	0.196918
41	al	3	0.203574
41	n	0	0.0622463
41	n	1	0.360493
41	n	2	0.359666
41	n	3	0.32911
41	w	0	0
41	w	1	2.13843e-26
41	w	2	2.47288e-25
41	w	3	5.74148e-25
42	al	0	0.00320677
42	al	1	0.0504154
42	al	2	0.13232
42	al	3	0.184244
42	n	0	0.0652841
42	n	1	0.223359
42	n	2	0.370059
42	n	3	0.379557
42	w	0	0
42	w	1	-4.93519e-29
42	w	2	-2.32057e-28
42	w	3	-1.10668e-27
43	al	0	0.0041718
43	al	1	0.0363645
43	al	2	0.103691
43	al	3	0.158783
43	n	0	0.0795599
43	n	1	0.201341
43	n	2	0.326428
43	n	3	0.38714
43	w	0	0
43	w	1	-4.49132e-28
43	w	2	-1.5067e-27
43	w	3	-6.8737e-27
44	al	0	0.00449367
44	al	1	0.0518201
44	al	2	0.127106
44	al	3	0.179506
44	n	0	0.0886429
44	n	1	0.227824
44	n	2	0.371287
44	n	3	0.38657
44	w	0	0
44	w	1	-5.60599e-30
44	w	2	-1.50739e-29
44	w	3	-9.08011e-29
45	al	0	0.00523779
45	al	1	0.0775791
45	al	2	0.154943
45	al	3	0.194192
45	n	0	0.105657
45	n	1	0.276439
45	n	2	0.377183
45	n	3	0.375653
45	w	0	0
45	w	1	1.63456e-25
45	w	2	1.0538e-24
45	w	3	3.35053e-24
46	al	0	0.0045625
46	al	1	0.0571919
46	al	2	0.133734
46	al	3	0.18528
46	n	0	0.0905498
46	n	1	0.237747
46	n	2	0.374375
46	n	3	0.385543
46	w	0	0
46	w	1	5.34811e-26
46	w	2	2.03186e-25
46	w	3	9.2972e-25
47	al	0	0.00360994
47	al	1	0.0808304
47	al	2	0.169208
47	al	3	0.201199
47	n	0	0.0758944
47	n	1	0.282372
47	n	2	0.375451
47	n	3	0.361436
47	w	0	0
47	w	1	1.00752e-25
47	w	2	8.80855e-25
47	w	3	2.72599e-24
48	al	0	0.00356907
48	al	1	0.108963
48	al	2	0.187134
48	al	3	0.204522
48	n	0	0.0757539
48	n	1	0.338677
48	n	2	0.368003
48	n	3	0.343731
48	w	0	0
48	w	1	3.23071e-25
48	w	2	4.24127e-24
48	w	3	1.04955e-23
49	al	0	0.00420962
49	al	1	0.0921262
49	al	2	0.178588
49	al	3	0.206829
49	n	0	0.0874725
49	n	1	0.304748
49	n	2	0.378106
49	n	3	0.360065
49	w	0	0
49	w	1	2.3779e-25
49	w	2	2.23745e-24
49	w	3	6.3802e-24
50	al	0	0.0049873
50	al	1	0.0830425
50	al	2	0.162575
50	al	3	0.19701
50	n	0	0.102683
50	n	1	0.286849
50	n	2	0.37632
50	n	3	0.368846
50	w	0	0
50	w	1	4.18119e-25
50	w	2	3.07093e-24
50	w	3	9.33072e-24
51	al	0	0.00534511
51	al	1	0.105651
51	al	2	0.182255
51	al	3	0.207086
51	n	0	0.110886
51	n	1	0.331422
51	n	2	0.376217
51	n	3	0.357647
51	w	0	0
51	w	1	2.87184e-26
51	w	2	2.85225e-25
51	w	3	7.31516e-25
52	al	0	0.00529743
52	al	1	0.123724
52	al	2	0.191384
52	al	3	0.20651
52	n	0	0.110602
52	n	1	0.364178
52	n	2	0.369071
52	n	3	0.345366
52	w	0	0
52	w	1	2.80269e-25
52	w	2	3.04955e-24
52	w	3	7.09342e-24
53	al	0	0.00522443
53	al	1	0.0972727
53	al	2	0.178785
53	al	3	0.205994
53	n	0	0.107959
53	n	1	0.314835
53	n	2	0.379303
53	n	3	0.362399
53	w	0	0
53	w	1	-6.99981e-26
53	w	2	-6.04866e-25
53	w	3	-1.68729e-24
54	al	0	0.00450663
54	al	1	0.0801732
54	al	2	0.162508
54	al	3	0.197697
54	n	0	0.0927754
54	n	1	0.281217
54	n	2	0.376318
54	n	3	0.368447
54	w	0	0
54	w	1	-2.37046e-25
54	w	2	-1.80623e-24
54	w	3	-5.60914e-24
55	al	0	0.00351448
55	al	1	0.106759
55	al	2	0.186849
55	al	3	0.205374
55	n	0	0.0740448
55	n	1	0.334041
55	n	2	0.369819
55	n	3	0.345971
55	w	0	0
55	w	1	-3.15883e-26
55	w	2	-4.08541e-25
55	w	3	-1.02641e-24
56	al	0	0.00261682
56	al	1	0.13935
56	al	2	0.19678
56	al	3	0.194632
56	n	0	0.0596317
56	n	1	0.358217
56	n	2	0.341063
56	n	3	0.30566
56	w	0	0
56	w	1	4.6696e-25
56	w	2	3.22906e-24
56	w	3	4.15137e-07
57	al	0	0.00317935
57	al	1	0.0501022
57	al	2	0.131261
57	al	3	0.183026
57	n	0	0.065285
57	n	1	0.222311
57	n	2	0.368523
57	n	3	0.378192
57	w	0	0
57	w	1	1.56877e-26
57	w	2	7.33135e-26
57	w	3	3.48995e-25
58	al	0	0.00410058
58	al	1	0.0367392
58	al	2	0.103806
58	al	3	0.158326
58	n	0	0.0791491
58	n	1	0.200932
58	n	2	0.326691
58	n	3	0.384936
58	w	0	0
58	w	1	1.89365e-27
58	w	2	6.24863e-27
58	w	3	2.90424e-26
59	al	0	0.00448529
59	al	1	0.0521923
59	al	2	0.12759
59	al	3	0.179885
59	n	0	0.0887465
59	n	1	0.228355
59	n	2	0.372347
59	n	3	0.386218
59	w	0	0
59	w	1	2.96164e-27
59	w	2	7.92454e-27
59	w	3	4.79764e-26
60	al	0	0.0051764
60	al	1	0.0764851
60	al	2	0.153585
60	al	3	0.193302
60	n	0	0.104733
60	n	1	0.274264
60	n	2	0.376404
60	n	3	0.375446
60	w	0	0
60	w	1	1.46688e-25
60	w	2	9.33196e-25
60	w	3	2.98939e-24
61	al	0	0.00446595
61	al	1	0.0541449
61	al	2	0.129674
61	al	3	0.182797
61	n	0	0.0890829
