Time	N_90
3.71394e-05	2.72021
7.42787e-05	2.72007
0.000148557	2.71997
0.000297115	2.72057
0.00059423	2.72494
0.000891345	2.73341
0.00118846	2.74581
0.00148557	2.76194
0.0020798	2.8043
0.00267403	2.85809
0.00326826	2.92072
0.00386249	2.98972
0.00505095	3.13841
0.00612057	3.27563
0.00719018	3.40986
0.0082598	3.53848
0.00932941	3.66024
0.010399	3.77473
0.0114686	3.88236
0.0136079	4.07915
0.0157471	4.25445
0.0178863	4.41261
0.0200255	4.55638
0.0221648	4.68795
0.024304	4.80895
0.0285825	5.02417
0.0328609	5.20923
0.0371394	5.36936
0.0414178	5.50874
0.0499747	5.73575
0.057676	5.89407
0.0653772	6.01911
0.0730784	6.11821
0.0807796	6.1969
0.0884808	6.25942
0.0961821	6.30921
0.103883	6.34877
0.119286	6.40518
0.134688	6.43949
0.150091	6.45982
0.165493	6.47148
0.180895	6.47764
0.196298	6.48014
0.2117	6.4802
0.227103	6.47851
0.257908	6.47189
0.288713	6.46208
0.319517	6.45051
0.350322	6.43798
0.411932	6.41054
0.467381	6.38416
0.52283	6.35653
0.578278	6.32789
0.633727	6.29856
0.689176	6.26881
0.768093	6.22617
0.847011	6.18357
0.918036	6.14553
0.981959	6.11163
1.03949	6.08141
1.09127	6.05451
1.13787	6.03067
1.18447	6.00724
1.23107	5.98424
1.27767	5.9617
1.31863	5.94242
1.35549	5.92536
1.39235	5.90857
1.42922	5.89206
1.46608	5.87585
1.5398	5.84411
1.60616	5.81642
1.67251	5.78959
1.73886	5.76358
1.80522	5.7384
1.86494	5.71671
1.91829	5.69781
1.97165	5.67943
2.025	5.66149
2.07836	5.64402
2.13171	5.62699
2.23843	5.59395
2.34514	5.56248
2.42026	5.54122
2.49538	5.5207
2.5705	5.50096
2.64562	5.48197
2.72074	5.4636
2.79587	5.44583
2.86348	5.43059
2.93109	5.4158
2.99869	5.40147
3.0663	5.38756
3.13391	5.37407
3.26913	5.34805
3.40435	5.3234
3.53957	5.30012
3.67479	5.27813
3.81001	5.25732
3.94523	5.23763
4.08045	5.21894
4.21567	5.20118
4.33697	5.1863
4.44244	5.17384
4.54791	5.16186
4.65338	5.1503
4.86431	5.1281
5.07525	5.10726
5.28618	5.08779
5.49712	5.0696
5.70806	5.05258
5.91899	5.03662
6.12993	5.02155
6.34086	5.00729
6.5518	4.9938
6.76273	4.98105
6.97367	4.969
7.18461	4.95759
7.39554	4.94679
7.81741	4.92675
8.23928	4.90863
8.66116	4.89219
9.08303	4.87721
9.92677	4.85103
10.7705	4.8289
11.6143	4.80982
12.3736	4.79476
13.0487	4.78284
13.7239	4.7721
14.399	4.7624
15.0741	4.75356
15.7492	4.7455
16.4243	4.73814
17.0994	4.7314
17.7746	4.72521
18.4497	4.7195
19.1248	4.71422
19.7999	4.70933
20.475	4.70495
21.063	4.70135
21.6511	4.69797
22.2391	4.69479
23.4151	4.68882
24.5911	4.68346
25.7671	4.67867
28.1191	4.67047
30.4712	4.66386
32.8232	4.65851
35.1752	4.65415
37.5273	4.65062
39.8793	4.64774
44.5833	4.64344
49.2874	4.64047
53.9915	4.63834
58.6955	4.63684
63.3996	4.63581
68.1036	4.63513
72.8077	4.63465
77.5117	4.63432
82.2158	4.63409
86.9199	4.63393
91.6239	4.63382
100	4.63371
