Time	N_90
3.71394e-05	6.62572e-05
7.42787e-05	0.00013251
0.000148557	0.000264987
0.000297115	0.000529889
0.00059423	0.00105917
0.000891345	0.00158711
0.00118846	0.00211313
0.00148557	0.00263676
0.0020798	0.00367506
0.00267403	0.00469868
0.00326826	0.00570491
0.00386249	0.0066917
0.00505095	0.0086031
0.00612057	0.0102488
0.00719018	0.011824
0.0082598	0.013331
0.00932941	0.0147736
0.010399	0.0161555
0.0114686	0.0174806
0.0136079	0.0199744
0.0157471	0.0222792
0.0178863	0.0244156
0.0200255	0.0264004
0.0221648	0.0282477
0.024304	0.0299694
0.0285825	0.0330771
0.0328609	0.0357898
0.0371394	0.038165
0.0414178	0.0402505
0.0499747	0.0436904
0.057676	0.0461281
0.0653772	0.0480845
0.0730784	0.0496629
0.0807796	0.050942
0.0884808	0.0519827
0.0961821	0.0528345
0.103883	0.0535344
0.119286	0.0545937
0.134688	0.0553174
0.150091	0.0558268
0.165493	0.0562008
0.180895	0.0564864
0.196298	0.0567117
0.2117	0.056895
0.227103	0.0570471
0.257908	0.0572887
0.288713	0.0574644
0.319517	0.0575979
0.350322	0.0577022
0.411932	0.0578354
0.467381	0.0578908
0.52283	0.0578953
0.578278	0.0578564
0.633727	0.0577823
0.689176	0.0576802
0.768093	0.0574978
0.847011	0.0572832
0.918036	0.0570705
0.981959	0.0568674
1.03949	0.0566775
1.09127	0.0565025
1.13787	0.0563433
1.18447	0.0561836
1.23107	0.0560244
1.27767	0.0558661
1.31863	0.0557286
1.35549	0.055606
1.39235	0.0554844
1.42922	0.0553641
1.46608	0.0552453
1.5398	0.0550114
1.60616	0.0548055
1.67251	0.0546044
1.73886	0.0544083
1.80522	0.0542172
1.86494	0.0540515
1.91829	0.0539069
1.97165	0.0537657
2.025	0.0536276
2.07836	0.0534928
2.13171	0.0533612
2.23843	0.0531051
2.34514	0.0528603
2.42026	0.0526953
2.49538	0.0525373
2.5705	0.0523866
2.64562	0.0522431
2.72074	0.0521054
2.79587	0.0519727
2.86348	0.0518595
2.93109	0.0517497
2.99869	0.0516433
3.0663	0.0515402
3.13391	0.05144
3.26913	0.0512466
3.40435	0.0510627
3.53957	0.0508884
3.67479	0.050723
3.81001	0.0505657
3.94523	0.050416
4.08045	0.0502733
4.21567	0.0501369
4.33697	0.050022
4.44244	0.0499253
4.54791	0.0498321
4.65338	0.0497419
4.86431	0.0495677
5.07525	0.0494029
5.28618	0.0492478
5.49712	0.049102
5.70806	0.0489648
5.91899	0.0488354
6.12993	0.0487126
6.34086	0.0485958
6.5518	0.0484849
6.76273	0.0483796
6.97367	0.0482798
7.18461	0.048185
7.39554	0.048095
7.81741	0.0479273
8.23928	0.047775
8.66116	0.0476361
9.08303	0.047509
9.92677	0.0472856
10.7705	0.0470954
11.6143	0.0469306
12.3736	0.0468001
13.0487	0.0466966
13.7239	0.0466032
14.399	0.0465187
15.0741	0.0464416
15.7492	0.0463712
16.4243	0.0463069
17.0994	0.0462478
17.7746	0.0461936
18.4497	0.0461435
19.1248	0.0460972
19.7999	0.0460543
20.475	0.0460157
21.063	0.0459841
21.6511	0.0459544
22.2391	0.0459264
23.4151	0.0458739
24.5911	0.0458267
25.7671	0.0457844
28.1191	0.0457122
30.4712	0.0456538
32.8232	0.0456065
35.1752	0.0455681
37.5273	0.0455369
39.8793	0.0455114
44.5833	0.0454735
49.2874	0.0454473
53.9915	0.0454286
58.6955	0.0454153
63.3996	0.0454063
68.1036	0.0454003
72.8077	0.0453962
77.5117	0.0453933
82.2158	0.0453914
86.9199	0.04539
91.6239	0.0453891
100	0.0453882
