WallIDX	TGTConc	PrjFlux	EroFlux_n_by_al	EroFluxPartial_n_by_al
0	0.5	0.026349	0.000681064	0.00136213
1	0.5	0.0256794	0.000486873	0.000973747
2	0.5	0.0393146	0.00172676	0.00345353
3	0.5	0.0772219	0.0102509	0.0205019
4	0.5	0.048595	0.0019124	0.00382481
5	0.5	0.0436982	0.00123104	0.00246208
6	0.5	0.0541938	0.00166827	0.00333654
7	0.5	0.0560532	0.00171748	0.00343495
8	0.5	0.0463752	0.00136333	0.00272666
9	0.5	0.0338148	0.000919357	0.00183871
10	0.5	0.0319432	0.00150977	0.00301955
11	0.5	0.0228512	0.00118023	0.00236047
12	0.5	0.0103624	0.0001577	0.000315401
13	0.5	0.00766829	9.76712e-05	0.000195342
14	0.5	0.0081867	0.000137988	0.000275976
15	0.5	0.0250079	0.000609406	0.00121881
16	0.5	0.0214498	0.00040306	0.000806119
17	0.5	0.0232713	0.000482114	0.000964227
18	0.5	0.0334299	0.00112212	0.00224423
19	0.5	0.0329597	0.000859607	0.00171921
20	0.5	0.0442058	0.0013364	0.0026728
21	0.5	0.0888175	0.00463832	0.00927664
22	0.5	0.129363	0.0098463	0.0196926
23	0.5	0.0481499	0.00143014	0.00286028
24	0.5	0.0299226	0.000677525	0.00135505
25	0.5	0.0194529	0.00041794	0.00083588
26	0.5	0.0119827	0.000237608	0.000475216
27	0.5	0.00718735	0.000105134	0.000210269
28	0.5	0.00699918	8.38505e-05	0.000167701
29	0.5	0.00805594	0.000131811	0.000263622
30	0.5	0.0233681	0.000560532	0.00112106
31	0.5	0.0176345	0.000316926	0.000633851
32	0.5	0.0169737	0.000380319	0.000760639
33	0.5	0.0214343	0.000661842	0.00132368
34	0.5	0.0301776	0.000848523	0.00169705
35	0.5	0.0441261	0.00137198	0.00274397
36	0.5	0.0655626	0.0023829	0.0047658
37	0.5	0.0855063	0.00396957	0.00793914
38	0.5	0.0518299	0.00166394	0.00332787
39	0.5	0.0331937	0.000921497	0.00184299
40	0.5	0.0229253	0.000878172	0.00175634
41	0.5	0.0137272	0.000569856	0.00113971
42	0.5	0.00724294	0.000125625	0.00025125
43	0.5	0.00641362	7.91183e-05	0.000158237
44	0.5	0.00768196	0.000123559	0.000247118
45	0.5	0.0234174	0.000552203	0.00110441
46	0.5	0.0199661	0.000344248	0.000688495
47	0.5	0.0232969	0.0005564	0.0011128
48	0.5	0.0298909	0.000968765	0.00193753
49	0.5	0.0339243	0.000952158	0.00190432
50	0.5	0.0373568	0.000979287	0.00195857
51	0.5	0.0558017	0.00181267	0.00362534
52	0.5	0.0699324	0.00278415	0.00556829
53	0.5	0.046544	0.00143459	0.00286918
54	0.5	0.0321555	0.000818458	0.00163692
55	0.5	0.0271537	0.000859087	0.00171817
56	0.5	0.0210756	0.000976398	0.0019528
57	0.5	0.00960971	0.000154578	0.000309156
58	0.5	0.00690882	7.9994e-05	0.000159988
59	0.5	0.00779836	0.00013067	0.00026134
60	0.5	0.0260172	0.000649153	0.00129831
61	0.5	0.0258865	0.000440681	0.000881362
62	0.5	0.0757257	0.00869689	0.0173938
63	0.5	0.141332	0.03796	0.0759199
64	0.5	0.0770959	0.0054399	0.0108798
65	0.5	0.048552	0.00135666	0.00271331
66	0.5	0.0920991	0.00471549	0.00943099
67	0.5	0.113264	0.00765591	0.0153118
68	0.5	0.0547278	0.00176489	0.00352979
69	0.5	0.0448989	0.00140943	0.00281886
70	0.5	0.0982977	0.0231855	0.046371
71	0.5	0.0744243	0.0250722	0.0501444
72	0.5	0.0244716	0.00152659	0.00305319
73	0.5	0.0100379	0.000120621	0.000241242
74	0.5	0.00917935	0.000156982	0.000313964
75	0.5	0.0282984	0.000738824	0.00147765
76	0.5	0.0301728	0.000547766	0.00109553
77	0.5	0.0658825	0.00531357	0.0106271
78	0.5	0.125974	0.0275122	0.0550245
79	0.5	0.0645619	0.00327213	0.00654425
80	0.5	0.0486774	0.00132478	0.00264955
81	0.5	0.0571839	0.00177125	0.00354251
82	0.5	0.0603888	0.0019528	0.0039056
83	0.5	0.0487474	0.00151546	0.00303093
84	0.5	0.0387589	0.000944846	0.00188969
85	0.5	0.062443	0.0064617	0.0129234
86	0.5	0.0527012	0.00887981	0.0177596
87	0.5	0.0168192	0.000292773	0.000585547
88	0.5	0.00968542	0.000119585	0.00023917
89	0.5	0.00932252	0.000171406	0.000342812
90	-2.40992e-07	0.626824	1.64704e-18	-6.83443e-12
91	-2.84275e-08	0.0631999	2.78846e-21	-9.80903e-14
92	-4.99484e-10	0.0011797	1.21662e-26	-2.43576e-17
93	-3.45163e-11	8.13806e-05	3.48099e-30	-1.00851e-19
