Material balance for: n after 163 time steps
Material balance at each time step (1E20/sec):
	Mean -0.0242847 +/- 0.0036094 (x 1E20))
Integrated material balance (Units 1E20 particles) components:
	TransportLoss: 2.04571
	TotalAccumulation: -2.04571
	TotalSeeded: 0
Integrated material balance (Units 1E20 particles):
	TransportLoss + TotalAccumulation: -2.31585e-06
Seeding == 0 ratio not calculated
Time(sec)	MatrixLoss	NETAdensChg	Seeding	LossPlusAcc
3.71394e-05	0.0291596	-0.0291596	0	-1.09709e-10
7.42787e-05	0.0291592	-0.0291593	0	-6.43821e-08
0.000148557	0.0291586	-0.0291586	0	-8.71004e-11
0.000297115	0.0291573	-0.0291573	0	-6.9604e-14
0.00059423	0.0291552	-0.0291552	0	-1.67726e-11
0.000891345	0.0291538	-0.0291538	0	1.64567e-09
0.00118846	0.0291532	-0.0291531	0	5.90508e-08
0.00148557	0.029153	-0.029153	0	2.15821e-08
0.0020798	0.0291544	-0.0291544	0	-5.06043e-13
0.00267403	0.0291578	-0.0291576	0	1.88342e-07
0.00326826	0.0291625	-0.0291623	0	1.37271e-07
0.00386249	0.029168	-0.0291681	0	-8.31313e-08
0.00505095	0.0291815	-0.0291815	0	-3.23628e-11
0.00612057	0.0291941	-0.0291942	0	-1.21693e-07
0.00719018	0.0292032	-0.0292065	0	-3.35404e-06
0.0082598	0.0292148	-0.0292181	0	-3.27428e-06
0.00932941	0.0292274	-0.0292287	0	-1.27992e-06
0.010399	0.0292374	-0.0292382	0	-8.37133e-07
0.0114686	0.0292468	-0.0292468	0	-2.36857e-09
0.0136079	0.0292603	-0.0292613	0	-9.7034e-07
0.0157471	0.0292727	-0.0292727	0	4.3172e-12
0.0178863	0.0292813	-0.0292819	0	-5.91137e-07
0.0200255	0.0292907	-0.0292891	0	1.55133e-06
0.0221648	0.0292953	-0.0292948	0	5.27874e-07
0.024304	0.0292996	-0.0292991	0	5.17307e-07
0.0285825	0.0293044	-0.0293044	0	7.96314e-13
0.0328609	0.0293061	-0.0293061	0	-4.26109e-08
0.0371394	0.0293062	-0.0293048	0	1.37906e-06
0.0414178	0.029302	-0.029301	0	9.39001e-07
0.0499747	0.0292872	-0.0292872	0	7.57757e-11
0.057676	0.0292692	-0.0292692	0	-2.98571e-08
0.0653772	0.0292506	-0.0292471	0	3.58266e-06
0.0730784	0.0292239	-0.0292217	0	2.19506e-06
0.0807796	0.0291954	-0.0291938	0	1.56137e-06
0.0884808	0.029165	-0.0291639	0	1.12385e-06
0.0961821	0.0291326	-0.0291325	0	4.09208e-08
0.103883	0.0291001	-0.0290999	0	1.36663e-07
0.119286	0.0290322	-0.0290324	0	-1.75441e-07
0.134688	0.0289627	-0.0289627	0	6.83367e-11
0.150091	0.0288935	-0.0288921	0	1.47816e-06
0.165493	0.0288237	-0.0288211	0	2.59604e-06
0.180895	0.0287524	-0.0287504	0	1.99459e-06
0.196298	0.0286811	-0.0286799	0	1.20229e-06
