WallIDX	al	n	w
0	0.0370555	0.0403582	7.35203e-25
1	0.0349013	0.0397059	2.77553e-25
2	0.0501213	0.0733025	3.03963e-26
3	0.0934644	0.128052	-1.37995e-25
4	0.0642207	0.0954432	1.90929e-26
5	0.0607867	0.0848447	-1.79255e-25
6	0.0759537	0.0999121	-2.68656e-26
7	0.0784271	0.107406	-6.90166e-25
8	0.0653408	0.0828384	-1.42492e-24
9	0.046908	0.062995	-2.3141e-24
10	0.042404	0.0612321	-7.8435e-25
11	0.0291243	0.0417725	-1.21765e-25
12	0.013709	0.0175458	-1.17425e-25
13	0.0107918	0.0121506	-2.59257e-26
14	0.0118116	0.0135193	-3.47721e-26
15	0.0358081	0.0396348	1.90176e-25
16	0.0302287	0.0325741	4.90409e-26
17	0.031572	0.0383719	-3.47334e-26
18	0.04425	0.0618383	-1.2785e-25
19	0.0450391	0.0626023	2.44632e-26
20	0.0611675	0.0891925	1.74038e-25
21	0.119349	0.158339	-5.61992e-26
22	0.169481	0.217844	-1.55844e-23
23	0.0664485	0.0909704	-6.66051e-24
24	0.0420668	0.0536473	-1.21011e-23
25	0.027149	0.034653	-2.42505e-24
26	0.016506	0.0237165	-6.37e-25
27	0.0102019	0.0145514	-8.83735e-26
28	0.0102023	0.0110269	-1.05498e-25
29	0.0118472	0.0130003	-1.88133e-25
30	0.0338714	0.0367675	-1.2935e-24
31	0.0255957	0.0278524	-4.76135e-25
32	0.0241862	0.0346229	-3.98362e-25
33	0.029967	0.0451223	-8.00534e-25
34	0.0421951	0.0575539	-2.49583e-25
35	0.0613916	0.0821807	6.22733e-25
36	0.0899605	0.129399	-1.00827e-24
37	0.115527	0.166683	-6.30105e-24
38	0.0714846	0.0950981	-4.97014e-24
39	0.0465642	0.0592823	-3.49734e-24
40	0.0320233	0.0442077	9.79764e-24
41	0.0189725	0.0296151	2.34034e-24
42	0.0103005	0.0146782	2.84427e-25
43	0.00942429	0.00992623	6.15439e-26
44	0.0112995	0.0123463	9.46471e-26
45	0.0338919	0.0369926	-3.63217e-25
46	0.0285041	0.0317949	-1.91702e-25
47	0.0315802	0.0482833	-6.10755e-26
48	0.0396606	0.062635	3.80196e-25
49	0.0466583	0.065283	7.75159e-25
50	0.0524895	0.0715101	3.4412e-25
51	0.0778492	0.107311	-4.64254e-25
52	0.0970723	0.13032	-2.8225e-24
53	0.0650555	0.0879986	1.55424e-24
54	0.0448858	0.0609779	6.03586e-24
55	0.036211	0.0535009	4.38306e-24
56	0.0271314	0.0420107	1.57187e-24
57	0.01309	0.0186616	3.89499e-25
58	0.00998044	0.0119029	1.17066e-25
59	0.0113981	0.0131696	8.52034e-26
60	0.03637	0.0426389	-3.19862e-25
61	0.0343877	0.0412626	-5.2393e-26
62	0.0902916	0.125397	2.06326e-25
63	0.162018	0.198031	7.9706e-25
64	0.0971786	0.135063	9.0907e-25
65	0.0660695	0.09121	1.93384e-25
66	0.124179	0.157942	-1.85578e-25
67	0.149851	0.199547	1.20808e-25
68	0.0748849	0.103895	4.73679e-25
69	0.0592564	0.084524	1.14937e-24
70	0.11373	0.148229	-8.28719e-25
71	0.083349	0.110164	-6.13135e-24
72	0.0297258	0.0404376	-1.24633e-24
73	0.0134133	0.0140591	-2.39399e-25
74	0.0130003	0.0148133	-1.24181e-25
75	0.0388191	0.0448251	3.95895e-25
76	0.0394383	0.0437872	8.06047e-26
77	0.0794459	0.115475	-9.14739e-26
78	0.1442	0.200005	-4.15676e-26
79	0.0819331	0.118671	1.57044e-25
80	0.0662504	0.0837455	2.35994e-25
81	0.0787435	0.101082	6.55517e-25
82	0.0829029	0.1141	-2.011e-25
83	0.0669858	0.090129	-1.72324e-24
84	0.0513965	0.0665918	-1.32534e-24
85	0.0757871	0.101852	-1.62293e-25
86	0.0611187	0.089276	-1.04242e-24
87	0.0204444	0.028284	-4.67558e-25
88	0.0129015	0.0148319	-1.8846e-25
89	0.0129087	0.0147969	-1.15184e-25
90	2.74088	4.63371	0.00969082
91	0.183745	0.310369	0.000603572
92	0.00261281	0.00374733	7.59381e-06
93	0.000221858	0.000273304	8.57394e-07
