WallIDX	al	n	w
0	0.716323	0.283677	1.41929e-22
1	0.727828	0.272172	-3.9412e-22
2	0.671826	0.328174	-6.1445e-22
3	0.578708	0.421292	1.15096e-21
4	0.683711	0.316289	3.41045e-21
5	0.698016	0.301983	-1.96414e-21
6	0.700527	0.299473	2.75741e-21
7	0.698171	0.301829	-2.49198e-21
8	0.704003	0.295997	3.40649e-22
9	0.702003	0.297997	8.52101e-24
10	0.668073	0.331927	4.37205e-23
11	0.654152	0.345848	2.27592e-23
12	0.725726	0.274274	6.44457e-24
13	0.755571	0.244429	5.61701e-24
14	0.731059	0.268941	-2.24872e-25
15	0.715968	0.284032	-5.52883e-23
16	0.732579	0.26742	-5.7832e-23
17	0.71662	0.28338	-6.4452e-23
18	0.690434	0.309565	-1.17981e-22
19	0.697791	0.302209	-8.49088e-23
20	0.693892	0.306108	-2.41709e-21
21	0.660484	0.339516	2.52161e-21
22	0.627662	0.372338	-3.37308e-21
23	0.698627	0.301373	5.72958e-21
24	0.709913	0.290087	-1.87593e-21
25	0.710528	0.289472	3.08416e-23
26	0.694483	0.305517	5.03292e-24
27	0.718143	0.281856	-3.57435e-24
28	0.760067	0.239933	1.33473e-24
29	0.733207	0.266793	3.01979e-24
30	0.716354	0.283646	-1.2964e-22
31	0.730676	0.269324	-9.97589e-24
32	0.701104	0.298896	-2.2847e-23
33	0.690333	0.309667	3.69085e-22
34	0.698426	0.301574	-1.28872e-22
35	0.699044	0.300956	7.56507e-21
36	0.692076	0.307924	-2.91358e-21
37	0.667526	0.332474	2.24072e-21
38	0.699131	0.300869	-2.68841e-22
39	0.705124	0.294876	-2.31431e-23
40	0.693152	0.306848	-3.24402e-22
41	0.674756	0.325244	1.12084e-23
42	0.709486	0.290514	1.6446e-24
43	0.761004	0.238996	3.57425e-24
44	0.733057	0.266943	1.1241e-24
45	0.716123	0.283877	-6.70285e-24
46	0.728333	0.271667	2.95764e-23
47	0.68761	0.31239	8.60804e-23
48	0.681508	0.318492	-5.48986e-22
49	0.695331	0.304669	-1.3868e-22
50	0.701589	0.298411	-2.24106e-22
51	0.696429	0.30357	5.78523e-22
52	0.692155	0.307845	-1.88342e-21
53	0.699085	0.300915	-6.20902e-23
54	0.701672	0.298328	-6.13053e-22
55	0.686236	0.313764	4.16538e-23
56	0.640729	0.359271	2.07513e-23
57	0.703435	0.296565	4.79403e-24
58	0.750697	0.249303	-6.0752e-25
59	0.73069	0.269309	-1.37807e-24
60	0.713932	0.286068	-1.80618e-22
61	0.724473	0.275527	1.53238e-22
62	0.580306	0.419694	-7.5923e-21
63	0.552624	0.447376	-8.02974e-22
64	0.618997	0.381003	1.53193e-22
65	0.697591	0.302408	-9.68705e-22
66	0.666097	0.333903	1.19766e-21
67	0.637387	0.362613	-3.53845e-21
68	0.69611	0.30389	2.81051e-22
69	0.69169	0.30831	-1.7905e-22
70	0.552155	0.447845	5.71088e-23
71	0.540552	0.459447	-5.01208e-22
72	0.630544	0.369455	2.14676e-23
73	0.765572	0.234428	4.18128e-24
74	0.73243	0.26757	9.94172e-25
75	0.714412	0.285587	1.08613e-22
76	0.731518	0.268482	-4.23675e-22
77	0.602728	0.397272	1.82498e-20
78	0.55049	0.44951	7.03857e-22
79	0.651256	0.348744	-6.2136e-23
80	0.705552	0.294448	-6.21695e-23
81	0.702589	0.297411	1.6202e-22
82	0.697166	0.302834	7.73232e-23
83	0.700082	0.299918	-2.9467e-24
84	0.705502	0.294498	7.25243e-23
85	0.59132	0.40868	-1.52619e-21
86	0.561562	0.438438	7.11833e-23
87	0.692707	0.307293	1.32493e-23
88	0.756682	0.243318	4.96979e-24
89	0.732003	0.267997	5.19486e-24
90	0.129616	0.0453882	0.824996
91	0.18419	0.0818756	0.733935
92	0.125783	0.0589568	0.81526
93	0.0114746	0.00649683	0.982029
