WallIDX	TGTConc	PrjFlux	EroFlux_n_by_w	EroFluxPartial_n_by_w
29	0.266793	-1.88133e-25	-6.69021e-29	-2.50764e-28
30	0.283646	-1.2935e-24	-4.80376e-28	-1.69358e-27
31	0.269324	-4.76135e-25	-1.60822e-28	-5.97134e-28
32	0.298896	-3.98362e-25	-2.15771e-28	-7.21894e-28
33	0.309667	-8.00534e-25	-4.66262e-28	-1.50569e-27
34	0.301574	-2.49583e-25	-1.84896e-28	-6.13103e-28
35	0.300956	6.22733e-25	2.07764e-28	6.90347e-28
36	0.307924	-1.00827e-24	-9.89424e-28	-3.21321e-27
37	0.332474	-6.30105e-24	-1.02888e-26	-3.09463e-26
38	0.300869	-4.97014e-24	-4.0432e-27	-1.34384e-26
39	0.294876	-3.49734e-24	-2.47184e-27	-8.38264e-27
40	0.306848	9.79764e-24	5.37538e-27	1.7518e-26
41	0.325244	2.34034e-24	2.76392e-27	8.49799e-27
42	0.290514	2.84427e-25	1.14336e-28	3.93566e-28
43	0.238996	6.15439e-26	8.25558e-30	3.45427e-29
44	0.266943	9.46471e-26	2.78873e-29	1.04469e-28
45	0.283877	-3.63217e-25	-2.39175e-28	-8.42532e-28
46	0.271667	-1.91702e-25	-7.6784e-29	-2.8264e-28
47	0.31239	-6.10755e-26	-8.39699e-29	-2.68798e-28
48	0.318492	3.80196e-25	2.90513e-28	9.12152e-28
49	0.304669	7.75159e-25	3.45837e-28	1.13512e-27
50	0.298411	3.4412e-25	1.52e-28	5.09365e-28
51	0.30357	-4.64254e-25	-3.31284e-28	-1.09129e-27
52	0.307845	-2.8225e-24	-2.52721e-27	-8.20936e-27
53	0.300915	1.55424e-24	9.58854e-28	3.18646e-27
54	0.298328	6.03586e-24	2.54555e-27	8.53273e-27
55	0.313764	4.38306e-24	4.26271e-27	1.35857e-26
56	0.359271	1.57187e-24	6.02453e-27	1.67687e-26
57	0.296565	3.89499e-25	2.1573e-28	7.27427e-28
58	0.249303	1.17066e-25	2.53944e-29	1.01862e-28
59	0.269309	8.52034e-26	2.7299e-29	1.01367e-28
60	0.286068	-3.19862e-25	-1.05356e-28	-3.6829e-28
61	0.275527	-5.2393e-26	-1.87679e-29	-6.81162e-29
62	0.419694	2.06326e-25	3.45473e-27	8.23155e-27
63	0.447376	7.9706e-25	7.60828e-26	1.70065e-25
64	0.381003	9.0907e-25	4.52673e-27	1.18811e-26
65	0.302408	1.93384e-25	1.10234e-28	3.64521e-28
