WallIDX	TGTConc	PrjFlux	EroFlux_w_by_w	EroFluxPartial_w_by_w
78	7.03857e-22	-2.48928e-25	-2.15978e-73	-3.06849e-52
79	-6.2136e-23	-1.55259e-25	-3.31491e-77	5.33494e-55
80	-6.21695e-23	-3.84084e-25	-3.4035e-77	5.47455e-55
81	1.6202e-22	-6.10736e-25	-7.36905e-76	-4.54823e-54
82	7.73232e-23	-5.74516e-25	4.43719e-78	5.7385e-56
83	-2.9467e-24	-1.69029e-24	8.19948e-77	-2.7826e-53
84	7.25243e-23	-2.40759e-24	-6.25187e-76	-8.62039e-54
85	-1.52619e-21	-2.94446e-24	-5.38003e-73	3.52513e-52
86	7.11833e-23	-3.88131e-24	8.46495e-74	1.18918e-51
87	1.32493e-23	-1.5002e-24	2.00622e-77	1.51421e-54
88	4.96979e-24	-5.94216e-25	6.67956e-79	1.34403e-55
89	5.19486e-24	-3.8647e-25	5.31839e-79	1.02378e-55
90	0.824996	0.00969082	3.16739e-07	3.83928e-07
91	0.733935	0.000603572	3.38948e-08	4.61823e-08
92	0.81526	7.59381e-06	1.2557e-10	1.54024e-10
93	0.982029	8.57394e-07	1.97324e-11	2.00935e-11
