WallIDX	TGTConc	PrjFlux	EroFlux_w_by_n	EroFluxPartial_w_by_n
0	0	0.0660568	0	0
1	0	0.0621431	0	0
2	0	0.102918	0	0
3	0	0.168585	0	0
4	0	0.139455	0	0
5	0	0.133641	0	0
6	0	0.160227	0	0
7	0	0.171871	0	0
8	0	0.133832	0	0
9	0	0.0996828	0	0
10	0	0.0905272	0	0
11	0	0.0595655	0	0
12	0	0.0266179	0	0
13	0	0.0202037	0	0
14	0	0.0232288	0	0
15	0	0.0664255	0	0
16	0	0.0539736	0	0
17	0	0.0599477	0	0
18	0	0.0915931	0	0
19	0	0.0963401	0	0
20	0	0.138896	0	0
21	0	0.23733	0	0
22	0	0.315973	0	0
23	0	0.141917	0	0
24	0	0.0859622	0	0
25	0	0.0551864	0	0
26	0	0.037156	0	0
27	0	0.0238917	0	0
28	0	0.0192511	0	0
29	0	0.0227123	0	0
30	0	0.0629536	0	0
31	0	0.0477752	0	0
32	0	0.057002	0	0
33	0	0.0722534	0	0
34	0	0.0920709	0	0
35	0	0.130315	0	0
36	0	0.199881	0	0
37	0	0.252	0	0
38	0	0.148905	0	0
39	0	0.0955497	0	0
40	0	0.0706714	0	0
41	0	0.046733	0	0
42	0	0.024144	0	0
43	0	0.0175312	0	0
44	0	0.0218079	0	0
45	0	0.0630008	0	0
46	0	0.0522126	0	0
47	0	0.0744191	0	0
48	0	0.0930331	0	0
49	0	0.101465	0	0
50	0	0.114626	0	0
51	0	0.17105	0	0
52	0	0.205825	0	0
53	0	0.140592	0	0
54	0	0.0963989	0	0
55	0	0.0804453	0	0
56	0	0.0604008	0	0
57	0	0.0285663	0	0
58	0	0.0199801	0	0
59	0	0.0226955	0	0
60	0	0.0684093	0	0
61	0	0.0617342	0	0
62	0	0.161269	0	0
63	0	0.244761	0	0
64	0	0.184124	0	0
65	0	0.138139	0	0
66	0	0.237521	0	0
67	0	0.292559	0	0
68	0	0.159988	0	0
69	0	0.124998	0	0
70	0	0.18711	0	0
71	0	0.134709	0	0
72	0	0.0542593	0	0
73	0	0.0220872	0	0
74	0	0.02455	0	0
75	0	0.0704331	0	0
76	0	0.0641373	0	0
77	0	0.149475	0	0
78	0	0.246896	0	0
79	0	0.164391	0	0
80	0	0.128273	0	0
81	0	0.15758	0	0
82	0	0.177418	0	0
83	0	0.14043	0	0
84	0	0.0985794	0	0
85	0	0.133939	0	0
86	0	0.112168	0	0
87	0	0.0382238	0	0
88	0	0.0229225	0	0
89	0	0.0235523	0	0
90	1	2.72043	0.0059748	0.0059748
91	1	0.257766	0.00113893	0.00113893
92	1	0.00407228	4.88024e-06	4.88024e-06
93	1	0.000281876	2.29243e-07	2.29243e-07
