WallIDX	TGTConc	PrjFlux	EroFlux_al_by_w	EroFluxPartial_al_by_w
0	0.716323	-3.39644e-26	-4.58026e-28	-6.39414e-28
1	0.727828	-4.36477e-26	-1.09664e-28	-1.50673e-28
2	0.671826	1.2074e-26	1.60046e-28	2.38225e-28
3	0.578708	3.13484e-26	8.8892e-28	1.53604e-27
4	0.683711	1.80918e-25	6.12213e-28	8.95428e-28
5	0.698016	4.10413e-25	4.6571e-28	6.6719e-28
6	0.700527	1.6418e-24	2.34305e-27	3.3447e-27
7	0.698171	-3.15498e-25	-4.58382e-28	-6.56547e-28
8	0.704003	-1.33095e-24	-1.70101e-27	-2.4162e-27
9	0.702003	-2.71031e-24	-2.72918e-27	-3.88771e-27
10	0.668073	-1.25107e-24	-5.36697e-27	-8.03351e-27
11	0.654152	-4.70223e-25	-2.28353e-27	-3.49082e-27
12	0.725726	-2.66838e-25	-3.20773e-28	-4.42003e-28
13	0.755571	-1.04788e-25	-9.92222e-29	-1.31321e-28
14	0.731059	-8.33698e-26	-1.2787e-28	-1.74911e-28
15	0.715968	1.29268e-25	4.06868e-28	5.68277e-28
16	0.732579	1.92469e-26	1.5449e-28	2.10885e-28
17	0.71662	-2.48354e-25	2.86099e-29	3.99233e-29
18	0.690434	-1.12352e-24	1.86378e-28	2.69942e-28
19	0.697791	2.10883e-25	9.34422e-28	1.33911e-27
20	0.693892	1.18167e-24	2.30397e-27	3.32036e-27
21	0.660484	4.7979e-24	2.17553e-26	3.29384e-26
22	0.627662	-5.4406e-24	-5.7947e-26	-9.2322e-26
23	0.698627	-7.51173e-24	-1.63274e-26	-2.33708e-26
24	0.709913	-1.77461e-23	-2.20684e-26	-3.1086e-26
25	0.710528	-5.42054e-24	-9.11931e-27	-1.28345e-26
26	0.694483	-1.50604e-24	-3.30022e-27	-4.75205e-27
27	0.718143	-2.16355e-25	-3.20165e-28	-4.45823e-28
28	0.760067	-1.7708e-25	-1.95804e-28	-2.57614e-28
29	0.733207	-3.23409e-25	-4.95976e-28	-6.76447e-28
30	0.716354	-1.21389e-24	-2.0638e-27	-2.88098e-27
31	0.730676	-7.96896e-25	-1.14106e-27	-1.56164e-27
32	0.701104	-2.20586e-24	-3.01241e-27	-4.29667e-27
33	0.690333	-7.50215e-24	-1.14663e-26	-1.66098e-26
34	0.698426	-1.39365e-24	-2.30809e-27	-3.3047e-27
35	0.699044	6.83749e-25	1.40101e-27	2.00418e-27
36	0.692076	1.45936e-24	3.06723e-27	4.43192e-27
37	0.667526	2.30132e-24	6.97944e-27	1.04557e-26
38	0.699131	-4.03387e-24	-1.05948e-26	-1.51542e-26
39	0.705124	-6.93607e-24	-1.29991e-26	-1.84352e-26
40	0.693152	1.41295e-25	-4.46026e-27	-6.43475e-27
41	0.674756	-2.16898e-25	-1.01279e-27	-1.50098e-27
42	0.709486	-1.55133e-25	-1.90168e-28	-2.68037e-28
43	0.761004	-2.12941e-25	-2.66158e-28	-3.49746e-28
44	0.733057	-1.82338e-25	-2.86978e-28	-3.91481e-28
45	0.716123	-4.6363e-25	-1.09486e-27	-1.52887e-27
46	0.728333	-4.16712e-25	-6.61849e-28	-9.08719e-28
47	0.68761	-1.42161e-24	-2.89134e-27	-4.20492e-27
48	0.681508	-2.25045e-24	-5.23242e-27	-7.67772e-27
49	0.695331	-1.37059e-24	-2.81542e-27	-4.04903e-27
50	0.701589	-5.31512e-25	-5.92613e-28	-8.44672e-28
51	0.696429	5.49525e-25	1.27982e-27	1.83769e-27
52	0.692155	3.71805e-24	1.03076e-26	1.48921e-26
53	0.699085	8.35847e-25	1.40951e-27	2.01622e-27
54	0.701672	-3.69941e-24	-4.1106e-27	-5.85829e-27
55	0.686236	-1.19127e-24	-1.2465e-27	-1.81643e-27
56	0.640729	-1.15402e-24	-1.65092e-27	-2.57663e-27
57	0.703435	-3.1674e-25	3.86859e-29	5.49957e-29
58	0.750697	-6.90406e-26	-3.14548e-29	-4.19008e-29
59	0.73069	-5.82226e-26	-9.26067e-29	-1.26739e-28
60	0.713932	-7.18076e-25	-7.99547e-28	-1.11992e-27
61	0.724473	-2.68205e-25	-2.92839e-28	-4.04211e-28
62	0.580306	-4.99576e-25	-1.49747e-26	-2.58048e-26
63	0.552624	-6.75608e-25	-8.30693e-26	-1.50318e-25
64	0.618997	-4.52065e-25	-5.4268e-27	-8.76708e-27
65	0.697591	-3.22439e-25	-6.12735e-28	-8.78358e-28
66	0.666097	-1.67433e-24	-7.10233e-27	-1.06626e-26
67	0.637387	9.13387e-25	8.55173e-27	1.34169e-26
68	0.69611	-2.90372e-25	-6.15761e-28	-8.84574e-28
69	0.69169	-2.13269e-24	-4.01663e-27	-5.80698e-27
70	0.552155	-5.61146e-24	-4.95162e-25	-8.9678e-25
71	0.540552	-1.94878e-23	-3.17311e-24	-5.87012e-24
72	0.630544	-3.95519e-24	-2.66176e-26	-4.22137e-26
73	0.765572	-7.33678e-25	-7.26114e-28	-9.48459e-28
74	0.73243	-3.99299e-25	-6.02569e-28	-8.22698e-28
75	0.714412	-1.92024e-24	-2.7301e-27	-3.82146e-27
76	0.731518	-7.57827e-25	-1.01324e-27	-1.38512e-27
77	0.602728	-3.46962e-25	-6.53838e-27	-1.0848e-26
78	0.55049	-2.48928e-25	-2.04434e-26	-3.71367e-26
79	0.651256	-1.55259e-25	-9.93505e-28	-1.52552e-27
80	0.705552	-3.84084e-25	-7.74618e-28	-1.09789e-27
81	0.702589	-6.10736e-25	-1.53516e-27	-2.18501e-27
82	0.697166	-5.74516e-25	-1.47448e-27	-2.11496e-27
