NetAdensChange element = n wk = 44	-0.0654531
NetAdensChange element = w wk = 44	0
NetAdensChange element = al wk = 45	-0.128798
NetAdensChange element = n wk = 45	-0.138201
NetAdensChange element = w wk = 45	0
NetAdensChange element = al wk = 46	-0.0423375
NetAdensChange element = n wk = 46	-0.0633387
NetAdensChange element = w wk = 46	0
NetAdensChange element = al wk = 47	-0.0423803
NetAdensChange element = n wk = 47	-0.0602464
NetAdensChange element = w wk = 47	0
NetAdensChange element = al wk = 48	-0.0695999
NetAdensChange element = n wk = 48	-0.0838353
NetAdensChange element = w wk = 48	0
NetAdensChange element = al wk = 49	-0.0865444
NetAdensChange element = n wk = 49	-0.0994848
NetAdensChange element = w wk = 49	0
NetAdensChange element = al wk = 50	-0.122651
NetAdensChange element = n wk = 50	-0.13143
NetAdensChange element = w wk = 50	0
NetAdensChange element = al wk = 51	-0.205971
NetAdensChange element = n wk = 51	-0.209126
NetAdensChange element = w wk = 51	0
NetAdensChange element = al wk = 52	-0.257277
NetAdensChange element = n wk = 52	-0.259174
NetAdensChange element = w wk = 52	0
NetAdensChange element = al wk = 53	-0.17317
NetAdensChange element = n wk = 53	-0.177917
NetAdensChange element = w wk = 53	0
NetAdensChange element = al wk = 54	-0.0852356
NetAdensChange element = n wk = 54	-0.0985996
NetAdensChange element = w wk = 54	0
NetAdensChange element = al wk = 55	-0.0594034
NetAdensChange element = n wk = 55	-0.0752287
NetAdensChange element = w wk = 55	0
NetAdensChange element = al wk = 56	-0.0545639
NetAdensChange element = n wk = 56	-0.0672938
NetAdensChange element = w wk = 56	0
NetAdensChange element = al wk = 57	-0.00577694
NetAdensChange element = n wk = 57	-0.0177499
NetAdensChange element = w wk = 57	0
NetAdensChange element = al wk = 58	-0.0117052
NetAdensChange element = n wk = 58	-0.0295526
NetAdensChange element = w wk = 58	0
NetAdensChange element = al wk = 59	-0.046381
NetAdensChange element = n wk = 59	-0.0665607
NetAdensChange element = w wk = 59	0
NetAdensChange element = al wk = 60	-0.121902
NetAdensChange element = n wk = 60	-0.131594
NetAdensChange element = w wk = 60	0
NetAdensChange element = al wk = 61	-0.0300181
NetAdensChange element = n wk = 61	-0.0513445
NetAdensChange element = w wk = 61	0
NetAdensChange element = al wk = 62	-0.279398
NetAdensChange element = n wk = 62	-0.281026
NetAdensChange element = w wk = 62	0
NetAdensChange element = al wk = 63	-0.503786
NetAdensChange element = n wk = 63	-0.504497
NetAdensChange element = w wk = 63	0
NetAdensChange element = al wk = 64	-0.264439
NetAdensChange element = n wk = 64	-0.266487
NetAdensChange element = w wk = 64	0
NetAdensChange element = al wk = 65	-0.124267
NetAdensChange element = n wk = 65	-0.131754
NetAdensChange element = w wk = 65	0
NetAdensChange element = al wk = 66	-0.323649
NetAdensChange element = n wk = 66	-0.324914
NetAdensChange element = w wk = 66	0
NetAdensChange element = al wk = 67	-0.444896
NetAdensChange element = n wk = 67	-0.445693
NetAdensChange element = w wk = 67	0
NetAdensChange element = al wk = 68	-0.170563
NetAdensChange element = n wk = 68	-0.175028
NetAdensChange element = w wk = 68	0
NetAdensChange element = al wk = 69	-0.105402
NetAdensChange element = n wk = 69	-0.11495
NetAdensChange element = w wk = 69	0
NetAdensChange element = al wk = 70	-0.417844
NetAdensChange element = n wk = 70	-0.418796
NetAdensChange element = w wk = 70	0
NetAdensChange element = al wk = 71	-0.256565
NetAdensChange element = n wk = 71	-0.257989
NetAdensChange element = w wk = 71	0
NetAdensChange element = al wk = 72	-0.06234
NetAdensChange element = n wk = 72	-0.0731169
NetAdensChange element = w wk = 72	0
NetAdensChange element = al wk = 73	-0.00613252
NetAdensChange element = n wk = 73	-0.024005
NetAdensChange element = w wk = 73	0
NetAdensChange element = al wk = 74	-0.0414718
NetAdensChange element = n wk = 74	-0.0620448
NetAdensChange element = w wk = 74	0
NetAdensChange element = al wk = 75	-0.123643
NetAdensChange element = n wk = 75	-0.132921
NetAdensChange element = w wk = 75	0
NetAdensChange element = al wk = 76	-0.0286729
NetAdensChange element = n wk = 76	-0.0503928
NetAdensChange element = w wk = 76	0
NetAdensChange element = al wk = 77	-0.191844
NetAdensChange element = n wk = 77	-0.194887
NetAdensChange element = w wk = 77	0
NetAdensChange element = al wk = 78	-0.443493
NetAdensChange element = n wk = 78	-0.444224
NetAdensChange element = w wk = 78	0
NetAdensChange element = al wk = 79	-0.167815
NetAdensChange element = n wk = 79	-0.172234
NetAdensChange element = w wk = 79	0
NetAdensChange element = al wk = 80	-0.10922
NetAdensChange element = n wk = 80	-0.118365
NetAdensChange element = w wk = 80	0
NetAdensChange element = al wk = 81	-0.170307
NetAdensChange element = n wk = 81	-0.174754
NetAdensChange element = w wk = 81	0
NetAdensChange element = al wk = 82	-0.187922
NetAdensChange element = n wk = 82	-0.191558
NetAdensChange element = w wk = 82	0
NetAdensChange element = al wk = 83	-0.160781
NetAdensChange element = n wk = 83	-0.166099
NetAdensChange element = w wk = 83	0
NetAdensChange element = al wk = 84	-0.0661561
NetAdensChange element = n wk = 84	-0.0810267
NetAdensChange element = w wk = 84	0
NetAdensChange element = al wk = 85	-0.229787
NetAdensChange element = n wk = 85	-0.232073
NetAdensChange element = w wk = 85	0
NetAdensChange element = al wk = 86	-0.165873
NetAdensChange element = n wk = 86	-0.168725
NetAdensChange element = w wk = 86	0
NetAdensChange element = al wk = 87	0.0020229
NetAdensChange element = n wk = 87	-0.00929665
NetAdensChange element = w wk = 87	0
NetAdensChange element = al wk = 88	-0.00680836
NetAdensChange element = n wk = 88	-0.024171
NetAdensChange element = w wk = 88	0
NetAdensChange element = al wk = 89	-0.0421727
NetAdensChange element = n wk = 89	-0.0626445
NetAdensChange element = w wk = 89	0
NetAdensChange element = al wk = 90	0.00196436
NetAdensChange element = n wk = 90	-0.000475471
NetAdensChange element = w wk = 90	-0.00167909
NetAdensChange element = al wk = 91	0.00588876
NetAdensChange element = n wk = 91	3.223e-05
NetAdensChange element = w wk = 91	-0.000882647
NetAdensChange element = al wk = 92	0.00114116
NetAdensChange element = n wk = 92	0.00133679
NetAdensChange element = w wk = 92	-4.92789e-06
NetAdensChange element = al wk = 93	0.000104501
NetAdensChange element = n wk = 93	0.000117514
NetAdensChange element = w wk = 93	1.97322e-07
ADensResiduumODE element = al wk = 0	0.00463616
ADensResiduumODE element = n wk = 0	-0.00463616
ADensResiduumODE element = w wk = 0	0
ADensResiduumODE element = al wk = 1	0.0107241
ADensResiduumODE element = n wk = 1	-0.0107241
ADensResiduumODE element = w wk = 1	0
