WallIDX	al	n	w
0	-0.0882181	-0.22756	0
1	-0.0261052	-0.0816954	0
2	-0.0654817	-0.144654	0
3	-0.282172	-0.380768	0
4	-0.0899884	-0.206477	0
5	-0.0905872	-0.213934	0
6	-0.129789	-0.308261	0
7	-0.134222	-0.314243	0
8	-0.115839	-0.279767	0
9	-0.0627761	-0.152575	0
10	-0.0710588	-0.145144	0
11	-0.0391548	-0.0762071	0
12	-0.00198781	-0.0113925	0
13	-0.00946906	-0.0334446	0
14	-0.0344251	-0.0942493	0
15	-0.0874624	-0.222626	0
16	-0.0279946	-0.0833317	0
17	-0.0168988	-0.0511452	0
18	-0.0416168	-0.101955	0
19	-0.0489173	-0.119209	0
20	-0.102824	-0.237614	0
21	-0.256599	-0.495543	0
22	-0.404666	-0.666929	0
23	-0.117057	-0.278885	0
24	-0.0504132	-0.127984	0
25	-0.0187504	-0.0498089	0
26	-0.00564434	-0.0137478	0
27	-0.00347697	-0.00992017	0
28	-0.00920862	-0.0319058	0
29	-0.0333883	-0.0918941	0
30	-0.0896717	-0.22693	0
31	-0.0322207	-0.0897896	0
32	-0.0272432	-0.0630518	0
33	-0.0453845	-0.100574	0
34	-0.0632251	-0.148435	0
35	-0.106148	-0.251427	0
36	-0.159872	-0.36792	0
37	-0.227493	-0.454413	0
38	-0.12131	-0.290109	0
39	-0.0651584	-0.159433	0
40	-0.054379	-0.123772	0
41	-0.0320504	-0.064996	0
42	-0.00770018	-0.0190794	0
43	-0.00977006	-0.033304	0
44	-0.0339504	-0.0931137	0
45	-0.0903003	-0.228544	0
46	-0.0318792	-0.090611	0
47	-0.0341248	-0.0776497	0
48	-0.0529692	-0.119084	0
49	-0.0636202	-0.150127	0
50	-0.0876822	-0.209157	0
51	-0.146189	-0.33934	0
52	-0.183531	-0.417372	0
53	-0.122672	-0.288978	0
54	-0.0622354	-0.150471	0
55	-0.0455263	-0.1052	0
56	-0.0460826	-0.0815106	0
57	-0.00616552	-0.0172158	0
58	-0.0103369	-0.0339092	0
59	-0.0349597	-0.0951157	0
60	-0.0850736	-0.217679	0
61	-0.022015	-0.0728051	0
62	-0.240352	-0.330211	0
63	-0.463548	-0.557257	0
64	-0.212464	-0.344463	0
65	-0.0876548	-0.21364	0
66	-0.241049	-0.47999	0
67	-0.349505	-0.601045	0
68	-0.120292	-0.285252	0
69	-0.0748303	-0.181145	0
70	-0.384585	-0.460785	0
71	-0.243989	-0.276964	0
72	-0.0512321	-0.0906068	0
73	-0.00544141	-0.0272928	0
74	-0.0312942	-0.0878245	0
75	-0.0854776	-0.222143	0
76	-0.019746	-0.0753247	0
77	-0.157731	-0.242335	0
78	-0.410198	-0.487745	0
79	-0.126767	-0.245377	0
80	-0.0757043	-0.195368	0
81	-0.118395	-0.291104	0
82	-0.132113	-0.313669	0
83	-0.11289	-0.272184	0
84	-0.0464694	-0.127136	0
85	-0.193532	-0.2795	0
86	-0.150676	-0.187659	0
87	0.00111836	-0.00787424	0
88	-0.00603491	-0.0272963	0
89	-0.0315449	-0.0895992	0
90	0.303224	1.10618	-0.00140904
91	0.0300652	0.106798	-0.00139753
92	0.000572156	0.00164229	-1.30224e-06
93	4.05563e-05	0.000113287	5.73826e-07
