WallIDX	TGTConc	PrjFlux	EroFlux_al_by_n	EroFluxPartial_al_by_n
0	0.716323	0.0403582	0.00122992	0.001717
1	0.727828	0.0397059	0.000873699	0.00120042
2	0.671826	0.0733025	0.00367804	0.00547468
3	0.578708	0.128052	0.0179787	0.0310669
4	0.683711	0.0954432	0.00448467	0.00655932
5	0.698016	0.0848447	0.00280137	0.00401333
6	0.700527	0.0999121	0.0037178	0.00530715
7	0.698171	0.107406	0.00410763	0.00588341
8	0.704003	0.0828384	0.00312247	0.00443531
9	0.702003	0.062995	0.00201711	0.00287337
10	0.668073	0.0612321	0.00332012	0.00496969
11	0.654152	0.0417725	0.00240226	0.00367232
12	0.725726	0.0175458	0.000305329	0.000420722
13	0.755571	0.0121506	0.000189825	0.000251234
14	0.731059	0.0135193	0.000279525	0.000382357
15	0.715968	0.0396348	0.00118236	0.00165142
16	0.732579	0.0325741	0.00070058	0.000956319
17	0.71662	0.0383719	0.000947273	0.00132186
18	0.690434	0.0618383	0.00245997	0.00356293
19	0.697791	0.0626023	0.00186088	0.00266682
20	0.693892	0.0891925	0.00320683	0.00462151
21	0.660484	0.158339	0.00981428	0.0148592
22	0.627662	0.217844	0.0184884	0.0294559
23	0.698627	0.0909704	0.00332216	0.00475527
24	0.709913	0.0536473	0.00148373	0.00209001
25	0.710528	0.034653	0.000838221	0.00117972
26	0.694483	0.0237165	0.000520635	0.000749673
27	0.718143	0.0145514	0.000240559	0.000334973
28	0.760067	0.0110269	0.000165579	0.000217848
29	0.733207	0.0130003	0.000271703	0.000370568
30	0.716354	0.0367675	0.00108371	0.00151282
31	0.730676	0.0278524	0.000596965	0.000817003
32	0.701104	0.0346229	0.000898055	0.00128092
33	0.690333	0.0451223	0.00163488	0.00236824
34	0.698426	0.0575539	0.00194945	0.00279121
35	0.699044	0.0821807	0.00307654	0.00440108
36	0.692076	0.129399	0.00581688	0.00840497
37	0.667526	0.166683	0.00950936	0.0142457
38	0.699131	0.0950981	0.00359929	0.00514823
39	0.705124	0.0592823	0.00197356	0.00279889
40	0.693152	0.0442077	0.00203454	0.0029352
41	0.674756	0.0296151	0.00149289	0.0022125
42	0.709486	0.0146782	0.00030641	0.000431876
43	0.761004	0.00992623	0.000143724	0.000188862
44	0.733057	0.0123463	0.000255328	0.000348305
45	0.716123	0.0369926	0.00108928	0.00152108
46	0.728333	0.0317949	0.000663709	0.000911272
47	0.68761	0.0482833	0.00137998	0.00200692
48	0.681508	0.062635	0.00245834	0.0036072
49	0.695331	0.065283	0.00221612	0.00318714
50	0.701589	0.0715101	0.00214364	0.00305541
51	0.696429	0.107311	0.00425868	0.00611503
52	0.692155	0.13032	0.00656951	0.00949139
53	0.699085	0.0879986	0.00322652	0.00461534
54	0.701672	0.0609779	0.0018449	0.0026293
55	0.686236	0.0535009	0.00202701	0.00295381
56	0.640729	0.0420107	0.00236187	0.00368622
57	0.703435	0.0186616	0.000334169	0.000475053
58	0.750697	0.0119029	0.00016332	0.000217558
59	0.73069	0.0131696	0.000277095	0.000379223
60	0.713932	0.0426389	0.00129949	0.00182019
61	0.724473	0.0412626	0.000824655	0.00113828
62	0.580306	0.125397	0.015713	0.0270771
63	0.552624	0.198031	0.0530269	0.0959547
64	0.618997	0.135063	0.0104923	0.0169505
65	0.697591	0.09121	0.003105	0.00445103
66	0.666097	0.157942	0.0099253	0.0149007
67	0.637387	0.199547	0.015277	0.0239682
68	0.69611	0.103895	0.00408558	0.00586916
69	0.69169	0.084524	0.00316169	0.00457096
70	0.552155	0.148229	0.0336405	0.0609257
71	0.540552	0.110164	0.0341821	0.0632355
72	0.630544	0.0404376	0.00268053	0.00425113
73	0.765572	0.0140591	0.000198333	0.000259065
74	0.73243	0.0148133	0.00030538	0.000416942
75	0.714412	0.0448251	0.00141645	0.00198268
76	0.731518	0.0437872	0.00093724	0.00128123
77	0.602728	0.115475	0.00986762	0.0163716
78	0.55049	0.200005	0.0425988	0.0773835
79	0.651256	0.118671	0.0067852	0.0104186
80	0.705552	0.0837455	0.0026928	0.00381659
81	0.702589	0.101082	0.00370957	0.00527986
82	0.697166	0.1141	0.00443438	0.00636058
83	0.700082	0.090129	0.00340619	0.00486542
84	0.705502	0.0665918	0.00189937	0.00269223
85	0.59132	0.101852	0.0111205	0.0188063
86	0.561562	0.089276	0.0149621	0.0266437
87	0.692707	0.028284	0.000546704	0.000789229
88	0.756682	0.0148319	0.000221185	0.00029231
89	0.732003	0.0147969	0.000319236	0.000436113
90	0.129616	4.63371	0.0207147	0.159816
91	0.18419	0.310369	0.00317051	0.0172133
92	0.125783	0.00374733	1.58179e-05	0.000125756
93	0.0114746	0.000273304	1.00522e-08	8.76035e-07
