Time	N_90
3.71394e-05	1.61401
7.42787e-05	1.61377
0.000148557	1.61342
0.000297115	1.61318
0.00059423	1.6146
0.000891345	1.61848
0.00118846	1.62471
0.00148557	1.63316
0.0020798	1.65605
0.00267403	1.6857
0.00326826	1.72055
0.00386249	1.75911
0.00505095	1.84232
0.00612057	1.91895
0.00719018	1.99359
0.0082598	2.06472
0.00932941	2.13163
0.010399	2.19414
0.0114686	2.25252
0.0136079	2.35827
0.0157471	2.45126
0.0178863	2.53423
0.0200255	2.60883
0.0221648	2.67644
0.024304	2.73804
0.0285825	2.84622
0.0328609	2.93779
0.0371394	3.01581
0.0414178	3.08281
0.0499747	3.18972
0.057676	3.2623
0.0653772	3.31807
0.0730784	3.36097
0.0807796	3.39385
0.0884808	3.4189
0.0961821	3.43786
0.103883	3.45196
0.119286	3.46948
0.134688	3.47691
0.150091	3.47805
0.165493	3.47545
0.180895	3.4706
0.196298	3.46437
0.2117	3.4573
0.227103	3.44971
0.257908	3.43382
0.288713	3.41747
0.319517	3.40123
0.350322	3.38536
0.411932	3.35476
0.467381	3.32857
0.52283	3.30351
0.578278	3.27942
0.633727	3.25621
0.689176	3.23383
0.768093	3.20333
0.847011	3.17426
0.918036	3.1492
0.981959	3.12745
1.03949	3.10845
1.09127	3.09178
1.13787	3.07718
1.18447	3.06295
1.23107	3.04909
1.27767	3.0356
1.31863	3.02415
1.35549	3.01406
1.39235	3.00417
1.42922	2.99447
1.46608	2.98497
1.5398	2.96644
1.60616	2.95034
1.67251	2.93481
1.73886	2.91981
1.80522	2.90533
1.86494	2.8929
1.91829	2.88208
1.97165	2.87158
2.025	2.86134
2.07836	2.85138
2.13171	2.84169
2.23843	2.82289
2.34514	2.80502
2.42026	2.79291
2.49538	2.78115
2.5705	2.76976
2.64562	2.75874
2.72074	2.74805
2.79587	2.73768
2.86348	2.72877
2.93109	2.72011
2.99869	2.71171
3.0663	2.70357
3.13391	2.69567
3.26913	2.68046
3.40435	2.66607
3.53957	2.65251
3.67479	2.63974
3.81001	2.62768
3.94523	2.61632
4.08045	2.60555
4.21567	2.59537
4.33697	2.58686
4.44244	2.57975
4.54791	2.57293
4.65338	2.56637
4.86431	2.55378
5.07525	2.54203
5.28618	2.5311
5.49712	2.52093
5.70806	2.51145
5.91899	2.50259
6.12993	2.49425
6.34086	2.48639
6.5518	2.47898
6.76273	2.47199
6.97367	2.4654
7.18461	2.45917
7.39554	2.45328
7.81741	2.44239
8.23928	2.43258
8.66116	2.42371
9.08303	2.41565
9.92677	2.40163
10.7705	2.38983
11.6143	2.3797
12.3736	2.37172
13.0487	2.36541
13.7239	2.35973
14.399	2.35461
15.0741	2.34995
15.7492	2.34571
16.4243	2.34183
17.0994	2.33829
17.7746	2.33503
18.4497	2.33203
19.1248	2.32926
19.7999	2.3267
20.475	2.3244
21.063	2.32251
21.6511	2.32074
22.2391	2.31908
23.4151	2.31595
24.5911	2.31314
25.7671	2.31064
28.1191	2.30635
30.4712	2.30289
32.8232	2.3001
35.1752	2.29782
37.5273	2.29598
39.8793	2.29447
44.5833	2.29222
49.2874	2.29067
53.9915	2.28955
58.6955	2.28876
63.3996	2.28822
68.1036	2.28787
72.8077	2.28761
77.5117	2.28744
82.2158	2.28731
86.9199	2.28722
91.6239	2.28716
100	2.2871
