WallIDX100.000	al	n	w
0	16.585	17.2647	-2.18275e-22
1	7.58425	8.43403	1.2171e-29
2	14.1311	16.7566	3.90234e-28
3	41.9011	45.5534	3.85767e-20
4	19.0663	22.5174	2.14452e-19
5	18.8943	21.6519	1.4903e-20
6	26.0216	28.7821	2.41186e-20
7	26.794	30.0587	-6.47608e-20
8	23.0506	25.1643	-1.8909e-20
9	13.6507	15.6131	-4.49877e-23
10	13.7868	15.9793	1.47329e-28
11	8.07687	9.63055	6.85771e-29
12	1.72277	2.4831	2.35778e-31
13	2.54165	3.08321	8.68838e-32
14	6.23766	6.77573	1.02505e-31
15	16.2611	17.0004	-6.29339e-23
16	7.28366	7.90007	2.10092e-30
17	5.75358	6.80175	6.48624e-30
18	10.3939	12.4931	3.55379e-29
19	11.4877	13.585	-3.52827e-24
20	20.5543	23.7026	2.3927e-20
21	45.9489	50.1737	-1.21013e-19
22	67.6253	72.7726	-3.65283e-19
23	23.2883	26.0943	5.58403e-19
24	11.4804	12.9999	-1.03023e-21
25	5.41663	6.52709	1.00521e-30
26	2.37997	3.44545	4.38171e-31
27	1.45426	2.26894	6.55022e-32
28	2.41149	2.91127	5.93121e-32
29	6.08255	6.57037	2.9153e-32
30	16.3499	16.9982	3.39043e-22
31	7.31725	7.92087	3.89791e-31
32	6.17502	7.57995	2.07866e-31
33	9.22011	11.0804	-4.94178e-21
34	13.1124	14.9981	-2.63307e-22
35	21.1893	23.6167	7.48674e-20
36	31.4682	35.7629	1.42098e-19
37	42.0181	47.4724	3.44695e-19
38	24.443	27.1595	-4.42082e-20
39	13.97	15.6034	-1.70324e-22
40	10.7385	12.3077	-2.19257e-22
41	6.11416	7.508	-8.6618e-31
42	2.0459	2.84928	5.91937e-32
43	2.41317	2.87393	1.32684e-32
44	6.10927	6.58266	1.67541e-32
45	16.4421	17.1074	9.06105e-23
46	7.58889	8.29073	6.99488e-31
47	7.87423	9.8883	3.62796e-30
48	11.2973	13.9243	-1.61299e-22
49	13.6337	15.8406	1.65062e-22
50	17.6884	19.9363	-7.29232e-24
51	28.3788	31.6798	-1.19692e-19
52	35.388	39.0746	-1.16538e-19
53	23.8694	26.5153	1.80375e-19
54	13.3307	15.2891	3.3221e-22
55	9.98069	12.0388	2.82566e-30
56	8.55178	10.3163	5.57512e-29
57	2.15179	3.06017	1.13738e-31
58	2.54083	3.12979	-1.09407e-32
59	6.25632	6.79765	3.52859e-32
60	16.0142	16.989	1.10847e-22
61	6.97412	8.0202	6.42766e-30
62	36.9785	40.6915	7.29845e-19
63	66.537	70.3043	-2.27612e-19
64	36.159	40.1957	7.71481e-20
65	19.1697	22.0219	2.21429e-19
66	44.7222	48.4291	-8.46169e-21
67	59.407	64.6825	-1.76934e-20
68	24.5845	27.8327	-1.81808e-21
69	16.6756	19.5372	3.42471e-22
70	53.1335	56.748	5.71211e-23
71	33.9762	36.8036	3.60714e-19
72	9.53733	10.873	2.13561e-28
73	2.32179	2.79957	2.64546e-31
74	5.93441	6.484	3.43891e-31
75	16.4222	17.3684	8.5234e-22
76	7.35731	8.15591	1.55145e-29
77	27.1893	31.011	-6.83233e-19
78	58.7447	64.4796	-1.19018e-19
79	25.0442	28.999	-8.76566e-24
80	17.7326	19.8298	5.62839e-20
81	24.9415	27.5293	-9.44867e-21
82	27.0942	30.5684	7.5385e-21
83	22.8422	25.5049	1.7847e-20
84	12.1239	13.9801	4.15561e-22
85	30.5915	33.3962	2.21077e-20
86	22.7762	25.7606	2.72559e-26
87	2.11052	3.22087	2.71635e-30
88	2.32974	2.92491	4.00763e-31
89	5.99367	6.54316	4.18082e-31
90	270.649	472.045	1.13949
91	18.0156	31.5499	0.145892
92	0.172559	0.34032	0.00107945
93	0.0146877	0.0237494	6.8786e-05
