WallIDX	TGTConc	PrjFlux	EroFlux_w_by_n	EroFluxPartial_w_by_n
28	1.33473e-24	0.0110269	-5.74589e-60	-4.3049e-36
29	3.01979e-24	0.0130003	-1.15772e-58	-3.83377e-35
30	-1.2964e-22	0.0367675	-3.45524e-54	2.66527e-32
31	-9.97589e-24	0.0278524	6.91517e-57	-6.93188e-34
32	-2.2847e-23	0.0346229	7.83791e-56	-3.43061e-33
33	3.69085e-22	0.0451223	9.09386e-53	2.4639e-31
34	-1.28872e-22	0.0575539	3.30868e-54	-2.56741e-32
35	7.56507e-21	0.0821807	2.45186e-53	3.24102e-33
36	-2.91358e-21	0.129399	-2.60074e-52	8.92627e-32
37	2.24072e-21	0.166683	-2.28656e-51	-1.02046e-30
38	-2.68841e-22	0.0950981	-8.17138e-55	3.03949e-33
39	-2.31431e-23	0.0592823	2.69682e-55	-1.16528e-32
40	-3.24402e-22	0.0442077	4.28676e-53	-1.32143e-31
41	1.12084e-23	0.0296151	3.21304e-56	2.86664e-33
42	1.6446e-24	0.0146782	1.51895e-59	9.23596e-36
43	3.57425e-24	0.00992623	-1.90577e-59	-5.33194e-36
44	1.1241e-24	0.0123463	-1.90866e-59	-1.69795e-35
45	-6.70285e-24	0.0369926	1.16099e-55	-1.73208e-32
46	2.95764e-23	0.0317949	-6.96535e-57	-2.35503e-34
47	8.60804e-23	0.0482833	-3.62227e-55	-4.20801e-33
48	-5.48986e-22	0.062635	-9.82305e-54	1.78931e-32
49	-1.3868e-22	0.065283	-3.15656e-54	2.27615e-32
50	-2.24106e-22	0.0715101	3.3118e-55	-1.47778e-33
51	5.78523e-22	0.107311	1.52769e-53	2.64068e-32
52	-1.88342e-21	0.13032	1.26719e-51	-6.72816e-31
53	-6.20902e-23	0.0879986	3.05621e-54	-4.9222e-32
54	-6.13053e-22	0.0609779	-5.36085e-53	8.74452e-32
55	4.16538e-23	0.0535009	-1.60965e-55	-3.86435e-33
56	2.07513e-23	0.0420107	-5.47059e-55	-2.63626e-32
57	4.79403e-24	0.0186616	-3.95918e-58	-8.25857e-35
58	-6.0752e-25	0.0119029	2.86193e-60	-4.71085e-36
59	-1.37807e-24	0.0131696	1.31368e-59	-9.53274e-36
60	-1.80618e-22	0.0426389	-5.63555e-54	3.12015e-32
61	1.53238e-22	0.0412626	-4.24615e-56	-2.77095e-34
62	-7.5923e-21	0.125397	6.51847e-50	-8.58562e-30
