WallIDX	TGTConc	PrjFlux	EroFlux_w_by_al	EroFluxPartial_w_by_al
0	1.41929e-22	0.0370555	-1.60106e-53	-1.12808e-31
1	-3.9412e-22	0.0349013	-6.88609e-55	1.7472e-33
2	-6.1445e-22	0.0501213	-2.22846e-54	3.62676e-33
3	1.15096e-21	0.0934644	-7.60055e-51	-6.60364e-30
4	3.41045e-21	0.0642207	2.7066e-52	7.9362e-32
5	-1.96414e-21	0.0607867	-1.88196e-53	9.58163e-33
6	2.75741e-21	0.0759537	-2.28834e-52	-8.29888e-32
7	-2.49198e-21	0.0784271	1.81948e-52	-7.30131e-32
8	3.40649e-22	0.0653408	-1.91603e-54	-5.62464e-33
9	8.52101e-24	0.046908	-5.78124e-56	-6.78469e-33
10	4.37205e-23	0.042404	-7.49407e-55	-1.71409e-32
11	2.27592e-23	0.0291243	-1.49471e-55	-6.56749e-33
12	6.44457e-24	0.013709	-6.17547e-58	-9.58244e-35
13	5.61701e-24	0.0107918	-1.22903e-58	-2.18805e-35
14	-2.24872e-25	0.0118116	6.32263e-60	-2.81166e-35
15	-5.52883e-23	0.0358081	-7.22323e-55	1.30647e-32
16	-5.7832e-23	0.0302287	-3.18275e-56	5.50345e-34
17	-6.4452e-23	0.031572	4.7339e-56	-7.34485e-34
18	-1.17981e-22	0.04425	1.87216e-54	-1.58683e-32
19	-8.49088e-23	0.0450391	6.42566e-55	-7.56772e-33
20	-2.41709e-21	0.0611675	1.05001e-52	-4.34409e-32
21	2.52161e-21	0.119349	-6.94328e-51	-2.75351e-30
22	-3.37308e-21	0.169481	1.02134e-49	-3.02793e-29
23	5.72958e-21	0.0664485	4.4211e-52	7.71627e-32
24	-1.87593e-21	0.0420668	-8.83565e-52	4.71001e-31
25	3.08416e-23	0.027149	-2.4511e-55	-7.94737e-33
26	5.03292e-24	0.016506	-5.51621e-57	-1.09603e-33
27	-3.57435e-24	0.0102019	1.02739e-58	-2.87433e-35
28	1.33473e-24	0.0102023	-2.51478e-59	-1.88411e-35
29	3.01979e-24	0.0118472	-3.94886e-58	-1.30766e-34
30	-1.2964e-22	0.0338714	-9.94912e-54	7.67445e-32
31	-9.97589e-24	0.0255957	2.55713e-56	-2.56331e-33
32	-2.2847e-23	0.0241862	1.75622e-55	-7.68687e-33
33	3.69085e-22	0.029967	1.98988e-52	5.39138e-31
34	-1.28872e-22	0.0421951	7.38526e-54	-5.73067e-32
35	7.56507e-21	0.0613916	5.50247e-53	7.27351e-33
36	-2.91358e-21	0.0899605	-4.6195e-52	1.5855e-31
37	2.24072e-21	0.115527	-2.76027e-51	-1.23187e-30
38	-2.68841e-22	0.0714846	-2.24807e-54	8.36209e-33
39	-2.31431e-23	0.0465642	6.86671e-55	-2.96706e-32
40	-3.24402e-22	0.0320233	1.23625e-52	-3.81086e-31
41	1.12084e-23	0.0189725	5.05083e-56	4.5063e-33
42	1.6446e-24	0.0103005	3.03425e-59	1.84498e-35
43	3.57425e-24	0.00942429	-9.37216e-59	-2.62214e-35
44	1.1241e-24	0.0112995	-6.47022e-59	-5.75593e-35
45	-6.70285e-24	0.0338919	3.22693e-55	-4.81426e-32
46	2.95764e-23	0.0285041	-2.34012e-56	-7.91213e-34
47	8.60804e-23	0.0315802	-6.49328e-55	-7.54328e-33
48	-5.48986e-22	0.0396606	-1.63274e-53	2.97409e-32
49	-1.3868e-22	0.0466583	-6.20989e-54	4.47787e-32
50	-2.24106e-22	0.0524895	7.81052e-55	-3.4852e-33
51	5.78523e-22	0.0778492	3.3244e-53	5.74635e-32
52	-1.88342e-21	0.0970723	2.09032e-51	-1.10985e-30
53	-6.20902e-23	0.0650555	6.51484e-54	-1.04925e-31
54	-6.13053e-22	0.0448858	-1.2745e-52	2.07894e-31
55	4.16538e-23	0.036211	-2.89024e-55	-6.93872e-33
56	2.07513e-23	0.0271314	-6.0419e-55	-2.91158e-32
57	4.79403e-24	0.01309	-9.45844e-58	-1.97296e-34
58	-6.0752e-25	0.00998044	1.10939e-59	-1.8261e-35
59	-1.37807e-24	0.0113981	4.24737e-59	-3.08211e-35
60	-1.80618e-22	0.03637	-1.57326e-53	8.71045e-32
61	1.53238e-22	0.0343877	-1.33092e-55	-8.68529e-34
62	-7.5923e-21	0.0902916	7.6923e-50	-1.01317e-29
63	-8.02974e-22	0.162018	-1.10912e-49	1.38127e-28
64	1.53193e-22	0.0971786	2.69487e-52	1.75913e-30
65	-9.68705e-22	0.0660695	8.39713e-54	-8.66841e-33
66	1.19766e-21	0.124179	4.33976e-52	3.62352e-31
67	-3.53845e-21	0.149851	1.03517e-50	-2.92551e-30
68	2.81051e-22	0.0748849	1.7645e-54	6.27823e-33
69	-1.7905e-22	0.0592564	8.74466e-54	-4.88393e-32
70	5.71088e-23	0.11373	-2.23439e-51	-3.91252e-29
71	-5.01208e-22	0.083349	-1.41199e-48	2.81717e-27
72	2.14676e-23	0.0297258	-4.4898e-54	-2.09143e-31
73	4.18128e-24	0.0134133	-1.38205e-57	-3.30534e-34
74	9.94172e-25	0.0130003	-2.73215e-58	-2.74816e-34
75	1.08613e-22	0.0388191	3.99208e-54	3.67552e-32
76	-4.23675e-22	0.0394383	9.57005e-55	-2.25882e-33
77	1.82498e-20	0.0794459	3.62873e-50	1.98837e-30
78	7.03857e-22	0.1442	6.71014e-50	9.53339e-29
79	-6.2136e-23	0.0819331	2.61191e-54	-4.20354e-32
80	-6.21695e-23	0.0662504	5.39785e-55	-8.68246e-33
81	1.6202e-22	0.0787435	8.13844e-54	5.0231e-32
82	7.73232e-23	0.0829029	-5.4852e-56	-7.09386e-34
83	-2.9467e-24	0.0669858	-3.63596e-55	1.23391e-31
84	7.25243e-23	0.0513965	1.50998e-54	2.08204e-32
85	-1.52619e-21	0.0757871	4.38746e-51	-2.87477e-30
86	7.11833e-23	0.0611187	-8.01897e-52	-1.12652e-29
87	1.32493e-23	0.0204444	-2.41326e-56	-1.82142e-33
