Material balance for: al after 163 time steps
Material balance at each time step (1E20/sec):
	Mean -0.0180506 +/- 0.00200655 (x 1E20))
Integrated material balance (Units 1E20 particles) components:
	TransportLoss: 2.01003
	TotalAccumulation: -2.01003
	TotalSeeded: 0
Integrated material balance (Units 1E20 particles):
	TransportLoss + TotalAccumulation: 1.32732e-06
Seeding == 0 ratio not calculated
Time(sec)	MatrixLoss	NETAdensChg	Seeding	LossPlusAcc
3.71394e-05	0.0150535	-0.0150535	0	-4.01438e-12
7.42787e-05	0.0150536	-0.0150536	0	-4.59536e-09
0.000148557	0.0150538	-0.0150538	0	-1.52146e-10
0.000297115	0.0150543	-0.0150543	0	-6.76022e-15
0.00059423	0.0150552	-0.0150552	0	-1.55929e-12
0.000891345	0.0150562	-0.0150562	0	2.72542e-10
0.00118846	0.0150572	-0.0150572	0	4.15306e-10
0.00148557	0.0150583	-0.0150583	0	-7.25372e-10
0.0020798	0.0150604	-0.0150604	0	-1.97117e-14
0.00267403	0.0150628	-0.0150628	0	1.67254e-09
0.00326826	0.0150652	-0.0150652	0	6.44635e-09
0.00386249	0.0150677	-0.0150677	0	4.70109e-09
0.00505095	0.0150731	-0.0150731	0	-2.3458e-13
0.00612057	0.0150782	-0.0150782	0	2.77833e-11
0.00719018	0.0150835	-0.0150835	0	-1.17057e-08
0.0082598	0.015089	-0.015089	0	-4.08385e-08
0.00932941	0.0150946	-0.0150946	0	-2.16683e-08
0.010399	0.0151004	-0.0151004	0	-3.05394e-08
0.0114686	0.0151062	-0.0151062	0	-6.15353e-10
0.0136079	0.0151179	-0.0151179	0	-1.24372e-08
0.0157471	0.0151297	-0.0151297	0	2.29066e-12
0.0178863	0.0151409	-0.0151413	0	-3.68971e-07
0.0200255	0.0151524	-0.0151527	0	-3.28855e-07
0.0221648	0.0151636	-0.0151639	0	-2.47574e-07
0.024304	0.0151746	-0.0151748	0	-1.84347e-07
0.0285825	0.0151959	-0.0151959	0	4.33039e-12
0.0328609	0.015216	-0.015216	0	5.25486e-08
0.0371394	0.0152348	-0.0152352	0	-4.18753e-07
0.0414178	0.0152537	-0.0152537	0	4.075e-08
0.0499747	0.0152889	-0.0152889	0	2.70274e-10
0.057676	0.0153191	-0.0153191	0	3.12747e-08
