Material balance for: w after 163 time steps
Material balance at each time step (1E20/sec):
	Mean -3.62375e-06 +/- 5.1207e-07 (x 1E20))
Integrated material balance (Units 1E20 particles) components:
	TransportLoss: 0.000309713
	TotalAccumulation: -0.000309714
	TotalSeeded: 0
Integrated material balance (Units 1E20 particles):
	TransportLoss + TotalAccumulation: -5.74967e-10
Seeding == 0 ratio not calculated
Time(sec)	MatrixLoss	NETAdensChg	Seeding	LossPlusAcc
3.71394e-05	4.13334e-06	-4.13334e-06	0	-2.30961e-14
7.42787e-05	4.13313e-06	-4.13316e-06	0	-3.01604e-11
0.000148557	4.13282e-06	-4.13282e-06	0	-2.03763e-12
0.000297115	4.13222e-06	-4.13222e-06	0	-4.18621e-17
0.00059423	4.13131e-06	-4.13131e-06	0	-9.97513e-15
0.000891345	4.1308e-06	-4.1308e-06	0	6.21017e-15
0.00118846	4.13068e-06	-4.13066e-06	0	2.07602e-11
0.00148557	4.1309e-06	-4.13089e-06	0	5.7863e-12
0.0020798	4.13236e-06	-4.13236e-06	0	-3.57225e-16
0.00267403	4.13507e-06	-4.13502e-06	0	5.46469e-11
0.00326826	4.13874e-06	-4.13869e-06	0	5.42095e-11
0.00386249	4.14316e-06	-4.14317e-06	0	-5.04223e-12
0.00505095	4.15393e-06	-4.15393e-06	0	-1.06655e-14
0.00612057	4.1649e-06	-4.16493e-06	0	-3.38836e-11
0.00719018	4.17575e-06	-4.1766e-06	0	-8.43045e-10
0.0082598	4.18768e-06	-4.1886e-06	0	-9.15397e-10
0.00932941	4.20034e-06	-4.2007e-06	0	-3.63348e-10
0.010399	4.21248e-06	-4.21274e-06	0	-2.63398e-10
0.0114686	4.22463e-06	-4.22463e-06	0	-3.67554e-12
0.0136079	4.24742e-06	-4.24769e-06	0	-2.78676e-10
0.0157471	4.26949e-06	-4.26949e-06	0	4.48824e-15
0.0178863	4.28901e-06	-4.28987e-06	0	-8.65814e-10
0.0200255	4.30841e-06	-4.30873e-06	0	-3.18676e-10
0.0221648	4.32568e-06	-4.32605e-06	0	-3.64898e-10
0.024304	4.34158e-06	-4.34185e-06	0	-2.72426e-10
0.0285825	4.36919e-06	-4.36919e-06	0	1.11791e-14
0.0328609	4.39149e-06	-4.39141e-06	0	7.71391e-11
0.0371394	4.40875e-06	-4.40929e-06	0	-5.43197e-10
0.0414178	4.42366e-06	-4.4235e-06	0	1.57891e-10
0.0499747	4.4433e-06	-4.4433e-06	0	5.91415e-13
0.057676	4.45392e-06	-4.45385e-06	0	6.37016e-11
0.0653772	4.46193e-06	-4.45952e-06	0	2.40828e-09
0.0730784	4.46332e-06	-4.4617e-06	0	1.62025e-09
0.0807796	4.46277e-06	-4.46132e-06	0	1.44641e-09
0.0884808	4.45988e-06	-4.45905e-06	0	8.29429e-10
0.0961821	4.45542e-06	-4.45541e-06	0	1.34372e-11
0.103883	4.45095e-06	-4.45071e-06	0	2.35e-10
0.119286	4.43996e-06	-4.43912e-06	0	8.38565e-10
0.134688	4.42579e-06	-4.42579e-06	0	9.60633e-13
0.150091	4.41332e-06	-4.41144e-06	0	1.87959e-09
0.165493	4.39702e-06	-4.39665e-06	0	3.6995e-10
0.180895	4.38223e-06	-4.38172e-06	0	5.10483e-10
0.196298	4.36711e-06	-4.36681e-06	0	3.06039e-10
0.2117	4.35204e-06	-4.35202e-06	0	1.10333e-11
0.227103	4.33744e-06	-4.33741e-06	0	3.41223e-11
0.257908	4.30885e-06	-4.30885e-06	0	9.882e-14
