Material balance for: w after 163 time steps
Material balance at each time step (1E20/sec):
	Mean -3.62375e-06 +/- 5.1207e-07 (x 1E20))
Integrated material balance (Units 1E20 particles) components:
	TransportLoss: 0.000309713
	TotalAccumulation: -0.000309714
	TotalSeeded: 0
Integrated material balance (Units 1E20 particles):
	TransportLoss + TotalAccumulation: -5.74967e-10
Seeding == 0 ratio not calculated
Time(sec)	MatrixLoss	NETAdensChg	Seeding	LossPlusAcc
0.288713	4.28123e-06	-4.28127e-06	0	-3.84803e-11
0.319517	4.25492e-06	-4.25474e-06	0	1.7452e-10
0.350322	4.2293e-06	-4.22927e-06	0	2.8791e-11
0.411932	4.18141e-06	-4.18141e-06	0	3.73451e-13
0.467381	4.14158e-06	-4.14155e-06	0	2.44378e-11
0.52283	4.10423e-06	-4.10444e-06	0	-2.09896e-10
0.578278	4.06965e-06	-4.06979e-06	0	-1.36119e-10
0.633727	4.03729e-06	-4.03733e-06	0	-4.00171e-11
0.689176	4.00671e-06	-4.00681e-06	0	-1.01049e-10
0.768093	3.96626e-06	-3.96635e-06	0	-8.25017e-11
0.847011	3.92886e-06	-3.92877e-06	0	9.5843e-11
0.918036	3.89712e-06	-3.89716e-06	0	-4.38825e-11
0.981959	3.87014e-06	-3.87017e-06	0	-3.13202e-11
1.03949	3.84694e-06	-3.84695e-06	0	-1.29842e-11
1.09127	3.82683e-06	-3.82679e-06	0	3.81905e-11
1.13787	3.80922e-06	-3.80921e-06	0	1.40788e-11
1.18447	3.7922e-06	-3.79211e-06	0	8.92508e-11
1.23107	3.77554e-06	-3.77542e-06	0	1.15911e-10
1.27767	3.7592e-06	-3.75914e-06	0	6.1247e-11
1.31863	3.7451e-06	-3.74527e-06	0	-1.64865e-10
1.35549	3.73292e-06	-3.73298e-06	0	-5.47894e-11
1.39235	3.7205e-06	-3.72083e-06	0	-3.35569e-10
1.42922	3.7085e-06	-3.7089e-06	0	-4.0036e-10
1.46608	3.69678e-06	-3.69712e-06	0	-3.3836e-10
1.5398	3.67404e-06	-3.67396e-06	0	8.13357e-11
1.60616	3.65354e-06	-3.65356e-06	0	-2.16958e-11
1.67251	3.63361e-06	-3.63359e-06	0	2.53301e-11
1.73886	3.61408e-06	-3.61401e-06	0	6.21709e-11
1.80522	3.59486e-06	-3.59481e-06	0	5.69824e-11
1.86494	3.57796e-06	-3.57796e-06	0	9.74581e-15
1.91829	3.56314e-06	-3.56311e-06	0	2.42325e-11
1.97165	3.54798e-06	-3.54846e-06	0	-4.86877e-10
2.025	3.53356e-06	-3.534e-06	0	-4.44868e-10
2.07836	3.51929e-06	-3.51971e-06	0	-4.2099e-10
2.13171	3.50519e-06	-3.50559e-06	0	-4.03083e-10
2.23843	3.47774e-06	-3.47771e-06	0	2.44256e-11
2.34514	3.45021e-06	-3.45041e-06	0	-2.03138e-10
2.42026	3.43466e-06	-3.43488e-06	0	-2.26291e-10
2.49538	3.42334e-06	-3.42117e-06	0	2.17205e-09
2.5705	3.41007e-06	-3.40777e-06	0	2.30528e-09
2.64562	3.39451e-06	-3.39484e-06	0	-3.25132e-10
2.72074	3.38228e-06	-3.38264e-06	0	-3.58078e-10
2.79587	3.37121e-06	-3.37106e-06	0	1.54147e-10
2.86348	3.36149e-06	-3.36125e-06	0	2.41495e-10
2.93109	3.35113e-06	-3.35192e-06	0	-7.93556e-10
2.99869	3.34244e-06	-3.34285e-06	0	-4.13206e-10
3.0663	3.33352e-06	-3.33415e-06	0	-6.32615e-10
3.13391	3.32522e-06	-3.32578e-06	0	-5.58958e-10
3.26913	3.30968e-06	-3.30973e-06	0	-5.05975e-11
3.40435	3.29439e-06	-3.29494e-06	0	-5.48503e-10
3.53957	3.28162e-06	-3.28112e-06	0	5.07969e-10
3.67479	3.26858e-06	-3.26845e-06	0	1.30013e-10
3.81001	3.2572e-06	-3.25669e-06	0	5.12542e-10
3.94523	3.24569e-06	-3.24587e-06	0	-1.79095e-10
4.08045	3.23635e-06	-3.23578e-06	0	5.68397e-10
4.21567	3.22658e-06	-3.22646e-06	0	1.12264e-10
4.33697	3.21891e-06	-3.21891e-06	0	8.77956e-15
4.44244	3.21274e-06	-3.21269e-06	0	4.43109e-11
4.54791	3.20615e-06	-3.20683e-06	0	-6.78637e-10
4.65338	3.20069e-06	-3.20128e-06	0	-5.92169e-10
4.86431	3.19086e-06	-3.19083e-06	0	3.06192e-11
5.07525	3.1811e-06	-3.18138e-06	0	-2.86491e-10
5.28618	3.17299e-06	-3.1729e-06	0	8.76219e-11
5.49712	3.16548e-06	-3.16529e-06	0	1.952e-10
5.70806	3.15864e-06	-3.15845e-06	0	1.91939e-10
5.91899	3.15246e-06	-3.15228e-06	0	1.7516e-10
6.12993	3.14688e-06	-3.14672e-06	0	1.65548e-10
6.34086	3.14181e-06	-3.14168e-06	0	1.26108e-10
6.5518	3.13723e-06	-3.13713e-06	0	1.00445e-10
6.76273	3.13308e-06	-3.13299e-06	0	9.16188e-11
6.97367	3.12932e-06	-3.12924e-06	0	8.22477e-11
7.18461	3.1259e-06	-3.12582e-06	0	7.60672e-11
7.39554	3.12277e-06	-3.1227e-06	0	6.6285e-11
7.81741	3.1172e-06	-3.1172e-06	0	6.2155e-16
8.23928	3.1128e-06	-3.11257e-06	0	2.31422e-10
8.66116	3.10894e-06	-3.10864e-06	0	2.98433e-10
9.08303	3.10551e-06	-3.10538e-06	0	1.28131e-10
9.92677	3.10036e-06	-3.10035e-06	0	9.51824e-12
10.7705	3.09639e-06	-3.09669e-06	0	-3.00171e-10
11.6143	3.0938e-06	-3.09385e-06	0	-4.78742e-11
12.3736	3.09171e-06	-3.09173e-06	0	-2.03449e-11
13.0487	3.09008e-06	-3.09009e-06	0	-8.23671e-12
13.7239	3.08856e-06	-3.08864e-06	0	-7.07435e-11
14.399	3.0873e-06	-3.08734e-06	0	-3.64406e-11
15.0741	3.08617e-06	-3.08618e-06	0	-3.11086e-12
15.7492	3.08513e-06	-3.08512e-06	0	1.21342e-11
16.4243	3.08418e-06	-3.08415e-06	0	3.09626e-11
17.0994	3.08331e-06	-3.08327e-06	0	3.85505e-11
17.7746	3.08248e-06	-3.08245e-06	0	2.98757e-11
18.4497	3.08172e-06	-3.08169e-06	0	2.96764e-11
19.1248	3.08101e-06	-3.08099e-06	0	1.66436e-11
19.7999	3.08036e-06	-3.08033e-06	0	2.28949e-11
20.475	3.07974e-06	-3.07974e-06	0	-1.72958e-15
21.063	3.07925e-06	-3.07924e-06	0	5.27371e-12
21.6511	3.07869e-06	-3.07878e-06	0	-8.49617e-11
22.2391	3.07826e-06	-3.07833e-06	0	-7.31096e-11
23.4151	3.07749e-06	-3.07749e-06	0	3.9297e-12
24.5911	3.07669e-06	-3.07672e-06	0	-2.84517e-11
25.7671	3.07602e-06	-3.07601e-06	0	1.37147e-11
28.1191	3.07476e-06	-3.07476e-06	0	-9.26422e-16
30.4712	3.07379e-06	-3.07368e-06	0	1.0132e-10
32.8232	3.07288e-06	-3.07276e-06	0	1.2391e-10
35.1752	3.07205e-06	-3.07195e-06	0	9.78526e-11
37.5273	3.07124e-06	-3.07124e-06	0	2.3935e-12
39.8793	3.07061e-06	-3.07061e-06	0	4.18734e-12
44.5833	3.0695e-06	-3.06952e-06	0	-1.36415e-11
49.2874	3.06854e-06	-3.0686e-06	0	-5.29454e-11
53.9915	3.06768e-06	-3.06779e-06	0	-1.09737e-10
58.6955	3.06699e-06	-3.06707e-06	0	-8.66133e-11
63.3996	3.06639e-06	-3.06643e-06	0	-3.81105e-11
68.1036	3.06584e-06	-3.06584e-06	0	6.20148e-12
72.8077	3.06529e-06	-3.06529e-06	0	1.04524e-18
77.5117	3.0648e-06	-3.06477e-06	0	2.47862e-11
82.2158	3.0643e-06	-3.06428e-06	0	1.60398e-11
86.9199	3.06383e-06	-3.06381e-06	0	1.25544e-11
91.6239	3.06336e-06	-3.06336e-06	0	3.23826e-13
100	3.0625e-06	-3.0626e-06	0	-1.00866e-10
