WallIDX	al	n	w
0	1.51208e-10	-1.51208e-10	4.08391e-23
1	1.53397e-09	-1.53397e-09	-1.79691e-25
2	6.0546e-10	-6.0546e-10	-9.24802e-26
3	3.27032e-10	-3.27032e-10	3.52363e-24
4	9.89605e-10	-9.89605e-10	-3.40444e-24
5	6.8764e-10	-6.8764e-10	-5.07136e-24
6	8.1921e-10	-8.1921e-10	5.40884e-23
7	1.51886e-09	-1.51886e-09	4.38494e-24
8	2.22943e-09	-2.22943e-09	7.06483e-24
9	9.67555e-09	-9.67555e-09	1.16552e-23
10	3.82942e-08	-3.82942e-08	4.59514e-24
11	2.74175e-07	-2.74175e-07	1.75174e-24
12	1.437e-05	-1.437e-05	9.58972e-25
13	1.95781e-06	-1.95781e-06	3.80499e-25
14	2.0395e-07	-2.0395e-07	2.99379e-25
15	1.69551e-10	-1.69551e-10	-5.21344e-24
16	1.49392e-09	-1.49392e-09	-2.07034e-25
17	-5.70399e-10	5.70399e-10	1.12926e-24
18	8.75876e-10	-8.75876e-10	5.30016e-24
19	9.14612e-10	-9.14612e-10	2.15568e-24
20	8.52499e-10	-8.52499e-10	8.40309e-24
21	1.21054e-09	-1.21054e-09	1.38857e-22
22	2.32944e-09	-2.32944e-09	-2.64996e-23
23	5.55753e-09	-5.55753e-09	-4.13885e-23
24	2.30805e-08	-2.30805e-08	-6.36994e-22
25	1.8345e-07	-1.8345e-07	1.91639e-23
26	3.38101e-06	-3.38101e-06	5.22579e-24
27	2.91958e-05	-2.91958e-05	6.86734e-25
28	2.9874e-06	-2.9874e-06	5.86798e-25
29	3.0732e-07	-3.0732e-07	1.17438e-24
30	1.54675e-10	-1.54675e-10	-4.20292e-23
31	7.60911e-10	-7.60911e-10	4.01655e-24
32	6.63483e-10	-6.63483e-10	1.04255e-23
33	1.05631e-09	-1.05631e-09	-3.34217e-22
34	6.17887e-10	-6.17887e-10	2.21181e-23
35	7.57008e-10	-7.57008e-10	1.76146e-24
36	9.55781e-10	-9.55781e-10	-7.15645e-24
37	1.5465e-09	-1.5465e-09	1.12509e-22
38	3.82396e-09	-3.82396e-09	7.03035e-24
39	1.36208e-08	-1.36208e-08	3.7843e-23
40	5.75093e-08	-5.75093e-08	1.82642e-22
41	3.88669e-07	-3.88669e-07	-4.47642e-25
42	7.01952e-06	-7.01952e-06	3.28949e-25
43	2.37537e-06	-2.37537e-06	6.63633e-25
44	2.47991e-07	-2.47991e-07	5.92497e-25
45	1.06805e-10	-1.06805e-10	2.14015e-23
46	8.90384e-10	-8.90384e-10	1.71897e-24
47	7.78619e-10	-7.78619e-10	6.5205e-24
48	4.0427e-10	-4.0427e-10	2.0544e-23
49	4.46734e-10	-4.46734e-10	-2.08494e-23
50	4.47443e-10	-4.47443e-10	-1.11404e-23
51	5.34965e-10	-5.34965e-10	-1.02165e-23
52	1.08543e-09	-1.08543e-09	1.016e-22
53	1.91475e-09	-1.91475e-09	4.18656e-23
54	6.50331e-09	-6.50331e-09	-1.54541e-22
55	2.73824e-08	-2.73824e-08	3.527e-24
56	1.28615e-07	-1.28615e-07	4.01025e-24
57	3.96716e-06	-3.96716e-06	1.08161e-24
58	1.36172e-06	-1.36172e-06	2.20497e-25
59	1.48078e-07	-1.48078e-07	1.95279e-25
60	3.27427e-10	-3.27427e-10	-3.14705e-23
61	8.13001e-10	-8.13001e-10	1.14385e-24
62	8.22767e-11	-8.22768e-11	-1.73936e-24
63	1.21143e-10	-1.21143e-10	-1.12634e-23
64	1.19146e-10	-1.19146e-10	-5.08746e-24
65	3.01694e-10	-3.01694e-10	7.82391e-24
66	3.42162e-10	-3.42162e-10	-3.75529e-23
67	3.79524e-10	-3.79524e-10	2.1193e-23
68	9.66698e-10	-9.66698e-10	1.80245e-24
69	2.51793e-09	-2.51793e-09	2.23306e-24
70	3.83428e-09	-3.83428e-09	9.53144e-24
71	1.97237e-08	-1.97237e-08	-4.75134e-22
72	1.41023e-07	-1.41023e-07	1.5917e-23
73	1.98088e-06	-1.98088e-06	2.9348e-24
74	1.29519e-07	-1.29519e-07	1.58745e-24
75	2.2547e-10	-2.2547e-10	-6.79783e-23
76	9.29719e-10	-9.29719e-10	3.47191e-24
77	2.35091e-10	-2.35091e-10	8.26315e-25
78	1.95035e-10	-1.95035e-10	-6.35852e-24
79	4.52365e-10	-4.52365e-10	1.75709e-24
80	2.62938e-10	-2.62938e-10	-2.52054e-25
81	3.90961e-10	-3.9096e-10	-1.10145e-23
82	5.04838e-10	-5.04838e-10	2.99807e-24
83	8.73494e-10	-8.73494e-10	-4.07743e-23
84	3.63125e-09	-3.63125e-09	-5.30368e-23
85	6.90858e-09	-6.90858e-09	-6.76507e-24
86	4.59675e-08	-4.59675e-08	1.54796e-23
87	4.48333e-06	-4.48333e-06	6.03142e-24
88	2.05719e-06	-2.05719e-06	2.37678e-24
89	1.32996e-07	-1.32996e-07	1.50659e-24
90	2.70447e-07	-4.7306e-08	-2.23141e-07
91	3.21404e-07	-8.11962e-08	-2.40207e-07
92	0.000553353	7.40875e-05	-0.000627441
93	3.54128e-05	2.52196e-06	-3.79348e-05
