Time	N_90
3.71394e-05	2.27631e-05
7.42787e-05	9.10443e-05
0.000148557	0.000364041
0.000297115	0.00145444
0.00059423	0.00579448
0.000891345	0.0129503
0.00118846	0.0228058
0.00148557	0.0352299
0.0020798	0.0670425
0.00267403	0.106767
0.00326826	0.152652
0.00386249	0.202998
0.00505095	0.311312
0.00612057	0.411408
0.00719018	0.509634
0.0082598	0.604157
0.00932941	0.694067
0.010399	0.779024
0.0114686	0.859288
0.0136079	1.00706
0.0157471	1.13992
0.0178863	1.26074
0.0200255	1.37138
0.0221648	1.47329
0.024304	1.56757
0.0285825	1.73659
0.0328609	1.88335
0.0371394	2.01146
0.0414178	2.12386
0.0499747	2.30905
0.057676	2.44018
0.0653772	2.54536
0.0730784	2.63011
0.0807796	2.69869
0.0884808	2.7544
0.0961821	2.7999
0.103883	2.83718
0.119286	2.89335
0.134688	2.93136
0.150091	2.95782
0.165493	2.97697
0.180895	2.99137
0.196298	3.00254
0.2117	3.01148
0.227103	3.01875
0.257908	3.03
0.288713	3.0378
0.319517	3.04342
0.350322	3.04756
0.411932	3.05206
0.467381	3.05289
0.52283	3.0512
0.578278	3.04737
0.633727	3.04181
0.689176	3.0349
0.768093	3.02328
0.847011	3.01014
0.918036	2.99743
0.981959	2.98546
1.03949	2.97438
1.09127	2.96424
1.13787	2.95506
1.18447	2.94589
1.23107	2.93678
1.27767	2.92774
1.31863	2.91992
1.35549	2.91295
1.39235	2.90605
1.42922	2.89924
1.46608	2.89251
1.5398	2.87929
1.60616	2.86767
1.67251	2.85635
1.73886	2.84532
1.80522	2.83458
1.86494	2.82529
1.91829	2.81719
1.97165	2.80928
2.025	2.80155
2.07836	2.79401
2.13171	2.78665
2.23843	2.77235
2.34514	2.75869
2.42026	2.74948
2.49538	2.74067
2.5705	2.73224
2.64562	2.72421
2.72074	2.71649
2.79587	2.70906
2.86348	2.70271
2.93109	2.69655
2.99869	2.69058
3.0663	2.6848
3.13391	2.67918
3.26913	2.66834
3.40435	2.65805
3.53957	2.6483
3.67479	2.63905
3.81001	2.63027
3.94523	2.62193
4.08045	2.61398
4.21567	2.60639
4.33697	2.6
4.44244	2.59464
4.54791	2.58946
4.65338	2.58446
4.86431	2.57481
5.07525	2.56569
5.28618	2.55713
5.49712	2.54908
5.70806	2.54152
5.91899	2.53439
6.12993	2.52764
6.34086	2.52123
6.5518	2.51513
6.76273	2.50936
6.97367	2.50389
7.18461	2.49869
7.39554	2.49376
7.81741	2.48459
8.23928	2.47626
8.66116	2.46867
9.08303	2.46174
9.92677	2.44956
10.7705	2.4392
11.6143	2.43024
12.3736	2.42314
13.0487	2.41752
13.7239	2.41245
14.399	2.40786
15.0741	2.40368
15.7492	2.39985
16.4243	2.39636
17.0994	2.39316
17.7746	2.39022
18.4497	2.38751
19.1248	2.385
19.7999	2.38267
20.475	2.38058
21.063	2.37887
21.6511	2.37726
22.2391	2.37574
23.4151	2.3729
24.5911	2.37034
25.7671	2.36805
28.1191	2.36414
30.4712	2.36098
32.8232	2.35842
35.1752	2.35634
37.5273	2.35465
39.8793	2.35328
44.5833	2.35122
49.2874	2.3498
53.9915	2.34879
58.6955	2.34807
63.3996	2.34759
68.1036	2.34726
72.8077	2.34704
77.5117	2.34688
82.2158	2.34678
86.9199	2.3467
91.6239	2.34665
100	2.34661
