WallIDX	Tgt	Prj	Chrg	Value
0	al	al	0	0.00120775
0	al	al	1	0.0353787
0	al	al	2	0.0923316
0	al	al	3	0.168183
0	al	d	0	2.65024e-05
0	al	d	1	0.00794138
0	al	n	0	0.00143113
0	al	n	1	0.0391551
0	al	n	2	0.100516
0	al	n	3	0.179709
0	al	w	0	0
0	al	w	1	0.00119667
0	al	w	2	0.00643
0	al	w	3	0.0222733
0	n	al	0	0.00598955
0	n	al	1	0.0665946
0	n	al	2	0.151702
0	n	al	3	0.245942
0	n	d	0	0.00212588
0	n	d	1	0.019747
0	n	n	0	0.00924557
0	n	n	1	0.0819281
0	n	n	2	0.175735
0	n	n	3	0.270223
0	n	w	0	1.89303e-06
0	n	w	1	0.00246878
0	n	w	2	0.0108206
0	n	w	3	0.0328431
0	w	al	0	0
0	w	al	1	0
0	w	al	2	0
0	w	al	3	0
0	w	d	0	0
0	w	d	1	0
0	w	n	0	0
0	w	n	1	0
0	w	n	2	0
0	w	n	3	0
0	w	w	0	0
0	w	w	1	0
0	w	w	2	0
0	w	w	3	0
1	al	al	0	0.00101693
1	al	al	1	0.0248483
1	al	al	2	0.064239
1	al	al	3	0.127335
1	al	d	0	2.23151e-05
1	al	d	1	0.00547695
1	al	n	0	0.00120502
1	al	n	1	0.0275395
1	al	n	2	0.0707357
1	al	n	3	0.137495
1	al	w	0	0
1	al	w	1	0.000823668
1	al	w	2	0.00277706
1	al	w	3	0.0116013
1	n	al	0	0.00504322
1	n	al	1	0.0483025
1	n	al	2	0.114328
1	n	al	3	0.197579
1	n	d	0	0.00178999
1	n	d	1	0.0144669
1	n	n	0	0.00778479
1	n	n	1	0.0601969
1	n	n	2	0.137369
1	n	n	3	0.222596
1	n	w	0	1.59394e-06
1	n	w	1	0.00170004
1	n	w	2	0.0053035
1	n	w	3	0.0184334
1	w	al	0	0
1	w	al	1	0
1	w	al	2	0
1	w	al	3	0
1	w	d	0	0
1	w	d	1	0
1	w	n	0	0
1	w	n	1	0
1	w	n	2	0
1	w	n	3	0
1	w	w	0	0
1	w	w	1	0
1	w	w	2	0
1	w	w	3	0
2	al	al	0	0.000901994
2	al	al	1	0.0673153
2	al	al	2	0.205827
2	al	al	3	0.336951
2	al	d	0	1.9793e-05
2	al	d	1	0.0152424
2	al	n	0	0.00106882
