WallIDX	Prj	Chrg	Value
0	al	0	0.00259724
0	al	1	0.055009
0	al	2	0.116299
0	al	3	0.152359
0	n	0	0.0922338
0	n	1	0.241631
0	n	2	0.336348
0	n	3	0.338174
0	w	0	0
0	w	1	0
0	w	2	0
0	w	3	0
1	al	0	0.00218688
1	al	1	0.0389317
1	al	2	0.0946178
1	al	3	0.140985
1	n	0	0.0805029
1	n	1	0.202484
1	n	2	0.328613
1	n	3	0.34401
1	w	0	0
1	w	1	0
1	w	2	0
1	w	3	0
2	al	0	0.00193971
2	al	1	0.096992
2	al	2	0.162841
2	al	3	0.169442
2	n	0	0.073437
2	n	1	0.32946
2	n	2	0.332795
2	n	3	0.305688
2	w	0	0
2	w	1	0
2	w	2	0
2	w	3	0
3	al	0	0.0019522
3	al	1	0.168872
3	al	2	0.15205
3	al	3	0.132962
3	n	0	0.0737938
3	n	1	0.317878
3	n	2	0.256546
3	n	3	0.227866
3	w	0	0
3	w	1	0
3	w	2	0
3	w	3	1.61408e-06
4	al	0	0.00221071
4	al	1	0.0912357
4	al	2	0.156902
4	al	3	0.16912
4	n	0	0.0811841
4	n	1	0.327407
4	n	2	0.335843
4	n	3	0.312569
4	w	0	0
4	w	1	0
4	w	2	0
4	w	3	0
5	al	0	0.00257282
5	al	1	0.063781
5	al	2	0.13172
5	al	3	0.161329
5	n	0	0.0915357
5	n	1	0.26299
5	n	2	0.341849
5	n	3	0.333571
5	w	0	0
5	w	1	0
5	w	2	0
5	w	3	0
6	al	0	0.00279943
6	al	1	0.0709019
6	al	2	0.140057
6	al	3	0.165867
6	n	0	0.0980139
6	n	1	0.280329
6	n	2	0.344486
6	n	3	0.331242
6	w	0	0
6	w	1	0
6	w	2	0
6	w	3	0
7	al	0	0.00280874
7	al	1	0.0716091
7	al	2	0.140472
7	al	3	0.166465
7	n	0	0.0982801
7	n	1	0.28205
7	n	2	0.344273
7	n	3	0.330936
7	w	0	0
7	w	1	0
7	w	2	0
7	w	3	0
8	al	0	0.00271366
8	al	1	0.0682113
8	al	2	0.137294
8	al	3	0.164154
8	n	0	0.0955619
8	n	1	0.273777
8	n	2	0.343837
8	n	3	0.332121
8	w	0	0
8	w	1	0
8	w	2	0
8	w	3	0
9	al	0	0.00232183
9	al	1	0.0592096
9	al	2	0.127498
9	al	3	0.15959
9	n	0	0.0843605
9	n	1	0.251859
9	n	2	0.340343
9	n	3	0.334463
9	w	0	0
9	w	1	0
9	w	2	0
9	w	3	0
10	al	0	0.00189576
10	al	1	0.100729
10	al	2	0.165962
10	al	3	0.169602
10	n	0	0.0721805
10	n	1	0.330793
10	n	2	0.331194
10	n	3	0.302268
10	w	0	0
10	w	1	0
10	w	2	0
10	w	3	0
11	al	0	0.00163232
11	al	1	0.107917
11	al	2	0.16846
11	al	3	0.16928
11	n	0	0.0646496
11	n	1	0.333358
11	n	2	0.326676
11	n	3	0.294531
11	w	0	0
11	w	1	0
11	w	2	0
11	w	3	0
12	al	0	0.00163057
12	al	1	0.0284437
12	al	2	0.0837576
12	al	3	0.132155
12	n	0	0.0645993
12	n	1	0.176946
12	n	2	0.311631
12	n	3	0.342004
12	w	0	0
12	w	1	0
12	w	2	0
12	w	3	0
