WallIDX	al	n	w
0	0.164724	0.161387	5.66573e-24
1	0.0754199	0.0743793	2.95362e-33
2	0.137721	0.145725	1.14851e-32
3	0.407595	0.423014	-7.42073e-25
4	0.186088	0.196763	1.06591e-24
5	0.186157	0.194613	-3.2391e-24
6	0.256006	0.260684	-9.83397e-25
7	0.26358	0.271092	3.97267e-24
8	0.227216	0.228688	-7.1332e-26
9	0.134696	0.139574	-4.79555e-24
10	0.134781	0.14088	-4.00619e-32
11	0.0788094	0.0831731	-1.13402e-32
12	0.0178332	0.0192543	-1.54209e-34
13	0.0261962	0.0259069	-2.36019e-35
14	0.0629661	0.0626892	-5.28983e-35
15	0.161685	0.158924	1.00486e-24
16	0.0726489	0.0703424	6.20313e-34
17	0.0571563	0.0580516	-1.10922e-33
18	0.101682	0.107361	-2.63003e-32
19	0.113283	0.120102	2.27296e-25
20	0.202444	0.213149	3.37755e-25
21	0.448492	0.454103	2.14162e-23
22	0.655841	0.661506	-9.48773e-23
23	0.229484	0.236361	-1.1439e-23
24	0.113736	0.116348	-1.2581e-22
25	0.0539315	0.0561835	-1.06357e-32
26	0.0241152	0.0277249	-2.44095e-33
27	0.015261	0.0175844	-1.47075e-34
28	0.0249496	0.0243003	-7.04906e-35
29	0.0614376	0.0606725	-1.67854e-34
30	0.162703	0.159584	-1.32935e-23
31	0.0732126	0.0714492	-4.48927e-33
32	0.0616125	0.0664225	-8.8775e-33
33	0.0911857	0.0977746	-8.4564e-24
34	0.129519	0.134472	-2.3557e-24
35	0.208649	0.213672	7.71146e-24
36	0.308392	0.319614	1.11736e-24
37	0.410349	0.424221	-2.18562e-23
38	0.24034	0.245531	-2.96906e-24
39	0.137869	0.140062	-6.07369e-24
40	0.105703	0.108752	1.23443e-22
41	0.0605013	0.0647889	3.37142e-32
42	0.0211183	0.023321	2.47048e-34
43	0.0249624	0.0241941	-1.29866e-35
44	0.0617231	0.0609751	3.10361e-35
45	0.163646	0.160647	2.26529e-24
46	0.0758391	0.0745604	-4.52883e-33
47	0.0780672	0.0865677	-8.01705e-33
48	0.111079	0.121549	3.88071e-24
49	0.134409	0.141171	6.28879e-24
50	0.174813	0.181385	4.03077e-25
51	0.27913	0.286851	1.80654e-24
52	0.34636	0.350635	-2.38042e-23
53	0.235212	0.241305	9.00248e-24
54	0.13177	0.137288	4.71211e-23
55	0.098215	0.105417	4.41732e-32
56	0.0840448	0.0907441	1.04576e-31
57	0.0220667	0.025077	4.36364e-34
58	0.0262113	0.0265907	1.72699e-35
59	0.0631616	0.0629804	5.66317e-35
60	0.15914	0.158124	-4.6005e-24
61	0.0694604	0.0703677	-2.23707e-33
62	0.359571	0.375473	1.16515e-24
63	0.647902	0.663427	2.8385e-24
64	0.351355	0.364096	5.03515e-24
65	0.188562	0.196604	3.50662e-25
66	0.43576	0.435946	-2.02991e-24
67	0.577289	0.58583	5.04583e-24
68	0.241474	0.249552	1.70278e-25
69	0.163606	0.172523	-1.03666e-24
70	0.518413	0.536501	-3.19538e-24
71	0.332081	0.347929	-4.57882e-23
72	0.0930664	0.0968378	-6.74819e-33
73	0.0239592	0.022808	-3.04451e-35
74	0.0598871	0.0595236	-4.97713e-35
75	0.162972	0.161229	5.76556e-24
76	0.0730103	0.0710102	5.3316e-34
77	0.26346	0.278961	-1.81233e-24
78	0.570692	0.602131	-9.87029e-25
79	0.243422	0.256274	9.5153e-27
80	0.174301	0.176945	-8.10579e-26
81	0.244981	0.2481	7.25372e-24
82	0.265975	0.274291	8.79892e-26
83	0.2248	0.230241	-1.53125e-23
84	0.119434	0.123482	-1.01374e-23
85	0.296974	0.307004	8.91924e-24
86	0.220492	0.236484	-3.08446e-30
87	0.0213218	0.0251076	-5.77668e-34
88	0.0240202	0.0239397	-5.22795e-35
89	0.0604286	0.06012	-8.44214e-35
90	1.6519	2.34661	0.0113591
91	0.116239	0.172223	0.00144228
92	0.000935073	0.00180236	9.17225e-06
93	7.93784e-05	0.000109823	6.83194e-07
