WallIDX	Charge	al	d	n	w
54	2	45	0	45	45
54	3	45	0	45	45
55	0	45	45	45	45
55	1	45	45	45	45
55	2	45	0	45	45
55	3	45	0	45	45
56	0	45	45	45	45
56	1	45	45	45	45
56	2	45	0	45	45
56	3	45	0	45	45
57	0	45	45	45	45
57	1	45	45	45	45
57	2	45	0	45	45
57	3	45	0	45	45
58	0	45	45	45	45
58	1	45	45	45	45
58	2	45	0	45	45
58	3	45	0	45	45
59	0	45	45	45	45
59	1	45	45	45	45
59	2	45	0	45	45
59	3	45	0	45	45
60	0	45	45	45	45
60	1	45	45	45	45
60	2	45	0	45	45
60	3	45	0	45	45
61	0	45	45	45	45
61	1	45	45	45	45
61	2	45	0	45	45
61	3	45	0	45	45
62	0	45	45	45	45
62	1	45	45	45	45
62	2	45	0	45	45
62	3	45	0	45	45
63	0	45	45	45	45
63	1	45	45	45	45
63	2	45	0	45	45
63	3	45	0	45	45
64	0	45	45	45	45
64	1	45	45	45	45
64	2	45	0	45	45
64	3	45	0	45	45
65	0	45	45	45	45
65	1	45	45	45	45
65	2	45	0	45	45
65	3	45	0	45	45
66	0	45	45	45	45
66	1	45	45	45	45
66	2	45	0	45	45
66	3	45	0	45	45
67	0	45	45	45	45
67	1	45	45	45	45
67	2	45	0	45	45
67	3	45	0	45	45
68	0	45	45	45	45
68	1	45	45	45	45
68	2	45	0	45	45
68	3	45	0	45	45
69	0	45	45	45	45
69	1	45	45	45	45
69	2	45	0	45	45
69	3	45	0	45	45
70	0	45	45	45	45
70	1	45	45	45	45
70	2	45	0	45	45
70	3	45	0	45	45
71	0	45	45	45	45
71	1	45	45	45	45
71	2	45	0	45	45
71	3	45	0	45	45
72	0	45	45	45	45
72	1	45	45	45	45
72	2	45	0	45	45
72	3	45	0	45	45
73	0	45	45	45	45
73	1	45	45	45	45
73	2	45	0	45	45
73	3	45	0	45	45
74	0	45	45	45	45
74	1	45	45	45	45
74	2	45	0	45	45
74	3	45	0	45	45
75	0	45	45	45	45
75	1	45	45	45	45
75	2	45	0	45	45
75	3	45	0	45	45
76	0	45	45	45	45
76	1	45	45	45	45
76	2	45	0	45	45
76	3	45	0	45	45
77	0	45	45	45	45
77	1	45	45	45	45
77	2	45	0	45	45
77	3	45	0	45	45
78	0	45	45	45	45
78	1	45	45	45	45
78	2	45	0	45	45
78	3	45	0	45	45
79	0	45	45	45	45
79	1	45	45	45	45
79	2	45	0	45	45
79	3	45	0	45	45
80	0	45	45	45	45
80	1	45	45	45	45
80	2	45	0	45	45
80	3	45	0	45	45
81	0	45	45	45	45
81	1	45	45	45	45
81	2	45	0	45	45
81	3	45	0	45	45
82	0	45	45	45	45
82	1	45	45	45	45
82	2	45	0	45	45
82	3	45	0	45	45
83	0	45	45	45	45
83	1	45	45	45	45
83	2	45	0	45	45
83	3	45	0	45	45
84	0	45	45	45	45
84	1	45	45	45	45
84	2	45	0	45	45
84	3	45	0	45	45
85	0	45	45	45	45
85	1	45	45	45	45
85	2	45	0	45	45
85	3	45	0	45	45
86	0	45	45	45	45
86	1	45	45	45	45
86	2	45	0	45	45
86	3	45	0	45	45
87	0	45	45	45	45
87	1	45	45	45	45
87	2	45	0	45	45
87	3	45	0	45	45
88	0	45	45	45	45
88	1	45	45	45	45
88	2	45	0	45	45
88	3	45	0	45	45
89	0	45	45	45	45
89	1	45	45	45	45
89	2	45	0	45	45
89	3	45	0	45	45
90	0	0	0	0	0
90	1	0	0	0	0
90	2	0	0	0	0
90	3	0	0	0	0
91	0	0	0	0	0
91	1	0	0	0	0
91	2	0	0	0	0
91	3	0	0	0	0
92	0	0	0	0	0
92	1	0	0	0	0
92	2	0	0	0	0
92	3	0	0	0	0
93	0	0	0	0	0
93	1	0	0	0	0
93	2	0	0	0	0
93	3	0	0	0	0
