VarInfo	ResiduumInfo	Residuum	Value	AbsTol
CWw12	Residuum equation #38(Solvar: CWw12)	7.34684e-39	1.03013e-23	1e-06
CALw13	Residuum equation #39(Solvar: CALw13)	-5.55112e-16	0.755575	1e-06
CNw13	Residuum equation #40(Solvar: CNw13)	5.55112e-17	0.244425	1e-06
CWw13	Residuum equation #41(Solvar: CWw13)	4.4081e-39	6.99081e-24	1e-06
CALw14	Residuum equation #42(Solvar: CALw14)	-2.22045e-16	0.73106	1e-06
CNw14	Residuum equation #43(Solvar: CNw14)	2.22045e-16	0.26894	1e-06
CWw14	Residuum equation #44(Solvar: CWw14)	1.46937e-39	3.76323e-24	1e-06
CALw15	Residuum equation #45(Solvar: CALw15)	3.33067e-16	0.715968	1e-06
CNw15	Residuum equation #46(Solvar: CNw15)	-2.22045e-16	0.284032	1e-06
CWw15	Residuum equation #47(Solvar: CWw15)	-7.64071e-38	4.82763e-23	1e-06
CALw16	Residuum equation #48(Solvar: CALw16)	6.66134e-16	0.732579	1e-06
CNw16	Residuum equation #49(Solvar: CNw16)	1.66533e-16	0.26742	1e-06
CWw16	Residuum equation #50(Solvar: CWw16)	2.35099e-38	-3.28898e-23	1e-06
CALw17	Residuum equation #51(Solvar: CALw17)	-1.11022e-16	0.71662	1e-06
CNw17	Residuum equation #52(Solvar: CNw17)	-5.55112e-17	0.28338	1e-06
CWw17	Residuum equation #53(Solvar: CWw17)	4.70198e-38	-7.42431e-23	1e-06
CALw18	Residuum equation #54(Solvar: CALw18)	7.77156e-16	0.690434	1e-06
CNw18	Residuum equation #55(Solvar: CNw18)	5.55112e-16	0.309565	1e-06
CWw18	Residuum equation #56(Solvar: CWw18)	1.88079e-37	-1.37238e-22	1e-06
CALw19	Residuum equation #57(Solvar: CALw19)	1.11022e-16	0.697791	1e-06
CNw19	Residuum equation #58(Solvar: CNw19)	1.11022e-16	0.302209	1e-06
CWw19	Residuum equation #59(Solvar: CWw19)	5.78564e-39	7.40173e-25	1e-06
CALw20	Residuum equation #60(Solvar: CALw20)	-6.66134e-16	0.693892	1e-06
CNw20	Residuum equation #61(Solvar: CNw20)	1.66533e-16	0.306108	1e-06
CWw20	Residuum equation #62(Solvar: CWw20)	6.01853e-36	-5.65072e-21	1e-06
CALw21	Residuum equation #63(Solvar: CALw21)	0	0.660484	1e-06
CNw21	Residuum equation #64(Solvar: CNw21)	-4.44089e-16	0.339516	1e-06
CWw21	Residuum equation #65(Solvar: CWw21)	6.01853e-36	6.50725e-21	1e-06
CALw22	Residuum equation #66(Solvar: CALw22)	5.55112e-16	0.627662	1e-06
CNw22	Residuum equation #67(Solvar: CNw22)	-1.11022e-16	0.372337	1e-06
CWw22	Residuum equation #68(Solvar: CWw22)	-1.35417e-35	6.84019e-21	1e-06
CALw23	Residuum equation #69(Solvar: CALw23)	9.99201e-16	0.698627	1e-06
CNw23	Residuum equation #70(Solvar: CNw23)	1.11022e-16	0.301373	1e-06
CWw23	Residuum equation #71(Solvar: CWw23)	2.82119e-37	1.93509e-22	1e-06
CALw24	Residuum equation #72(Solvar: CALw24)	2.22045e-16	0.709913	1e-06
CNw24	Residuum equation #73(Solvar: CNw24)	1.66533e-16	0.290087	1e-06
CWw24	Residuum equation #74(Solvar: CWw24)	0	-2.48749e-21	1e-06
CALw25	Residuum equation #75(Solvar: CALw25)	-7.77156e-16	0.710528	1e-06
CNw25	Residuum equation #76(Solvar: CNw25)	1.11022e-16	0.289471	1e-06
CWw25	Residuum equation #77(Solvar: CWw25)	-8.81621e-39	1.98949e-23	1e-06
CALw26	Residuum equation #78(Solvar: CALw26)	-2.22045e-16	0.694489	1e-06
CNw26	Residuum equation #79(Solvar: CNw26)	1.66533e-16	0.30551	1e-06
CWw26	Residuum equation #80(Solvar: CWw26)	-8.44887e-39	-2.05247e-24	1e-06
CALw27	Residuum equation #81(Solvar: CALw27)	6.66134e-16	0.718195	1e-06
CNw27	Residuum equation #82(Solvar: CNw27)	0	0.281805	1e-06
CWw27	Residuum equation #83(Solvar: CWw27)	0	-2.80283e-24	1e-06
CALw28	Residuum equation #84(Solvar: CALw28)	0	0.760073	1e-06
CNw28	Residuum equation #85(Solvar: CNw28)	2.22045e-16	0.239927	1e-06
CWw28	Residuum equation #86(Solvar: CWw28)	-1.83671e-40	-1.0603e-24	1e-06
CALw29	Residuum equation #87(Solvar: CALw29)	-4.44089e-16	0.733208	1e-06
CNw29	Residuum equation #88(Solvar: CNw29)	4.996e-16	0.266792	1e-06
CWw29	Residuum equation #89(Solvar: CWw29)	-3.67342e-39	4.32766e-24	1e-06
CALw30	Residuum equation #90(Solvar: CALw30)	-3.33067e-16	0.716354	1e-06
CNw30	Residuum equation #91(Solvar: CNw30)	-1.66533e-16	0.283646	1e-06
CWw30	Residuum equation #92(Solvar: CWw30)	3.76158e-37	-5.19517e-22	1e-06
CALw31	Residuum equation #93(Solvar: CALw31)	6.66134e-16	0.730676	1e-06
CNw31	Residuum equation #94(Solvar: CNw31)	3.88578e-16	0.269324	1e-06
CWw31	Residuum equation #95(Solvar: CWw31)	2.93874e-38	2.69111e-23	1e-06
CALw32	Residuum equation #96(Solvar: CALw32)	8.88178e-16	0.701104	1e-06
CNw32	Residuum equation #97(Solvar: CNw32)	-1.11022e-16	0.298896	1e-06
CWw32	Residuum equation #98(Solvar: CWw32)	7.05297e-38	3.96868e-23	1e-06
CALw33	Residuum equation #99(Solvar: CALw33)	1.11022e-16	0.690333	1e-06
CNw33	Residuum equation #100(Solvar: CNw33)	3.88578e-16	0.309667	1e-06
CWw33	Residuum equation #101(Solvar: CWw33)	-2.82119e-37	-5.06894e-22	1e-06
CALw34	Residuum equation #102(Solvar: CALw34)	3.33067e-16	0.698426	1e-06
CNw34	Residuum equation #103(Solvar: CNw34)	3.33067e-16	0.301574	1e-06
CWw34	Residuum equation #104(Solvar: CWw34)	0	1.06237e-22	1e-06
CALw35	Residuum equation #105(Solvar: CALw35)	-3.33067e-16	0.699044	1e-06
CNw35	Residuum equation #106(Solvar: CNw35)	1.66533e-16	0.300956	1e-06
CWw35	Residuum equation #107(Solvar: CWw35)	2.63311e-36	-2.28485e-21	1e-06
CALw36	Residuum equation #108(Solvar: CALw36)	4.44089e-16	0.692076	1e-06
CNw36	Residuum equation #109(Solvar: CNw36)	5.55112e-17	0.307924	1e-06
CWw36	Residuum equation #110(Solvar: CWw36)	3.76158e-37	-2.77066e-21	1e-06
CALw37	Residuum equation #111(Solvar: CALw37)	1.11022e-16	0.667526	1e-06
CNw37	Residuum equation #112(Solvar: CNw37)	1.66533e-16	0.332474	1e-06
CWw37	Residuum equation #113(Solvar: CWw37)	1.88079e-37	5.58688e-22	1e-06
CALw38	Residuum equation #114(Solvar: CALw38)	2.22045e-16	0.699131	1e-06
CNw38	Residuum equation #115(Solvar: CNw38)	3.88578e-16	0.300869	1e-06
CWw38	Residuum equation #116(Solvar: CWw38)	5.64237e-37	-9.0693e-22	1e-06
CALw39	Residuum equation #117(Solvar: CALw39)	4.44089e-16	0.705124	1e-06
CNw39	Residuum equation #118(Solvar: CNw39)	-2.77556e-16	0.294876	1e-06
CWw39	Residuum equation #119(Solvar: CWw39)	2.64486e-38	1.44801e-23	1e-06
CALw40	Residuum equation #120(Solvar: CALw40)	0	0.693152	1e-06
CNw40	Residuum equation #121(Solvar: CNw40)	1.66533e-16	0.306848	1e-06
CWw40	Residuum equation #122(Solvar: CWw40)	-3.76158e-37	2.86206e-21	1e-06
CALw41	Residuum equation #123(Solvar: CALw41)	-5.55112e-16	0.674756	1e-06
CNw41	Residuum equation #124(Solvar: CNw41)	-1.11022e-16	0.325243	1e-06
CWw41	Residuum equation #125(Solvar: CWw41)	-1.17549e-38	-6.63556e-23	1e-06
CALw42	Residuum equation #126(Solvar: CALw42)	6.66134e-16	0.709499	1e-06
CNw42	Residuum equation #127(Solvar: CNw42)	-1.11022e-16	0.290501	1e-06
CWw42	Residuum equation #128(Solvar: CWw42)	1.17549e-38	-9.36779e-24	1e-06
CALw43	Residuum equation #129(Solvar: CALw43)	1.11022e-16	0.761009	1e-06
CNw43	Residuum equation #130(Solvar: CNw43)	1.66533e-16	0.238991	1e-06
CWw43	Residuum equation #131(Solvar: CWw43)	-4.4081e-39	-3.75785e-24	1e-06
CALw44	Residuum equation #132(Solvar: CALw44)	3.33067e-16	0.733058	1e-06
CNw44	Residuum equation #133(Solvar: CNw44)	1.66533e-16	0.266942	1e-06
CWw44	Residuum equation #134(Solvar: CWw44)	-4.59177e-40	3.62645e-25	1e-06
CALw45	Residuum equation #135(Solvar: CALw45)	-2.22045e-16	0.716123	1e-06
CNw45	Residuum equation #136(Solvar: CNw45)	3.88578e-16	0.283877	1e-06
CWw45	Residuum equation #137(Solvar: CWw45)	3.29138e-37	-3.70421e-22	1e-06
CALw46	Residuum equation #138(Solvar: CALw46)	0	0.728333	1e-06
CNw46	Residuum equation #139(Solvar: CNw46)	-5.55112e-17	0.271667	1e-06
CWw46	Residuum equation #140(Solvar: CWw46)	-2.35099e-38	5.32231e-23	1e-06
CALw47	Residuum equation #141(Solvar: CALw47)	-6.66134e-16	0.68761	1e-06
CNw47	Residuum equation #142(Solvar: CNw47)	-1.66533e-16	0.31239	1e-06
CWw47	Residuum equation #143(Solvar: CWw47)	1.17549e-37	6.75023e-23	1e-06
CALw48	Residuum equation #144(Solvar: CALw48)	-5.55112e-16	0.681508	1e-06
CNw48	Residuum equation #145(Solvar: CNw48)	3.33067e-16	0.318492	1e-06
