WallIDX	TGTConc	PrjFlux	EroFlux_w_by_al	EroFluxPartial_w_by_al
47	6.62196e-23	0.0315802	-4.05605e-55	-6.12515e-33
48	1.14047e-22	0.0396606	-7.49573e-54	-6.57248e-32
49	9.2064e-23	0.0466583	-5.07163e-54	-5.5088e-32
50	3.14827e-22	0.0524895	-4.64329e-54	-1.47487e-32
51	-1.55253e-21	0.0778492	-3.78715e-53	2.43935e-32
52	-1.13747e-20	0.0970723	-4.60394e-51	4.04753e-31
53	-1.898e-21	0.0650555	9.34256e-53	-4.92232e-32
54	1.896e-23	0.0448858	-4.5492e-54	-2.39937e-31
55	1.0164e-23	0.036211	2.74995e-55	2.70557e-32
56	7.74346e-23	0.0271314	2.88271e-54	3.72276e-32
57	2.47359e-23	0.01309	5.54756e-57	2.24272e-34
58	5.04883e-24	0.00998044	1.36832e-58	2.71018e-35
59	4.8586e-24	0.0113981	2.10408e-58	4.33064e-35
60	-1.37492e-22	0.03637	-9.00705e-54	6.55096e-32
61	1.18423e-22	0.0343877	-2.17774e-55	-1.83895e-33
62	-3.06486e-21	0.0902916	7.26253e-51	-2.36962e-30
63	2.96535e-22	0.162018	-4.14196e-50	-1.39679e-28
64	9.95758e-22	0.0971786	-4.68646e-52	-4.70643e-31
65	3.02098e-22	0.0660695	9.9606e-55	3.29714e-33
66	-6.68185e-22	0.124179	-4.39159e-52	6.57242e-31
67	-2.1796e-21	0.149851	6.84887e-51	-3.14227e-30
68	5.15646e-22	0.0748849	7.16355e-54	1.38924e-32
69	1.61781e-22	0.0592564	1.13553e-53	7.0189e-32
70	4.38003e-22	0.11373	2.75154e-50	6.28201e-29
71	-8.55051e-21	0.083349	-3.1192e-48	3.64797e-28
72	2.87931e-22	0.0297258	-7.91521e-54	-2.74899e-32
73	5.13005e-23	0.0134133	-2.74669e-57	-5.35413e-35
74	3.20454e-23	0.0130003	-1.22751e-57	-3.83054e-35
75	2.81842e-22	0.0388191	-2.06427e-53	-7.32421e-32
76	1.33765e-22	0.0394383	5.04044e-56	3.76814e-34
77	-2.3604e-21	0.0794459	-2.47987e-51	1.05062e-30
78	-3.13244e-24	0.1442	-9.94173e-53	3.1738e-29
