WallIDX	TGTConc	PrjFlux	EroFlux_w_by_n	EroFluxPartial_w_by_n
0	2.72219e-22	0.0403582	-6.89264e-54	-2.53202e-32
1	1.51697e-23	0.0397059	1.07172e-56	7.06488e-34
2	-4.55322e-23	0.0733025	-1.66632e-55	3.65965e-33
3	3.75491e-21	0.128052	-2.6061e-51	-6.94051e-31
4	2.03298e-21	0.0954432	-5.67684e-54	-2.79238e-33
5	1.7829e-22	0.0848447	1.14584e-54	6.42686e-33
6	-9.43848e-22	0.0999121	-5.07981e-53	5.38202e-32
7	-1.83761e-21	0.107406	-4.15589e-53	2.26157e-32
8	4.04883e-22	0.0828384	-2.5043e-54	-6.18525e-33
9	-2.26497e-23	0.062995	-1.55831e-55	6.88005e-33
10	3.54258e-23	0.0612321	-6.98925e-55	-1.97293e-32
11	1.72346e-23	0.0417725	-1.06135e-55	-6.15827e-33
12	1.02166e-23	0.0175458	-5.0889e-58	-4.98099e-35
13	6.95562e-24	0.0121506	-3.92067e-59	-5.63669e-36
14	3.7184e-24	0.0135193	-4.98076e-59	-1.33949e-35
15	4.4127e-23	0.0396348	-2.882e-55	-6.53115e-33
16	-3.30241e-23	0.0325741	-3.99321e-57	1.20918e-34
17	-7.46616e-23	0.0383719	1.91726e-56	-2.56793e-34
18	-1.39065e-22	0.0618383	1.06289e-54	-7.64314e-33
19	-1.45252e-24	0.0626023	2.74939e-57	-1.89285e-33
20	-5.6327e-21	0.0891925	-1.36555e-52	2.42432e-32
21	6.59471e-21	0.158339	8.17875e-52	1.2402e-31
22	6.86587e-21	0.217844	2.93524e-49	4.27512e-29
23	2.34106e-22	0.0909704	2.70199e-53	1.15417e-31
24	-2.71957e-21	0.0536473	-6.0786e-52	2.23514e-31
25	1.68966e-23	0.034653	-6.8253e-56	-4.03945e-33
26	-3.54806e-24	0.0237165	3.05948e-57	-8.62296e-34
27	-3.35234e-24	0.0145514	1.69739e-58	-5.0633e-35
28	-1.19274e-24	0.0110269	2.10176e-59	-1.76212e-35
29	4.48349e-24	0.0130003	-2.44191e-58	-5.44645e-35
30	-4.99472e-22	0.0367675	-2.65962e-53	5.32486e-32
31	2.56333e-23	0.0278524	-2.42725e-56	-9.46912e-34
32	3.80082e-23	0.0346229	-1.03087e-55	-2.71223e-33
33	-4.62594e-22	0.0451223	-7.1173e-53	1.53856e-31
34	1.04331e-22	0.0575539	1.29137e-54	1.23776e-32
