WallIDX	TGTConc	PrjFlux	EroFlux_w_by_n	EroFluxPartial_w_by_n
35	-2.27119e-21	0.0821807	6.2391e-53	-2.74706e-32
36	-2.76342e-21	0.129399	-2.94401e-53	1.06535e-32
37	5.31334e-22	0.166683	7.01235e-52	1.31976e-30
38	-9.2142e-22	0.0950981	3.05419e-53	-3.31466e-32
39	-1.00705e-23	0.0592823	9.02059e-56	-8.95747e-33
40	3.48622e-21	0.0442077	-8.83736e-52	-2.53494e-31
41	-8.28591e-23	0.0296151	-5.42905e-55	6.55215e-33
42	-1.19664e-23	0.0146782	3.36088e-59	-2.8086e-36
43	-4.92406e-24	0.00992623	4.31687e-59	-8.7669e-36
44	-6.3486e-25	0.0123463	2.45243e-60	-3.86295e-36
45	-3.40897e-22	0.0369926	-6.84759e-54	2.0087e-32
46	5.13242e-23	0.0317949	-5.42915e-56	-1.05782e-33
47	6.62196e-23	0.0482833	-2.26266e-55	-3.41691e-33
48	1.14047e-22	0.062635	-4.50967e-54	-3.95421e-32
49	9.2064e-23	0.065283	-2.57796e-54	-2.80019e-32
50	3.14827e-22	0.0715101	-1.96884e-54	-6.25372e-33
51	-1.55253e-21	0.107311	-1.74035e-53	1.12098e-32
52	-1.13747e-20	0.13032	-2.791e-51	2.45369e-31
53	-1.898e-21	0.0879986	4.38273e-53	-2.30913e-32
54	1.896e-23	0.0609779	-1.9135e-54	-1.00923e-31
55	1.0164e-23	0.0535009	1.53151e-55	1.5068e-32
56	7.74346e-23	0.0420107	2.61012e-54	3.37074e-32
57	2.47359e-23	0.0186616	2.32214e-57	9.38772e-35
58	5.04883e-24	0.0119029	3.5299e-59	6.99153e-36
59	4.8586e-24	0.0131696	6.50779e-59	1.33944e-35
60	-1.37492e-22	0.0426389	-3.2264e-54	2.34661e-32
61	1.18423e-22	0.0412626	-6.94784e-56	-5.86698e-34
62	-3.06486e-21	0.125397	6.15428e-51	-2.00801e-30
63	2.96535e-22	0.198031	-3.37573e-50	-1.13839e-28
64	9.95758e-22	0.135063	-3.92698e-52	-3.94371e-31
65	3.02098e-22	0.09121	4.70035e-55	1.5559e-33
66	-6.68185e-22	0.157942	-3.35395e-52	5.01949e-31
67	-2.1796e-21	0.199547	5.42854e-51	-2.49062e-30
68	5.15646e-22	0.103895	3.20055e-54	6.20688e-33
69	1.61781e-22	0.084524	4.85764e-54	3.0026e-32
70	4.38003e-22	0.148229	2.24405e-50	5.12338e-29
71	-8.55051e-21	0.110164	-2.67356e-48	3.12678e-28
72	2.87931e-22	0.0404376	-6.43336e-54	-2.23434e-32
73	5.13005e-23	0.0140591	-5.3376e-58	-1.04046e-35
74	3.20454e-23	0.0148133	-3.55669e-58	-1.10989e-35
75	2.81842e-22	0.0448251	-6.8012e-54	-2.41313e-32
76	1.33765e-22	0.0437872	1.41747e-56	1.05967e-34
77	-2.3604e-21	0.115475	-2.0261e-51	8.58372e-31
78	-3.13244e-24	0.200005	-8.88453e-53	2.83629e-29
79	-6.49551e-23	0.118671	5.34021e-55	-8.22139e-33
80	5.86789e-22	0.0837455	1.65232e-54	2.81587e-33
81	3.52565e-22	0.101082	-9.65969e-54	-2.73983e-32
82	6.58186e-23	0.1141	3.50617e-56	5.32702e-34
83	9.11866e-22	0.090129	4.07968e-54	4.47399e-33
84	-2.51781e-23	0.0665918	1.97301e-55	-7.83623e-33
85	-6.74299e-22	0.101852	-1.78657e-51	2.64952e-30
86	2.79199e-22	0.089276	-5.30184e-52	-1.89895e-30
87	1.08997e-22	0.028284	-1.47569e-56	-1.35389e-34
88	4.24698e-23	0.0148319	-4.27684e-58	-1.00703e-35
89	2.51833e-23	0.0147969	-4.65709e-58	-1.84928e-35
90	0.824996	4.63371	0.00312725	0.00379062
91	0.733935	0.310369	0.000408811	0.000557013
92	0.81526	0.00374733	2.20371e-06	2.70308e-06
93	0.982029	0.000273304	1.46068e-07	1.48741e-07
