WallIDX	TGTConc	PrjFlux	EroFlux_w_by_al	EroFluxPartial_w_by_al
0	0	0.026349	0	0
1	0	0.0256794	0	0
2	0	0.0393146	0	0
3	0	0.0772219	0	0
4	0	0.048595	0	0
5	0	0.0436982	0	0
6	0	0.0541938	0	0
7	0	0.0560532	0	0
8	0	0.0463752	0	0
9	0	0.0338148	0	0
10	0	0.0319432	0	0
11	0	0.0228512	0	0
12	0	0.0103624	0	0
13	0	0.00766829	0	0
14	0	0.0081867	0	0
15	0	0.0250079	0	0
16	0	0.0214498	0	0
17	0	0.0232713	0	0
18	0	0.0334299	0	0
19	0	0.0329597	0	0
20	0	0.0442058	0	0
21	0	0.0888175	0	0
22	0	0.129363	0	0
23	0	0.0481499	0	0
24	0	0.0299226	0	0
25	0	0.0194529	0	0
26	0	0.0119827	0	0
27	0	0.00718735	0	0
28	0	0.00699918	0	0
29	0	0.00805594	0	0
30	0	0.0233681	0	0
31	0	0.0176345	0	0
32	0	0.0169737	0	0
33	0	0.0214343	0	0
34	0	0.0301776	0	0
35	0	0.0441261	0	0
36	0	0.0655626	0	0
37	0	0.0855063	0	0
38	0	0.0518299	0	0
39	0	0.0331937	0	0
40	0	0.0229253	0	0
41	0	0.0137272	0	0
42	0	0.00724294	0	0
43	0	0.00641362	0	0
44	0	0.00768196	0	0
45	0	0.0234174	0	0
46	0	0.0199661	0	0
47	0	0.0232969	0	0
48	0	0.0298909	0	0
49	0	0.0339243	0	0
50	0	0.0373568	0	0
51	0	0.0558017	0	0
52	0	0.0699324	0	0
53	0	0.046544	0	0
54	0	0.0321555	0	0
55	0	0.0271537	0	0
56	0	0.0210756	0	0
57	0	0.00960971	0	0
58	0	0.00690882	0	0
59	0	0.00779836	0	0
60	0	0.0260172	0	0
61	0	0.0258865	0	0
62	0	0.0757257	0	0
63	0	0.141332	0	0
64	0	0.0770959	0	0
65	0	0.048552	0	0
66	0	0.0920991	0	0
67	0	0.113264	0	0
68	0	0.0547278	0	0
69	0	0.0448989	0	0
70	0	0.0982977	0	0
71	0	0.0744243	0	0
72	0	0.0244716	0	0
73	0	0.0100379	0	0
74	0	0.00917935	0	0
75	0	0.0282984	0	0
76	0	0.0301728	0	0
77	0	0.0658825	0	0
78	0	0.125974	0	0
79	0	0.0645619	0	0
80	0	0.0486774	0	0
81	0	0.0571839	0	0
82	0	0.0603888	0	0
83	0	0.0487474	0	0
84	0	0.0387589	0	0
85	0	0.062443	0	0
86	0	0.0527012	0	0
87	0	0.0168192	0	0
88	0	0.00968542	0	0
89	0	0.00932252	0	0
90	1	0.626824	0.00549469	0.00549469
91	1	0.0631999	0.000966157	0.000966157
92	1	0.0011797	6.33661e-06	6.33661e-06
93	1	8.13806e-05	3.11149e-07	3.11149e-07
