WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.000	0.000	1.000	0	0
93	0.000	7.912	0.000	0.000	1.000	0	0
90	0.000	8.844	0.000	0.000	1.000	0	0
91	0.000	10.018	0.000	0.000	1.000	0	0
92	0.000	31.648	0.000	0.000	1.000	0	0
93	0.000	31.648	0.000	0.000	1.000	0	0
90	0.000	35.379	0.000	0.000	1.000	0	0
91	0.000	40.069	0.000	0.000	1.000	0	0
92	0.000	55.384	0.000	0.000	1.000	0	0
93	0.000	55.384	0.000	0.000	1.000	0	0
90	0.000	61.914	0.000	0.000	1.000	0	0
91	0.000	70.120	0.000	0.000	1.000	0	0
92	0.000	79.120	0.000	0.000	1.000	0	0
93	0.000	79.120	0.000	0.000	1.000	0	0
90	0.000	88.449	0.000	0.000	1.000	0	0
91	0.000	100.171	0.000	0.000	1.000	0	0
72	45.000	9.352	0.500	0.500	0.000	0.000883747	0.000883747
87	45.000	9.366	0.500	0.500	0.000	0.000884992	0.000884992
71	45.000	9.380	0.500	0.500	0.000	0.00088634	0.00088634
86	45.000	9.392	0.500	0.500	0.000	0.000887588	0.000887588
27	45.000	9.428	0.500	0.500	0.000	0.000890869	0.000890869
42	45.000	9.436	0.500	0.500	0.000	0.000891685	0.000891685
26	45.000	9.440	0.500	0.500	0.000	0.000892149	0.000892149
41	45.000	9.450	0.500	0.500	0.000	0.00089302	0.00089302
12	45.000	9.508	0.500	0.500	0.000	0.000898475	0.000898475
57	45.000	9.516	0.500	0.500	0.000	0.000899211	0.000899211
11	45.000	9.518	0.500	0.500	0.000	0.000899444	0.000899444
56	45.000	9.522	0.500	0.500	0.000	0.000899923	0.000899923
73	45.000	10.662	0.500	0.500	0.000	0.0010075	0.0010075
88	45.000	10.680	0.500	0.500	0.000	0.00100931	0.00100931
28	45.000	10.734	0.500	0.500	0.000	0.00101439	0.00101439
43	45.000	10.736	0.500	0.500	0.000	0.0010145	0.0010145
13	45.000	10.810	0.500	0.500	0.000	0.00102148	0.00102148
58	45.000	10.824	0.500	0.500	0.000	0.00102285	0.00102285
70	45.000	10.908	0.500	0.500	0.000	0.00103088	0.00103088
85	45.000	10.944	0.500	0.500	0.000	0.00103415	0.00103415
25	45.000	10.988	0.500	0.500	0.000	0.00103838	0.00103838
40	45.000	10.988	0.500	0.500	0.000	0.00103845	0.00103845
10	45.000	11.054	0.500	0.500	0.000	0.0010446	0.0010446
55	45.000	11.058	0.500	0.500	0.000	0.00104489	0.00104489
62	45.000	11.152	0.500	0.500	0.000	0.00105395	0.00105395
77	45.000	11.204	0.500	0.500	0.000	0.00105885	0.00105885
63	45.000	11.214	0.500	0.500	0.000	0.00105978	0.00105978
17	45.000	11.236	0.500	0.500	0.000	0.00106189	0.00106189
32	45.000	11.244	0.500	0.500	0.000	0.00106246	0.00106246
78	45.000	11.248	0.500	0.500	0.000	0.00106288	0.00106288
18	45.000	11.302	0.500	0.500	0.000	0.00106796	0.00106796
2	45.000	11.310	0.500	0.500	0.000	0.00106882	0.00106882
33	45.000	11.310	0.500	0.500	0.000	0.00106889	0.00106889
47	45.000	11.312	0.500	0.500	0.000	0.0010689	0.0010689
3	45.000	11.384	0.500	0.500	0.000	0.0010757	0.0010757
48	45.000	11.390	0.500	0.500	0.000	0.00107627	0.00107627
74	45.000	12.342	0.500	0.500	0.000	0.00116626	0.00116626
89	45.000	12.360	0.500	0.500	0.000	0.00116803	0.00116803
29	45.000	12.396	0.500	0.500	0.000	0.00117144	0.00117144
44	45.000	12.408	0.500	0.500	0.000	0.00117257	0.00117257
14	45.000	12.454	0.500	0.500	0.000	0.00117688	0.00117688
59	45.000	12.462	0.500	0.500	0.000	0.00117766	0.00117766
61	45.000	12.614	0.500	0.500	0.000	0.00119207	0.00119207
16	45.000	12.684	0.500	0.500	0.000	0.00119868	0.00119868
31	45.000	12.688	0.500	0.500	0.000	0.00119898	0.00119898
76	45.000	12.694	0.500	0.500	0.000	0.00119958	0.00119958
1	45.000	12.752	0.500	0.500	0.000	0.00120502	0.00120502
64	45.000	12.752	0.500	0.500	0.000	0.00120515	0.00120515
46	45.000	12.756	0.500	0.500	0.000	0.00120541	0.00120541
79	45.000	12.762	0.500	0.500	0.000	0.001206	0.001206
19	45.000	12.818	0.500	0.500	0.000	0.00121127	0.00121127
34	45.000	12.826	0.500	0.500	0.000	0.00121198	0.00121198
4	45.000	12.890	0.500	0.500	0.000	0.00121815	0.00121815
49	45.000	12.894	0.500	0.500	0.000	0.00121856	0.00121856
69	45.000	13.352	0.500	0.500	0.000	0.00126178	0.00126178
84	45.000	13.418	0.500	0.500	0.000	0.00126794	0.00126794
24	45.000	13.474	0.500	0.500	0.000	0.00127322	0.00127322
39	45.000	13.476	0.500	0.500	0.000	0.00127351	0.00127351
9	45.000	13.538	0.500	0.500	0.000	0.00127937	0.00127937
54	45.000	13.556	0.500	0.500	0.000	0.001281	0.001281
65	45.000	14.876	0.500	0.500	0.000	0.00140587	0.00140587
80	45.000	14.880	0.500	0.500	0.000	0.00140623	0.00140623
20	45.000	14.940	0.500	0.500	0.000	0.00141182	0.00141182
35	45.000	14.942	0.500	0.500	0.000	0.00141199	0.00141199
5	45.000	15.002	0.500	0.500	0.000	0.00141768	0.00141768
50	45.000	15.004	0.500	0.500	0.000	0.00141796	0.00141796
60	45.000	15.046	0.500	0.500	0.000	0.00142177	0.00142177
15	45.000	15.090	0.500	0.500	0.000	0.00142607	0.00142607
30	45.000	15.114	0.500	0.500	0.000	0.00142833	0.00142833
75	45.000	15.116	0.500	0.500	0.000	0.00142848	0.00142848
45	45.000	15.132	0.500	0.500	0.000	0.00143001	0.00143001
0	45.000	15.144	0.500	0.500	0.000	0.00143113	0.00143113
68	45.000	15.678	0.500	0.500	0.000	0.00148149	0.00148149
83	45.000	15.722	0.500	0.500	0.000	0.00148579	0.00148579
23	45.000	15.774	0.500	0.500	0.000	0.00149057	0.00149057
38	45.000	15.778	0.500	0.500	0.000	0.00149094	0.00149094
8	45.000	15.824	0.500	0.500	0.000	0.00149528	0.00149528
53	45.000	15.832	0.500	0.500	0.000	0.00149604	0.00149604
