WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
73	45.000	26.655	0.500	0.500	0.000	0.000445792	0.000445792
88	45.000	26.700	0.500	0.500	0.000	0.000448991	0.000448991
28	45.000	26.835	0.500	0.500	0.000	0.000458004	0.000458004
43	45.000	26.840	0.500	0.500	0.000	0.0004582	0.0004582
13	45.000	27.025	0.500	0.500	0.000	0.000470562	0.000470562
58	45.000	27.060	0.500	0.500	0.000	0.000473005	0.000473005
27	45.000	27.899	0.500	0.500	0.000	0.000529232	0.000529232
12	45.000	28.663	0.500	0.500	0.000	0.000580338	0.000580338
74	45.000	30.855	0.500	0.500	0.000	0.000727191	0.000727191
89	45.000	30.900	0.500	0.500	0.000	0.000730328	0.000730328
29	45.000	30.990	0.500	0.500	0.000	0.000736373	0.000736373
44	45.000	31.020	0.500	0.500	0.000	0.000738369	0.000738369
42	45.000	31.099	0.500	0.500	0.000	0.000743575	0.000743575
57	45.000	31.131	0.500	0.500	0.000	0.000745776	0.000745776
14	45.000	31.135	0.500	0.500	0.000	0.00074602	0.00074602
59	45.000	31.155	0.500	0.500	0.000	0.000747404	0.000747404
87	45.000	31.656	0.500	0.500	0.000	0.000780826	0.000780826
61	45.000	31.757	0.500	0.500	0.000	0.000787703	0.000787703
76	45.000	31.957	0.500	0.500	0.000	0.000801149	0.000801149
16	45.000	31.998	0.500	0.500	0.000	0.000803809	0.000803809
31	45.000	32.176	0.500	0.500	0.000	0.000815697	0.000815697
1	45.000	32.294	0.500	0.500	0.000	0.000823668	0.000823668
46	45.000	32.442	0.500	0.500	0.000	0.000833566	0.000833566
26	45.000	32.693	0.500	0.500	0.000	0.000850478	0.000850478
17	45.000	33.916	0.500	0.500	0.000	0.000932411	0.000932411
25	45.000	34.340	0.500	0.500	0.000	0.000960839	0.000960839
32	45.000	35.460	0.500	0.500	0.000	0.00103584	0.00103584
24	45.000	36.400	0.500	0.500	0.000	0.00109872	0.00109872
84	45.000	37.406	0.500	0.500	0.000	0.00116622	0.00116622
60	45.000	37.615	0.500	0.500	0.000	0.00118006	0.00118006
15	45.000	37.725	0.500	0.500	0.000	0.00118769	0.00118769
30	45.000	37.785	0.500	0.500	0.000	0.00119171	0.00119171
75	45.000	37.790	0.500	0.500	0.000	0.00119197	0.00119197
45	45.000	37.830	0.500	0.500	0.000	0.00119469	0.00119469
0	45.000	37.860	0.500	0.500	0.000	0.00119667	0.00119667
54	45.000	38.891	0.500	0.500	0.000	0.00126563	0.00126563
19	45.000	38.918	0.500	0.500	0.000	0.00126756	0.00126756
9	45.000	39.314	0.500	0.500	0.000	0.00129413	0.00129413
47	45.000	39.470	0.500	0.500	0.000	0.00130446	0.00130446
50	45.000	39.628	0.500	0.500	0.000	0.00131518	0.00131518
80	45.000	39.687	0.500	0.500	0.000	0.00131905	0.00131905
39	45.000	39.954	0.500	0.500	0.000	0.00133694	0.00133694
5	45.000	40.898	0.500	0.500	0.000	0.00140019	0.00140019
65	45.000	41.573	0.500	0.500	0.000	0.00144549	0.00144549
34	45.000	41.674	0.500	0.500	0.000	0.00145216	0.00145216
49	45.000	42.168	0.500	0.500	0.000	0.00148523	0.00148523
81	45.000	42.402	0.500	0.500	0.000	0.00150088	0.00150088
8	45.000	42.434	0.500	0.500	0.000	0.00150298	0.00150298
83	45.000	42.629	0.500	0.500	0.000	0.00151624	0.00151624
73	45.000	42.648	0.500	0.500	0.000	0.00151727	0.00151727
33	45.000	42.651	0.500	0.500	0.000	0.00151768	0.00151768
88	45.000	42.720	0.500	0.500	0.000	0.00152239	0.00152239
28	45.000	42.936	0.500	0.500	0.000	0.00153681	0.00153681
43	45.000	42.944	0.500	0.500	0.000	0.00153712	0.00153712
23	45.000	43.011	0.500	0.500	0.000	0.00154177	0.00154177
20	45.000	43.101	0.500	0.500	0.000	0.00154775	0.00154775
13	45.000	43.240	0.500	0.500	0.000	0.0015569	0.0015569
58	45.000	43.296	0.500	0.500	0.000	0.00156081	0.00156081
6	45.000	43.366	0.500	0.500	0.000	0.0015654	0.0015654
53	45.000	43.372	0.500	0.500	0.000	0.00156589	0.00156589
7	45.000	43.609	0.500	0.500	0.000	0.00158181	0.00158181
35	45.000	43.649	0.500	0.500	0.000	0.00158448	0.00158448
82	45.000	43.920	0.500	0.500	0.000	0.0016026	0.0016026
38	45.000	44.011	0.500	0.500	0.000	0.00160858	0.00160858
68	45.000	44.532	0.500	0.500	0.000	0.00164361	0.00164361
69	45.000	44.549	0.500	0.500	0.000	0.0016447	0.0016447
18	45.000	44.896	0.500	0.500	0.000	0.00166794	0.00166794
51	45.000	45.629	0.500	0.500	0.000	0.00171716	0.00171716
55	45.000	46.305	0.500	0.500	0.000	0.0017623	0.0017623
27	45.000	46.370	0.500	0.500	0.000	0.00176684	0.00176684
48	45.000	47.069	0.500	0.500	0.000	0.0018135	0.0018135
12	45.000	47.818	0.500	0.500	0.000	0.00186366	0.00186366
36	45.000	48.423	0.500	0.500	0.000	0.00190438	0.00190438
40	45.000	48.734	0.500	0.500	0.000	0.00192527	0.00192527
74	45.000	49.368	0.500	0.500	0.000	0.00196751	0.00196751
89	45.000	49.440	0.500	0.500	0.000	0.00197253	0.00197253
29	45.000	49.584	0.500	0.500	0.000	0.0019822	0.0019822
44	45.000	49.632	0.500	0.500	0.000	0.00198539	0.00198539
14	45.000	49.816	0.500	0.500	0.000	0.00199764	0.00199764
59	45.000	49.848	0.500	0.500	0.000	0.00199985	0.00199985
4	45.000	50.471	0.500	0.500	0.000	0.00220725	0.00220725
52	45.000	50.686	0.500	0.500	0.000	0.0022969	0.0022969
61	45.000	50.900	0.500	0.500	0.000	0.00238566	0.00238566
76	45.000	51.220	0.500	0.500	0.000	0.0025202	0.0025202
16	45.000	51.312	0.500	0.500	0.000	0.00255735	0.00255735
31	45.000	51.664	0.500	0.500	0.000	0.00270431	0.00270431
41	45.000	51.681	0.500	0.500	0.000	0.00271206	0.00271206
1	45.000	51.836	0.500	0.500	0.000	0.00277706	0.00277706
46	45.000	52.128	0.500	0.500	0.000	0.0028988	0.0028988
57	45.000	52.746	0.500	0.500	0.000	0.00315771	0.00315771
42	45.000	52.762	0.500	0.500	0.000	0.00316352	0.00316352
2	45.000	52.794	0.500	0.500	0.000	0.00317707	0.00317707
87	45.000	53.946	0.500	0.500	0.000	0.00365778	0.00365778
10	45.000	54.299	0.500	0.500	0.000	0.0038067	0.0038067
37	45.000	55.094	0.500	0.500	0.000	0.00413838	0.00413838
26	45.000	55.946	0.500	0.500	0.000	0.00449497	0.00449497
17	45.000	56.596	0.500	0.500	0.000	0.0047664	0.0047664
11	45.000	57.197	0.500	0.500	0.000	0.0050178	0.0050178
66	45.000	57.368	0.500	0.500	0.000	0.00508854	0.00508854
25	45.000	57.692	0.500	0.500	0.000	0.00522496	0.00522496
21	45.000	58.258	0.500	0.500	0.000	0.00546155	0.00546155
79	45.000	58.281	0.500	0.500	0.000	0.00547065	0.00547065
73	45.000	58.641	0.500	0.500	0.000	0.00561962	0.00561962
88	45.000	58.740	0.500	0.500	0.000	0.00566351	0.00566351
28	45.000	59.037	0.500	0.500	0.000	0.00578719	0.00578719
43	45.000	59.048	0.500	0.500	0.000	0.00578988	0.00578988
24	45.000	59.326	0.500	0.500	0.000	0.00590647	0.00590647
13	45.000	59.455	0.500	0.500	0.000	0.00595951	0.00595951
58	45.000	59.532	0.500	0.500	0.000	0.00599302	0.00599302
32	45.000	59.676	0.500	0.500	0.000	0.00605401	0.00605401
56	45.000	59.745	0.500	0.500	0.000	0.00608272	0.00608272
60	45.000	60.184	0.500	0.500	0.000	0.00626425	0.00626425
15	45.000	60.360	0.500	0.500	0.000	0.00634039	0.00634039
30	45.000	60.456	0.500	0.500	0.000	0.00638047	0.00638047
75	45.000	60.464	0.500	0.500	0.000	0.0063831	0.0063831
45	45.000	60.528	0.500	0.500	0.000	0.00641017	0.00641017
0	45.000	60.576	0.500	0.500	0.000	0.00643	0.00643
84	45.000	61.394	0.500	0.500	0.000	0.00677176	0.00677176
54	45.000	64.226	0.500	0.500	0.000	0.00795406	0.00795406
50	45.000	64.252	0.500	0.500	0.000	0.00796656	0.00796656
80	45.000	64.494	0.500	0.500	0.000	0.00806669	0.00806669
27	45.000	64.841	0.500	0.500	0.000	0.00821235	0.00821235
19	45.000	65.018	0.500	0.500	0.000	0.0082864	0.0082864
9	45.000	65.090	0.500	0.500	0.000	0.00831673	0.00831673
67	45.000	66.169	0.500	0.500	0.000	0.00876654	0.00876654
39	45.000	66.432	0.500	0.500	0.000	0.00887667	0.00887667
72	45.000	66.481	0.500	0.500	0.000	0.00889747	0.00889747
5	45.000	66.794	0.500	0.500	0.000	0.00902815	0.00902815
12	45.000	66.973	0.500	0.500	0.000	0.00910132	0.00910132
47	45.000	67.628	0.500	0.500	0.000	0.00937627	0.00937627
74	45.000	67.881	0.500	0.500	0.000	0.00948077	0.00948077
89	45.000	67.980	0.500	0.500	0.000	0.00952381	0.00952381
29	45.000	68.178	0.500	0.500	0.000	0.00960676	0.00960676
44	45.000	68.244	0.500	0.500	0.000	0.00963416	0.00963416
65	45.000	68.270	0.500	0.500	0.000	0.00964538	0.00964538
14	45.000	68.497	0.500	0.500	0.000	0.00973915	0.00973915
81	45.000	68.502	0.500	0.500	0.000	0.00974109	0.00974109
59	45.000	68.541	0.500	0.500	0.000	0.00975813	0.00975813
8	45.000	69.044	0.500	0.500	0.000	0.00996713	0.00996713
