WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
60	45.000	15.046	0.714	0.286	-0.000	0.104733	0.104733
15	45.000	15.090	0.716	0.284	-0.000	0.105343	0.105343
30	45.000	15.114	0.716	0.284	-0.000	0.105566	0.105566
75	45.000	15.116	0.714	0.286	0.000	0.105297	0.105297
45	45.000	15.132	0.716	0.284	0.000	0.105657	0.105657
0	45.000	15.144	0.716	0.284	0.000	0.105769	0.105769
68	45.000	15.678	0.696	0.304	0.000	0.106463	0.106463
83	45.000	15.722	0.700	0.300	0.000	0.107368	0.107368
23	45.000	15.774	0.699	0.301	0.000	0.107495	0.107495
38	45.000	15.778	0.699	0.301	-0.000	0.107597	0.107597
8	45.000	15.824	0.704	0.296	0.000	0.108647	0.108647
53	45.000	15.832	0.699	0.301	-0.000	0.107959	0.107959
66	45.000	16.286	0.666	0.334	0.000	0.105927	0.105927
81	45.000	16.302	0.703	0.297	0.000	0.111712	0.111712
21	45.000	16.306	0.660	0.340	0.000	0.105187	0.105187
36	45.000	16.308	0.692	0.308	-0.000	0.11012	0.11012
51	45.000	16.322	0.696	0.304	0.000	0.110886	0.110886
6	45.000	16.324	0.701	0.299	0.000	0.111539	0.111539
7	45.000	16.378	0.698	0.302	-0.000	0.111542	0.111542
52	45.000	16.378	0.692	0.308	-0.000	0.110602	0.110602
37	45.000	16.382	0.668	0.332	0.000	0.10678	0.10678
22	45.000	16.384	0.628	0.372	-0.000	0.100545	0.100545
82	45.000	16.386	0.697	0.303	0.000	0.111444	0.111444
67	45.000	16.390	0.637	0.363	-0.000	0.102108	0.102108
73	45.000	26.655	0.766	0.234	0.000	0.200841	0.200841
88	45.000	26.700	0.757	0.243	0.000	0.199386	0.199386
28	45.000	26.835	0.760	0.240	0.000	0.201127	0.201127
43	45.000	26.840	0.761	0.239	0.000	0.201342	0.201342
13	45.000	27.025	0.756	0.244	0.000	0.201655	0.201655
58	45.000	27.060	0.751	0.249	-0.000	0.200933	0.200933
27	45.000	27.899	0.718	0.282	-0.000	0.200673	0.200673
12	45.000	28.663	0.726	0.274	0.000	0.208112	0.208112
74	45.000	30.855	0.732	0.268	-0.000	0.226404	0.226404
89	45.000	30.900	0.732	0.268	0.000	0.226673	0.226673
29	45.000	30.990	0.733	0.267	0.000	0.227627	0.227627
44	45.000	31.020	0.733	0.267	0.000	0.227824	0.227824
42	45.000	31.099	0.709	0.291	0.000	0.223362	0.223362
57	45.000	31.131	0.703	0.297	0.000	0.222312	0.222312
14	45.000	31.135	0.731	0.269	-0.000	0.228275	0.228275
59	45.000	31.155	0.731	0.269	-0.000	0.228355	0.228355
87	45.000	31.656	0.693	0.307	0.000	0.223994	0.223994
61	45.000	31.757	0.724	0.276	0.000	0.231643	0.231643
76	45.000	31.957	0.732	0.268	-0.000	0.234713	0.234713
16	45.000	31.998	0.733	0.267	-0.000	0.235249	0.235249
31	45.000	32.176	0.731	0.269	-0.000	0.236203	0.236203
1	45.000	32.294	0.728	0.272	-0.000	0.236501	0.236501
46	45.000	32.442	0.728	0.272	0.000	0.237747	0.237747
26	45.000	32.693	0.694	0.306	-0.000	0.232305	0.232305
17	45.000	33.916	0.717	0.283	-0.000	0.246517	0.246517
25	45.000	34.340	0.711	0.289	0.000	0.248422	0.248422
32	45.000	35.460	0.701	0.299	-0.000	0.254884	0.254884
24	45.000	36.400	0.710	0.290	-0.000	0.264046	0.264046
84	45.000	37.406	0.706	0.294	0.000	0.270755	0.270755
60	45.000	37.615	0.714	0.286	-0.000	0.274264	0.274264
15	45.000	37.725	0.716	0.284	-0.000	0.275603	0.275603
30	45.000	37.785	0.716	0.284	-0.000	0.276151	0.276151
75	45.000	37.790	0.714	0.286	0.000	0.275737	0.275737
45	45.000	37.830	0.716	0.284	0.000	0.276439	0.276439
0	45.000	37.860	0.716	0.284	0.000	0.276712	0.276712
54	45.000	38.891	0.702	0.298	-0.000	0.281217	0.281217
19	45.000	38.918	0.698	0.302	-0.000	0.280538	0.280538
9	45.000	39.314	0.702	0.298	0.000	0.284544	0.284544
47	45.000	39.470	0.688	0.312	0.000	0.282372	0.282372
50	45.000	39.628	0.702	0.298	-0.000	0.286849	0.286849
80	45.000	39.687	0.706	0.294	-0.000	0.288215	0.288215
39	45.000	39.954	0.705	0.295	-0.000	0.290157	0.290157
5	45.000	40.898	0.698	0.302	-0.000	0.295701	0.295701
65	45.000	41.573	0.698	0.302	-0.000	0.30076	0.30076
34	45.000	41.674	0.698	0.302	-0.000	0.301719	0.301719
49	45.000	42.168	0.695	0.305	-0.000	0.304748	0.304748
81	45.000	42.402	0.703	0.297	0.000	0.308265	0.308265
8	45.000	42.434	0.704	0.296	0.000	0.308842	0.308842
83	45.000	42.629	0.700	0.300	0.000	0.309416	0.309416
73	45.000	42.648	0.766	0.234	0.000	0.325221	0.325221
33	45.000	42.651	0.690	0.310	0.000	0.307246	0.307246
88	45.000	42.720	0.757	0.243	0.000	0.323684	0.323684
28	45.000	42.936	0.760	0.240	0.000	0.326168	0.326168
43	45.000	42.944	0.761	0.239	0.000	0.326429	0.326429
23	45.000	43.011	0.699	0.301	0.000	0.311977	0.311977
20	45.000	43.101	0.694	0.306	-0.000	0.31152	0.31152
13	45.000	43.240	0.756	0.244	0.000	0.327414	0.327414
58	45.000	43.296	0.751	0.249	-0.000	0.326692	0.326692
6	45.000	43.366	0.701	0.299	0.000	0.315128	0.315128
53	45.000	43.372	0.699	0.301	-0.000	0.314835	0.314835
7	45.000	43.609	0.698	0.302	-0.000	0.316429	0.316429
35	45.000	43.649	0.699	0.301	0.000	0.316944	0.316944
82	45.000	43.920	0.697	0.303	0.000	0.318554	0.318554
38	45.000	44.011	0.699	0.301	-0.000	0.319712	0.319712
68	45.000	44.532	0.696	0.304	0.000	0.322968	0.322968
69	45.000	44.549	0.692	0.308	-0.000	0.322016	0.322016
18	45.000	44.896	0.690	0.310	-0.000	0.324352	0.324352
51	45.000	45.629	0.696	0.304	0.000	0.331422	0.331422
55	45.000	46.305	0.686	0.314	0.000	0.334041	0.334041
27	45.000	46.370	0.718	0.282	-0.000	0.342466	0.342466
48	45.000	47.069	0.682	0.318	-0.000	0.338677	0.338677
12	45.000	47.818	0.726	0.274	0.000	0.355452	0.355452
36	45.000	48.423	0.692	0.308	-0.000	0.351644	0.351644
40	45.000	48.734	0.693	0.307	-0.000	0.354292	0.354292
74	45.000	49.368	0.732	0.268	-0.000	0.36907	0.36907
89	45.000	49.440	0.732	0.268	0.000	0.369539	0.369539
29	45.000	49.584	0.733	0.267	0.000	0.370958	0.370958
44	45.000	49.632	0.733	0.267	0.000	0.371287	0.371287
14	45.000	49.816	0.731	0.269	-0.000	0.372186	0.372186
59	45.000	49.848	0.731	0.269	-0.000	0.372347	0.372347
4	45.000	50.471	0.684	0.316	0.000	0.361871	0.361871
52	45.000	50.686	0.692	0.308	-0.000	0.364178	0.364178
61	45.000	50.900	0.724	0.276	0.000	0.372549	0.372549
76	45.000	51.220	0.732	0.268	-0.000	0.37456	0.37456
16	45.000	51.312	0.733	0.267	-0.000	0.374891	0.374891
31	45.000	51.664	0.731	0.269	-0.000	0.374648	0.374648
41	45.000	51.681	0.675	0.325	0.000	0.360494	0.360494
1	45.000	51.836	0.728	0.272	-0.000	0.374047	0.374047
46	45.000	52.128	0.728	0.272	0.000	0.374375	0.374375
57	45.000	52.746	0.703	0.297	0.000	0.368525	0.368525
42	45.000	52.762	0.709	0.291	0.000	0.370062	0.370062
2	45.000	52.794	0.672	0.328	-0.000	0.360588	0.360588
87	45.000	53.946	0.693	0.307	0.000	0.366691	0.366691
10	45.000	54.299	0.668	0.332	0.000	0.36078	0.36078
37	45.000	55.094	0.668	0.332	0.000	0.361243	0.361243
26	45.000	55.946	0.694	0.306	-0.000	0.368591	0.368591
17	45.000	56.596	0.717	0.283	-0.000	0.374546	0.374546
11	45.000	57.197	0.654	0.346	0.000	0.35953	0.35953
66	45.000	57.368	0.666	0.334	0.000	0.36261	0.36261
25	45.000	57.692	0.711	0.289	0.000	0.373814	0.373814
21	45.000	58.258	0.660	0.340	0.000	0.361907	0.361907
79	45.000	58.281	0.651	0.349	-0.000	0.359654	0.359654
73	45.000	58.641	0.766	0.234	0.000	0.387997	0.387997
88	45.000	58.740	0.757	0.243	0.000	0.385883	0.385883
28	45.000	59.037	0.760	0.240	0.000	0.386907	0.386907
43	45.000	59.048	0.761	0.239	0.000	0.387141	0.387141
24	45.000	59.326	0.710	0.290	-0.000	0.374817	0.374817
13	45.000	59.455	0.756	0.244	0.000	0.386076	0.386076
58	45.000	59.532	0.751	0.249	-0.000	0.384937	0.384937
32	45.000	59.676	0.701	0.299	-0.000	0.372915	0.372915
56	45.000	59.745	0.641	0.359	0.000	0.358217	0.358217
60	45.000	60.184	0.714	0.286	-0.000	0.376404	0.376404
15	45.000	60.360	0.716	0.284	-0.000	0.377028	0.377028
30	45.000	60.456	0.716	0.284	-0.000	0.377189	0.377189
75	45.000	60.464	0.714	0.286	0.000	0.376721	0.376721
45	45.000	60.528	0.716	0.284	0.000	0.377183	0.377183
0	45.000	60.576	0.716	0.284	0.000	0.377265	0.377265
84	45.000	61.394	0.706	0.294	0.000	0.375215	0.375215
54	45.000	64.226	0.702	0.298	-0.000	0.376318	0.376318
