WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.127	0.059	0.814	0.00446135	0.00446135
93	0.000	7.912	0.012	0.007	0.982	0.000486988	0.000486988
90	0.000	8.844	0.130	0.045	0.825	0.00515452	0.00515452
91	0.000	10.018	0.184	0.082	0.734	0.00640239	0.00640239
92	0.000	31.648	0.127	0.059	0.814	0.0241717	0.0241717
93	0.000	31.648	0.012	0.007	0.982	0.00263837	0.00263837
90	0.000	35.379	0.130	0.045	0.825	0.0292512	0.0292512
91	0.000	40.069	0.184	0.082	0.734	0.0418391	0.0418391
92	0.000	55.384	0.127	0.059	0.814	0.0481226	0.0481226
93	0.000	55.384	0.012	0.007	0.982	0.00525253	0.00525253
90	0.000	61.914	0.130	0.045	0.825	0.0542915	0.0542915
91	0.000	70.120	0.184	0.082	0.734	0.076209	0.076209
92	0.000	79.120	0.127	0.059	0.814	0.0633628	0.0633628
93	0.000	79.120	0.012	0.007	0.982	0.00691601	0.00691601
90	0.000	88.449	0.130	0.045	0.825	0.0711652	0.0711652
91	0.000	100.171	0.184	0.082	0.734	0.100483	0.100483
72	45.000	9.352	0.631	0.369	0.000	0.00133859	0.00133859
87	45.000	9.366	0.693	0.307	0.000	0.00163377	0.00163377
71	45.000	9.380	0.541	0.459	-0.000	0.00101281	0.00101281
86	45.000	9.392	0.562	0.438	0.000	0.00107984	0.00107984
27	45.000	9.428	0.718	0.282	-0.000	0.00176562	0.00176562
42	45.000	9.436	0.709	0.291	0.000	0.00172591	0.00172591
26	45.000	9.440	0.694	0.306	-0.000	0.00165542	0.00165542
41	45.000	9.450	0.675	0.325	0.000	0.0015631	0.0015631
12	45.000	9.508	0.726	0.274	0.000	0.00181689	0.00181689
57	45.000	9.516	0.703	0.297	0.000	0.00171144	0.00171144
11	45.000	9.518	0.654	0.346	0.000	0.00147556	0.00147556
56	45.000	9.522	0.641	0.359	0.000	0.00141195	0.00141195
73	45.000	10.662	0.766	0.234	0.000	0.00225125	0.00225125
88	45.000	10.680	0.757	0.243	0.000	0.00220745	0.00220745
28	45.000	10.734	0.760	0.240	0.000	0.00223689	0.00223689
43	45.000	10.736	0.761	0.239	0.000	0.00224219	0.00224219
13	45.000	10.810	0.756	0.244	0.000	0.00222801	0.00222801
58	45.000	10.824	0.751	0.249	-0.000	0.00220444	0.00220444
70	45.000	10.908	0.552	0.448	0.000	0.00122005	0.00122005
85	45.000	10.944	0.591	0.409	-0.000	0.00136644	0.00136644
40	45.000	10.988	0.693	0.307	-0.000	0.00191948	0.00191948
