WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
92	0.000	7.912	0.000	0.000	1.000	0.237932	0.237932
93	0.000	7.912	0.000	0.000	1.000	0.237932	0.237932
90	0.000	8.844	0.000	0.000	1.000	0.26599	0.26599
91	0.000	10.018	0.000	0.000	1.000	0.301242	0.301242
92	0.000	31.648	0.000	0.000	1.000	0.60067	0.60067
93	0.000	31.648	0.000	0.000	1.000	0.60067	0.60067
90	0.000	35.379	0.000	0.000	1.000	0.60042	0.60042
91	0.000	40.069	0.000	0.000	1.000	0.600105	0.600105
92	0.000	55.384	0.000	0.000	1.000	0.593752	0.593752
93	0.000	55.384	0.000	0.000	1.000	0.593752	0.593752
90	0.000	61.914	0.000	0.000	1.000	0.586852	0.586852
91	0.000	70.120	0.000	0.000	1.000	0.578237	0.578237
92	0.000	79.120	0.000	0.000	1.000	0.572799	0.572799
93	0.000	79.120	0.000	0.000	1.000	0.572799	0.572799
90	0.000	88.449	0.000	0.000	1.000	0.56716	0.56716
91	0.000	100.171	0.000	0.000	1.000	0.560083	0.560083
72	45.000	9.352	0.500	0.500	0.000	0.0466889	0.0466889
87	45.000	9.366	0.500	0.500	0.000	0.0467547	0.0467547
71	45.000	9.380	0.500	0.500	0.000	0.0468259	0.0468259
86	45.000	9.392	0.500	0.500	0.000	0.0468919	0.0468919
27	45.000	9.428	0.500	0.500	0.000	0.0470652	0.0470652
42	45.000	9.436	0.500	0.500	0.000	0.0471083	0.0471083
26	45.000	9.440	0.500	0.500	0.000	0.0471329	0.0471329
41	45.000	9.450	0.500	0.500	0.000	0.0471789	0.0471789
12	45.000	9.508	0.500	0.500	0.000	0.047467	0.047467
57	45.000	9.516	0.500	0.500	0.000	0.0475059	0.0475059
11	45.000	9.518	0.500	0.500	0.000	0.0475182	0.0475182
56	45.000	9.522	0.500	0.500	0.000	0.0475436	0.0475436
73	45.000	10.662	0.500	0.500	0.000	0.053227	0.053227
88	45.000	10.680	0.500	0.500	0.000	0.0533224	0.0533224
28	45.000	10.734	0.500	0.500	0.000	0.0535911	0.0535911
43	45.000	10.736	0.500	0.500	0.000	0.0535968	0.0535968
13	45.000	10.810	0.500	0.500	0.000	0.0539652	0.0539652
58	45.000	10.824	0.500	0.500	0.000	0.0540381	0.0540381
70	45.000	10.908	0.500	0.500	0.000	0.0544619	0.0544619
85	45.000	10.944	0.500	0.500	0.000	0.0546351	0.0546351
25	45.000	10.988	0.500	0.500	0.000	0.0548584	0.0548584
40	45.000	10.988	0.500	0.500	0.000	0.0548619	0.0548619
10	45.000	11.054	0.500	0.500	0.000	0.0551871	0.0551871
55	45.000	11.058	0.500	0.500	0.000	0.0552022	0.0552022
62	45.000	11.152	0.500	0.500	0.000	0.0556807	0.0556807
77	45.000	11.204	0.500	0.500	0.000	0.0559399	0.0559399
63	45.000	11.214	0.500	0.500	0.000	0.055989	0.055989
17	45.000	11.236	0.500	0.500	0.000	0.0561004	0.0561004
32	45.000	11.244	0.500	0.500	0.000	0.0561306	0.0561306
78	45.000	11.248	0.500	0.500	0.000	0.0561528	0.0561528
18	45.000	11.302	0.500	0.500	0.000	0.0564208	0.0564208
2	45.000	11.310	0.500	0.500	0.000	0.0564665	0.0564665
33	45.000	11.310	0.500	0.500	0.000	0.05647	0.05647
47	45.000	11.312	0.500	0.500	0.000	0.0564705	0.0564705
3	45.000	11.384	0.500	0.500	0.000	0.05683	0.05683
48	45.000	11.390	0.500	0.500	0.000	0.0568599	0.0568599
74	45.000	12.342	0.500	0.500	0.000	0.0616144	0.0616144
89	45.000	12.360	0.500	0.500	0.000	0.0617079	0.0617079
29	45.000	12.396	0.500	0.500	0.000	0.0618881	0.0618881
44	45.000	12.408	0.500	0.500	0.000	0.0619475	0.0619475
14	45.000	12.454	0.500	0.500	0.000	0.0621755	0.0621755
59	45.000	12.462	0.500	0.500	0.000	0.0622168	0.0622168
61	45.000	12.614	0.500	0.500	0.000	0.062978	0.062978
16	45.000	12.684	0.500	0.500	0.000	0.0633271	0.0633271
31	45.000	12.688	0.500	0.500	0.000	0.0633431	0.0633431
76	45.000	12.694	0.500	0.500	0.000	0.0633746	0.0633746
