WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
5	45.000	15.002	0.698	0.302	-0.000	0.00477342	0.00477342
50	45.000	15.004	0.702	0.298	-0.000	0.00474562	0.00474562
60	45.000	15.046	0.714	0.286	-0.000	0.00465879	0.00465879
15	45.000	15.090	0.716	0.284	-0.000	0.00465641	0.00465641
30	45.000	15.114	0.716	0.284	-0.000	0.00466067	0.00466067
75	45.000	15.116	0.714	0.286	0.000	0.00467691	0.00467691
45	45.000	15.132	0.716	0.284	0.000	0.00466802	0.00466802
0	45.000	15.144	0.716	0.284	0.000	0.00467006	0.00467006
68	45.000	15.678	0.696	0.304	0.000	0.00500431	0.00500431
83	45.000	15.722	0.700	0.300	0.000	0.00498535	0.00498535
23	45.000	15.774	0.699	0.301	0.000	0.00501369	0.00501369
38	45.000	15.778	0.699	0.301	-0.000	0.00501067	0.00501067
8	45.000	15.824	0.704	0.296	0.000	0.00498393	0.00498393
53	45.000	15.832	0.699	0.301	-0.000	0.00502822	0.00502822
66	45.000	16.286	0.666	0.334	0.000	0.00546076	0.00546076
81	45.000	16.302	0.703	0.297	0.000	0.00514697	0.00514697
21	45.000	16.306	0.660	0.340	0.000	0.00551676	0.00551676
36	45.000	16.308	0.692	0.308	-0.000	0.00524102	0.00524102
51	45.000	16.322	0.696	0.304	0.000	0.00520709	0.00520709
6	45.000	16.324	0.701	0.299	0.000	0.00517188	0.00517188
7	45.000	16.378	0.698	0.302	-0.000	0.00520978	0.00520978
52	45.000	16.378	0.692	0.308	-0.000	0.00526271	0.00526271
37	45.000	16.382	0.668	0.332	0.000	0.00548066	0.00548066
22	45.000	16.384	0.628	0.372	-0.000	0.00583112	0.00583112
82	45.000	16.386	0.697	0.303	0.000	0.00522143	0.00522143
67	45.000	16.390	0.637	0.363	-0.000	0.00574797	0.00574797
73	45.000	26.655	0.766	0.234	0.000	0.016961	0.016961
88	45.000	26.700	0.757	0.243	0.000	0.0175179	0.0175179
28	45.000	26.835	0.760	0.240	0.000	0.0175703	0.0175703
43	45.000	26.840	0.761	0.239	0.000	0.0175245	0.0175245
13	45.000	27.025	0.756	0.244	0.000	0.0181458	0.0181458
58	45.000	27.060	0.751	0.249	-0.000	0.0184822	0.0184822
27	45.000	27.899	0.718	0.282	-0.000	0.0219776	0.0219776
12	45.000	28.663	0.726	0.274	0.000	0.0230074	0.0230074
74	45.000	30.855	0.732	0.268	-0.000	0.0267599	0.0267599
89	45.000	30.900	0.732	0.268	0.000	0.0268838	0.0268838
29	45.000	30.990	0.733	0.267	0.000	0.0269592	0.0269592
44	45.000	31.020	0.733	0.267	0.000	0.0270282	0.0270282
42	45.000	31.099	0.709	0.291	0.000	0.0290984	0.0290984
57	45.000	31.131	0.703	0.297	0.000	0.0296614	0.0296614
14	45.000	31.135	0.731	0.269	-0.000	0.0274097	0.0274097
59	45.000	31.155	0.731	0.269	-0.000	0.0274796	0.0274796
87	45.000	31.656	0.693	0.307	0.000	0.0316722	0.0316722
61	45.000	31.757	0.724	0.276	0.000	0.0291704	0.0291704
76	45.000	31.957	0.732	0.268	-0.000	0.0289512	0.0289512
16	45.000	31.998	0.733	0.267	-0.000	0.0289347	0.0289347
31	45.000	32.176	0.731	0.269	-0.000	0.0294424	0.0294424
1	45.000	32.294	0.728	0.272	-0.000	0.0299254	0.0299254
46	45.000	32.442	0.728	0.272	0.000	0.0301669	0.0301669
26	45.000	32.693	0.694	0.306	-0.000	0.033762	0.033762
17	45.000	33.916	0.717	0.283	-0.000	0.0341942	0.0341942
25	45.000	34.340	0.711	0.289	0.000	0.0356719	0.0356719
32	45.000	35.460	0.701	0.299	-0.000	0.0390013	0.0390013
24	45.000	36.400	0.710	0.290	-0.000	0.039968	0.039968
84	45.000	37.406	0.706	0.294	0.000	0.0425777	0.0425777
60	45.000	37.615	0.714	0.286	-0.000	0.0419703	0.0419703
15	45.000	37.725	0.716	0.284	-0.000	0.0419493	0.0419493
30	45.000	37.785	0.716	0.284	-0.000	0.0420223	0.0420223
75	45.000	37.790	0.714	0.286	0.000	0.0422716	0.0422716
45	45.000	37.830	0.716	0.284	0.000	0.0421406	0.0421406
0	45.000	37.860	0.716	0.284	0.000	0.0421756	0.0421756
54	45.000	38.891	0.702	0.298	-0.000	0.0461745	0.0461745
19	45.000	38.918	0.698	0.302	-0.000	0.0467455	0.0467455
9	45.000	39.314	0.702	0.298	0.000	0.0470274	0.0470274
47	45.000	39.470	0.688	0.312	0.000	0.0492956	0.0492956
50	45.000	39.628	0.702	0.298	-0.000	0.047746	0.047746
80	45.000	39.687	0.706	0.294	-0.000	0.0473273	0.0473273
39	45.000	39.954	0.705	0.295	-0.000	0.047943	0.047943
5	45.000	40.898	0.698	0.302	-0.000	0.0509381	0.0509381
65	45.000	41.573	0.698	0.302	-0.000	0.0524433	0.0524433
34	45.000	41.674	0.698	0.302	-0.000	0.0525315	0.0525315
49	45.000	42.168	0.695	0.305	-0.000	0.054054	0.054054
81	45.000	42.402	0.703	0.297	0.000	0.0534406	0.0534406
8	45.000	42.434	0.704	0.296	0.000	0.0532887	0.0532887
83	45.000	42.629	0.700	0.300	0.000	0.054312	0.054312
73	45.000	42.648	0.766	0.234	0.000	0.0441733	0.0441733
33	45.000	42.651	0.690	0.310	0.000	0.0558721	0.0558721
