WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
92	0.000	7.912	0.000	0.000	1.000	0.172429	0.172429
93	0.000	7.912	0.000	0.000	1.000	0.172429	0.172429
90	0.000	8.844	0.000	0.000	1.000	0.192763	0.192763
91	0.000	10.018	0.000	0.000	1.000	0.21831	0.21831
92	0.000	31.648	0.000	0.000	1.000	0.478672	0.478672
93	0.000	31.648	0.000	0.000	1.000	0.478672	0.478672
90	0.000	35.379	0.000	0.000	1.000	0.492386	0.492386
91	0.000	40.069	0.000	0.000	1.000	0.509616	0.509616
92	0.000	55.384	0.000	0.000	1.000	0.542446	0.542446
93	0.000	55.384	0.000	0.000	1.000	0.542446	0.542446
90	0.000	61.914	0.000	0.000	1.000	0.538002	0.538002
91	0.000	70.120	0.000	0.000	1.000	0.532389	0.532389
92	0.000	79.120	0.000	0.000	1.000	0.524068	0.524068
93	0.000	79.120	0.000	0.000	1.000	0.524068	0.524068
90	0.000	88.449	0.000	0.000	1.000	0.51544	0.51544
91	0.000	100.171	0.000	0.000	1.000	0.504669	0.504669
72	45.000	9.352	0.500	0.500	0.000	0.00160384	0.00160384
87	45.000	9.366	0.500	0.500	0.000	0.0016061	0.0016061
71	45.000	9.380	0.500	0.500	0.000	0.00160854	0.00160854
86	45.000	9.392	0.500	0.500	0.000	0.00161081	0.00161081
27	45.000	9.428	0.500	0.500	0.000	0.00161676	0.00161676
42	45.000	9.436	0.500	0.500	0.000	0.00161824	0.00161824
26	45.000	9.440	0.500	0.500	0.000	0.00161909	0.00161909
41	45.000	9.450	0.500	0.500	0.000	0.00162067	0.00162067
12	45.000	9.508	0.500	0.500	0.000	0.00163057	0.00163057
57	45.000	9.516	0.500	0.500	0.000	0.0016319	0.0016319
11	45.000	9.518	0.500	0.500	0.000	0.00163232	0.00163232
56	45.000	9.522	0.500	0.500	0.000	0.00163319	0.00163319
73	45.000	10.662	0.500	0.500	0.000	0.00182843	0.00182843
88	45.000	10.680	0.500	0.500	0.000	0.00183171	0.00183171
28	45.000	10.734	0.500	0.500	0.000	0.00184093	0.00184093
43	45.000	10.736	0.500	0.500	0.000	0.00184113	0.00184113
13	45.000	10.810	0.500	0.500	0.000	0.00185379	0.00185379
58	45.000	10.824	0.500	0.500	0.000	0.00185629	0.00185629
70	45.000	10.908	0.500	0.500	0.000	0.00187085	0.00187085
85	45.000	10.944	0.500	0.500	0.000	0.0018768	0.0018768
25	45.000	10.988	0.500	0.500	0.000	0.00188447	0.00188447
40	45.000	10.988	0.500	0.500	0.000	0.00188459	0.00188459
10	45.000	11.054	0.500	0.500	0.000	0.00189576	0.00189576
55	45.000	11.058	0.500	0.500	0.000	0.00189628	0.00189628
62	45.000	11.152	0.500	0.500	0.000	0.00191272	0.00191272
77	45.000	11.204	0.500	0.500	0.000	0.00192162	0.00192162
