WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
92	0.000	7.912	0.000	0.000	1.000	0	0
93	0.000	7.912	0.000	0.000	1.000	0	0
90	0.000	8.844	0.000	0.000	1.000	0	0
91	0.000	10.018	0.000	0.000	1.000	0	0
92	0.000	31.648	0.000	0.000	1.000	0	0
93	0.000	31.648	0.000	0.000	1.000	0	0
90	0.000	35.379	0.000	0.000	1.000	0	0
91	0.000	40.069	0.000	0.000	1.000	0	0
92	0.000	55.384	0.000	0.000	1.000	0	0
93	0.000	55.384	0.000	0.000	1.000	0	0
90	0.000	61.914	0.000	0.000	1.000	0	0
91	0.000	70.120	0.000	0.000	1.000	0	0
92	0.000	79.120	0.000	0.000	1.000	0	0
93	0.000	79.120	0.000	0.000	1.000	0	0
90	0.000	88.449	0.000	0.000	1.000	0	0
91	0.000	100.171	0.000	0.000	1.000	0	0
72	45.000	9.352	0.500	0.500	0.000	0.000745807	0.000745807
87	45.000	9.366	0.500	0.500	0.000	0.000746858	0.000746858
71	45.000	9.380	0.500	0.500	0.000	0.000747996	0.000747996
86	45.000	9.392	0.500	0.500	0.000	0.000749049	0.000749049
27	45.000	9.428	0.500	0.500	0.000	0.000751818	0.000751818
42	45.000	9.436	0.500	0.500	0.000	0.000752507	0.000752507
26	45.000	9.440	0.500	0.500	0.000	0.000752899	0.000752899
41	45.000	9.450	0.500	0.500	0.000	0.000753634	0.000753634
12	45.000	9.508	0.500	0.500	0.000	0.000758237	0.000758237
57	45.000	9.516	0.500	0.500	0.000	0.000758858	0.000758858
11	45.000	9.518	0.500	0.500	0.000	0.000759054	0.000759054
56	45.000	9.522	0.500	0.500	0.000	0.000759459	0.000759459
73	45.000	10.662	0.500	0.500	0.000	0.000850247	0.000850247
88	45.000	10.680	0.500	0.500	0.000	0.00085177	0.00085177
28	45.000	10.734	0.500	0.500	0.000	0.000856061	0.000856061
43	45.000	10.736	0.500	0.500	0.000	0.000856154	0.000856154
13	45.000	10.810	0.500	0.500	0.000	0.000862038	0.000862038
58	45.000	10.824	0.500	0.500	0.000	0.000863202	0.000863202
70	45.000	10.908	0.500	0.500	0.000	0.000869972	0.000869972
85	45.000	10.944	0.500	0.500	0.000	0.000872738	0.000872738
25	45.000	10.988	0.500	0.500	0.000	0.000876306	0.000876306
40	45.000	10.988	0.500	0.500	0.000	0.000876362	0.000876362
10	45.000	11.054	0.500	0.500	0.000	0.000881557	0.000881557
55	45.000	11.058	0.500	0.500	0.000	0.000881798	0.000881798
62	45.000	11.152	0.500	0.500	0.000	0.000889441	0.000889441
77	45.000	11.204	0.500	0.500	0.000	0.000893581	0.000893581
63	45.000	11.214	0.500	0.500	0.000	0.000894366	0.000894366
17	45.000	11.236	0.500	0.500	0.000	0.000896145	0.000896145
32	45.000	11.244	0.500	0.500	0.000	0.000896629	0.000896629
78	45.000	11.248	0.500	0.500	0.000	0.000896983	0.000896983
18	45.000	11.302	0.500	0.500	0.000	0.000901264	0.000901264
2	45.000	11.310	0.500	0.500	0.000	0.000901994	0.000901994
33	45.000	11.310	0.500	0.500	0.000	0.000902049	0.000902049
47	45.000	11.312	0.500	0.500	0.000	0.000902057	0.000902057
3	45.000	11.384	0.500	0.500	0.000	0.0009078	0.0009078
48	45.000	11.390	0.500	0.500	0.000	0.000908278	0.000908278
74	45.000	12.342	0.500	0.500	0.000	0.000984226	0.000984226
89	45.000	12.360	0.500	0.500	0.000	0.00098572	0.00098572
29	45.000	12.396	0.500	0.500	0.000	0.000988598	0.000988598
44	45.000	12.408	0.500	0.500	0.000	0.000989547	0.000989547
14	45.000	12.454	0.500	0.500	0.000	0.000993189	0.000993189
59	45.000	12.462	0.500	0.500	0.000	0.000993849	0.000993849
61	45.000	12.614	0.500	0.500	0.000	0.00100601	0.00100601
16	45.000	12.684	0.500	0.500	0.000	0.00101159	0.00101159
31	45.000	12.688	0.500	0.500	0.000	0.00101184	0.00101184
76	45.000	12.694	0.500	0.500	0.000	0.00101234	0.00101234
1	45.000	12.752	0.500	0.500	0.000	0.00101693	0.00101693
64	45.000	12.752	0.500	0.500	0.000	0.00101704	0.00101704
46	45.000	12.756	0.500	0.500	0.000	0.00101726	0.00101726
79	45.000	12.762	0.500	0.500	0.000	0.00101776	0.00101776
19	45.000	12.818	0.500	0.500	0.000	0.00102221	0.00102221
34	45.000	12.826	0.500	0.500	0.000	0.00102281	0.00102281
4	45.000	12.890	0.500	0.500	0.000	0.00102801	0.00102801
49	45.000	12.894	0.500	0.500	0.000	0.00102836	0.00102836
69	45.000	13.352	0.500	0.500	0.000	0.00106483	0.00106483
84	45.000	13.418	0.500	0.500	0.000	0.00107003	0.00107003
24	45.000	13.474	0.500	0.500	0.000	0.00107449	0.00107449
39	45.000	13.476	0.500	0.500	0.000	0.00107474	0.00107474
9	45.000	13.538	0.500	0.500	0.000	0.00107968	0.00107968
54	45.000	13.556	0.500	0.500	0.000	0.00108105	0.00108105
65	45.000	14.876	0.500	0.500	0.000	0.00118644	0.00118644
80	45.000	14.880	0.500	0.500	0.000	0.00118674	0.00118674
20	45.000	14.940	0.500	0.500	0.000	0.00119145	0.00119145
35	45.000	14.942	0.500	0.500	0.000	0.0011916	0.0011916
5	45.000	15.002	0.500	0.500	0.000	0.0011964	0.0011964
50	45.000	15.004	0.500	0.500	0.000	0.00119664	0.00119664
60	45.000	15.046	0.500	0.500	0.000	0.00119985	0.00119985
15	45.000	15.090	0.500	0.500	0.000	0.00120348	0.00120348
30	45.000	15.114	0.500	0.500	0.000	0.00120539	0.00120539
75	45.000	15.116	0.500	0.500	0.000	0.00120552	0.00120552
45	45.000	15.132	0.500	0.500	0.000	0.00120681	0.00120681
0	45.000	15.144	0.500	0.500	0.000	0.00120775	0.00120775
68	45.000	15.678	0.500	0.500	0.000	0.00125025	0.00125025
83	45.000	15.722	0.500	0.500	0.000	0.00125388	0.00125388
23	45.000	15.774	0.500	0.500	0.000	0.00125791	0.00125791
38	45.000	15.778	0.500	0.500	0.000	0.00125822	0.00125822
8	45.000	15.824	0.500	0.500	0.000	0.00126189	0.00126189
53	45.000	15.832	0.500	0.500	0.000	0.00126254	0.00126254
