WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
38	45.000	15.778	0.500	0.500	0.000	0.00221471	0.00221471
8	45.000	15.824	0.500	0.500	0.000	0.00222116	0.00222116
53	45.000	15.832	0.500	0.500	0.000	0.0022223	0.0022223
66	45.000	16.286	0.500	0.500	0.000	0.00228614	0.00228614
81	45.000	16.302	0.500	0.500	0.000	0.00228832	0.00228832
21	45.000	16.306	0.500	0.500	0.000	0.00228903	0.00228903
36	45.000	16.308	0.500	0.500	0.000	0.00228926	0.00228926
51	45.000	16.322	0.500	0.500	0.000	0.00229108	0.00229108
6	45.000	16.324	0.500	0.500	0.000	0.00229137	0.00229137
7	45.000	16.378	0.500	0.500	0.000	0.00229899	0.00229899
52	45.000	16.378	0.500	0.500	0.000	0.00229903	0.00229903
37	45.000	16.382	0.500	0.500	0.000	0.00229972	0.00229972
22	45.000	16.384	0.500	0.500	0.000	0.00229982	0.00229982
82	45.000	16.386	0.500	0.500	0.000	0.00230023	0.00230023
67	45.000	16.390	0.500	0.500	0.000	0.00230074	0.00230074
73	45.000	26.655	0.500	0.500	0.000	0.0091179	0.0091179
88	45.000	26.700	0.500	0.500	0.000	0.00916318	0.00916318
28	45.000	26.835	0.500	0.500	0.000	0.00929077	0.00929077
43	45.000	26.840	0.500	0.500	0.000	0.00929354	0.00929354
13	45.000	27.025	0.500	0.500	0.000	0.00946853	0.00946853
58	45.000	27.060	0.500	0.500	0.000	0.00950311	0.00950311
27	45.000	27.899	0.500	0.500	0.000	0.010299	0.010299
12	45.000	28.663	0.500	0.500	0.000	0.0110225	0.0110225
74	45.000	30.855	0.500	0.500	0.000	0.0131012	0.0131012
89	45.000	30.900	0.500	0.500	0.000	0.0131456	0.0131456
29	45.000	30.990	0.500	0.500	0.000	0.0132312	0.0132312
44	45.000	31.020	0.500	0.500	0.000	0.0132595	0.0132595
42	45.000	31.099	0.500	0.500	0.000	0.0133332	0.0133332
57	45.000	31.131	0.500	0.500	0.000	0.0133643	0.0133643
14	45.000	31.135	0.500	0.500	0.000	0.0133678	0.0133678
59	45.000	31.155	0.500	0.500	0.000	0.0133874	0.0133874
87	45.000	31.656	0.500	0.500	0.000	0.0138605	0.0138605
61	45.000	31.757	0.500	0.500	0.000	0.0139578	0.0139578
76	45.000	31.957	0.500	0.500	0.000	0.0141481	0.0141481
16	45.000	31.998	0.500	0.500	0.000	0.0141858	0.0141858
31	45.000	32.176	0.500	0.500	0.000	0.0143541	0.0143541
1	45.000	32.294	0.500	0.500	0.000	0.0144669	0.0144669
46	45.000	32.442	0.500	0.500	0.000	0.014607	0.014607
26	45.000	32.693	0.500	0.500	0.000	0.0148464	0.0148464
17	45.000	33.916	0.500	0.500	0.000	0.0160062	0.0160062
25	45.000	34.340	0.500	0.500	0.000	0.0164086	0.0164086
32	45.000	35.460	0.500	0.500	0.000	0.0174703	0.0174703
24	45.000	36.400	0.500	0.500	0.000	0.0183604	0.0183604
84	45.000	37.406	0.500	0.500	0.000	0.0193159	0.0193159
60	45.000	37.615	0.500	0.500	0.000	0.0195119	0.0195119
15	45.000	37.725	0.500	0.500	0.000	0.0196199	0.0196199
30	45.000	37.785	0.500	0.500	0.000	0.0196767	0.0196767
75	45.000	37.790	0.500	0.500	0.000	0.0196805	0.0196805
45	45.000	37.830	0.500	0.500	0.000	0.0197188	0.0197188
0	45.000	37.860	0.500	0.500	0.000	0.019747	0.019747
54	45.000	38.891	0.500	0.500	0.000	0.0207231	0.0207231
19	45.000	38.918	0.500	0.500	0.000	0.0207504	0.0207504
9	45.000	39.314	0.500	0.500	0.000	0.0211265	0.0211265
47	45.000	39.470	0.500	0.500	0.000	0.0212727	0.0212727
50	45.000	39.628	0.500	0.500	0.000	0.0214246	0.0214246
80	45.000	39.687	0.500	0.500	0.000	0.0214793	0.0214793
39	45.000	39.954	0.500	0.500	0.000	0.0217325	0.0217325
5	45.000	40.898	0.500	0.500	0.000	0.0226279	0.0226279
65	45.000	41.573	0.500	0.500	0.000	0.0232691	0.0232691
34	45.000	41.674	0.500	0.500	0.000	0.0233635	0.0233635
49	45.000	42.168	0.500	0.500	0.000	0.0238316	0.0238316
81	45.000	42.402	0.500	0.500	0.000	0.0240532	0.0240532
8	45.000	42.434	0.500	0.500	0.000	0.0240828	0.0240828
83	45.000	42.629	0.500	0.500	0.000	0.0242706	0.0242706
33	45.000	42.651	0.500	0.500	0.000	0.024291	0.024291
23	45.000	43.011	0.500	0.500	0.000	0.024632	0.024632
20	45.000	43.101	0.500	0.500	0.000	0.0247166	0.0247166
6	45.000	43.366	0.500	0.500	0.000	0.0249665	0.0249665
53	45.000	43.372	0.500	0.500	0.000	0.0249733	0.0249733
7	45.000	43.609	0.500	0.500	0.000	0.0251987	0.0251987
35	45.000	43.649	0.500	0.500	0.000	0.0252365	0.0252365
