WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
92	0.000	7.912	0.127	0.059	0.814	0.127519	0.127519
93	0.000	7.912	0.012	0.007	0.982	0.168094	0.168094
90	0.000	8.844	0.130	0.045	0.825	0.145539	0.145539
91	0.000	10.018	0.184	0.082	0.734	0.13907	0.13907
92	0.000	31.648	0.127	0.059	0.814	0.366928	0.366928
93	0.000	31.648	0.012	0.007	0.982	0.467758	0.467758
90	0.000	35.379	0.130	0.045	0.825	0.387827	0.387827
91	0.000	40.069	0.184	0.082	0.734	0.355007	0.355007
92	0.000	55.384	0.127	0.059	0.814	0.435249	0.435249
93	0.000	55.384	0.012	0.007	0.982	0.531799	0.531799
90	0.000	61.914	0.130	0.045	0.825	0.439068	0.439068
91	0.000	70.120	0.184	0.082	0.734	0.389242	0.389242
92	0.000	79.120	0.127	0.059	0.814	0.425395	0.425395
93	0.000	79.120	0.012	0.007	0.982	0.514308	0.514308
90	0.000	88.449	0.130	0.045	0.825	0.426217	0.426217
91	0.000	100.171	0.184	0.082	0.734	0.376135	0.376135
72	45.000	9.352	0.631	0.369	0.000	0.00247966	0.00247966
87	45.000	9.366	0.693	0.307	0.000	0.00303409	0.00303409
71	45.000	9.380	0.541	0.459	-0.000	0.00185482	0.00185482
86	45.000	9.392	0.562	0.438	0.000	0.0019852	0.0019852
27	45.000	9.428	0.718	0.282	-0.000	0.00328153	0.00328153
42	45.000	9.436	0.709	0.291	-0.000	0.00320689	0.00320689
26	45.000	9.440	0.694	0.306	-0.000	0.00307448	0.00307448
41	45.000	9.450	0.675	0.325	-0.000	0.00290103	0.00290103
12	45.000	9.508	0.726	0.274	0.000	0.00337753	0.00337753
57	45.000	9.516	0.703	0.297	0.000	0.00317942	0.00317942
11	45.000	9.518	0.654	0.346	0.000	0.00273632	0.00273632
56	45.000	9.522	0.641	0.359	0.000	0.00261682	0.00261682
73	45.000	10.662	0.766	0.234	0.000	0.00418915	0.00418915
88	45.000	10.680	0.757	0.243	0.000	0.00410681	0.00410681
28	45.000	10.734	0.760	0.240	-0.000	0.0041619	0.0041619
43	45.000	10.736	0.761	0.239	-0.000	0.00417185	0.00417185
13	45.000	10.810	0.756	0.244	0.000	0.00414495	0.00414495
58	45.000	10.824	0.751	0.249	0.000	0.00410061	0.00410061
70	45.000	10.908	0.552	0.448	0.000	0.00223924	0.00223924
85	45.000	10.944	0.591	0.409	-0.000	0.00252388	0.00252388
25	45.000	10.988	0.711	0.289	0.000	0.00374518	0.00374518
40	45.000	10.988	0.693	0.307	0.000	0.00356474	0.00356474
10	45.000	11.054	0.668	0.332	0.000	0.00332354	0.00332354
55	45.000	11.058	0.686	0.314	0.000	0.00351448	0.00351448
62	45.000	11.152	0.580	0.420	-0.000	0.00249264	0.00249264
77	45.000	11.204	0.603	0.397	-0.000	0.00267605	0.00267605
63	45.000	11.214	0.553	0.447	0.000	0.00230544	0.00230544
17	45.000	11.236	0.717	0.283	-0.000	0.00389474	0.00389474
32	45.000	11.244	0.701	0.299	0.000	0.00373177	0.00373177
78	45.000	11.248	0.550	0.450	-0.000	0.00229664	0.00229664
18	45.000	11.302	0.690	0.310	-0.000	0.00363697	0.00363697
33	45.000	11.310	0.690	0.310	-0.000	0.00363905	0.00363905
2	45.000	11.310	0.672	0.328	-0.000	0.00344076	0.00344076
47	45.000	11.312	0.688	0.312	0.000	0.00360994	0.00360994
3	45.000	11.384	0.579	0.421	0.000	0.00253232	0.00253232
48	45.000	11.390	0.682	0.318	0.000	0.00356907	0.00356907
74	45.000	12.342	0.732	0.268	0.000	0.00446218	0.00446218
89	45.000	12.360	0.732	0.268	0.000	0.00446396	0.00446396
29	45.000	12.396	0.733	0.267	0.000	0.00449112	0.00449112
44	45.000	12.408	0.733	0.267	0.000	0.00449367	0.00449367
14	45.000	12.454	0.731	0.269	0.000	0.00448666	0.00448666
59	45.000	12.462	0.731	0.269	0.000	0.0044853	0.0044853
61	45.000	12.614	0.724	0.276	0.000	0.00446595	0.00446595
16	45.000	12.684	0.733	0.267	-0.000	0.00458801	0.00458801
31	45.000	12.688	0.731	0.269	0.000	0.00456632	0.00456632
76	45.000	12.694	0.732	0.268	0.000	0.0045787	0.0045787
1	45.000	12.752	0.728	0.272	0.000	0.00455493	0.00455493
64	45.000	12.752	0.619	0.381	0.000	0.00324212	0.00324212
46	45.000	12.756	0.728	0.272	0.000	0.0045625	0.0045625
79	45.000	12.762	0.651	0.349	-0.000	0.00363397	0.00363397
19	45.000	12.818	0.698	0.302	0.000	0.00421426	0.00421426
34	45.000	12.826	0.698	0.302	0.000	0.00422443	0.00422443
4	45.000	12.890	0.684	0.316	0.000	0.00406644	0.00406644
49	45.000	12.894	0.695	0.305	0.000	0.00420962	0.00420962
69	45.000	13.352	0.692	0.308	0.000	0.0043129	0.0043129
84	45.000	13.418	0.706	0.294	0.000	0.00450931	0.00450931
24	45.000	13.474	0.710	0.290	-0.000	0.00458433	0.00458433
39	45.000	13.476	0.705	0.295	0.000	0.00452433	0.00452433
9	45.000	13.538	0.702	0.298	-0.000	0.00450516	0.00450516
54	45.000	13.556	0.702	0.298	-0.000	0.00450663	0.00450663
65	45.000	14.876	0.698	0.302	0.000	0.0048885	0.0048885
80	45.000	14.880	0.706	0.294	0.000	0.00500183	0.00500183
20	45.000	14.940	0.694	0.306	-0.000	0.00485688	0.00485688
35	45.000	14.942	0.699	0.301	-0.000	0.00493032	0.00493032
