 SDTrimSP: VERSION 6.00    16.03.2022
D -> Al2O3                                                                      
           1       number species of projectiles
 DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT(1): D    
         500        100000.     50.000          number of depth ,nproj,e_tot [MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]    [number]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED  FRENKEL P.  NUM.COLL.      NRT-DPA
  9.1000E+01  1.2100E+03  0.0000E+00  2.7128E-01  1.6667E-01  1.1179E-01  1.5298E-01  1.0946E+04  0.0000E+00  9.1868E+03
  9.3000E+01  1.1750E+03  0.0000E+00  2.5977E-01  1.5759E-01  1.0604E-01  1.4744E-01  1.0508E+04  0.0000E+00  8.8754E+03
  9.5000E+01  1.1830E+03  0.0000E+00  2.5276E-01  1.4989E-01  1.0224E-01  1.4429E-01  1.0129E+04  0.0000E+00  8.5580E+03
  9.7000E+01  1.1560E+03  0.0000E+00  2.3953E-01  1.4019E-01  9.8194E-02  1.3531E-01  9.5668E+03  0.0000E+00  8.0704E+03
  9.9000E+01  1.1990E+03  0.0000E+00  2.2656E-01  1.3283E-01  9.4304E-02  1.2643E-01  9.1302E+03  0.0000E+00  7.6828E+03
  1.0100E+02  1.0650E+03  1.0000E+00  2.1606E-01  1.2631E-01  9.0726E-02  1.1974E-01  8.6208E+03  0.0000E+00  7.2726E+03
  1.0300E+02  1.0280E+03  3.0000E+00  2.0460E-01  1.1909E-01  8.7441E-02  1.1179E-01  8.1349E+03  0.0000E+00  6.8439E+03
  1.0500E+02  9.8000E+02  2.0000E+00  1.9071E-01  1.1047E-01  8.2496E-02  1.0309E-01  7.5342E+03  0.0000E+00  6.3130E+03
  1.0700E+02  9.6900E+02  3.0000E+00  1.8105E-01  1.0234E-01  7.8300E-02  9.7832E-02  7.1439E+03  0.0000E+00  6.0031E+03
  1.0900E+02  9.0700E+02  4.0000E+00  1.7134E-01  9.6045E-02  7.5430E-02  9.1167E-02  6.7471E+03  0.0000E+00  5.6296E+03
  1.1100E+02  9.2700E+02  2.0000E+00  1.6168E-01  8.9930E-02  7.0791E-02  8.6346E-02  6.3575E+03  0.0000E+00  5.3301E+03
  1.1300E+02  8.4100E+02  7.0000E+00  1.5255E-01  8.4130E-02  6.7619E-02  8.0600E-02  5.9672E+03  0.0000E+00  4.9634E+03
  1.1500E+02  7.9500E+02  8.0000E+00  1.4462E-01  7.7873E-02  6.3039E-02  7.7432E-02  5.6791E+03  0.0000E+00  4.7655E+03
  1.1700E+02  8.0500E+02  9.0000E+00  1.3368E-01  7.2093E-02  6.0425E-02  6.9188E-02  5.1853E+03  0.0000E+00  4.3440E+03
